month,revenue_usd_mn,revenue_ntd_mn,fx_ntd_per_usd,ytd_revenue_usd_mn,ytd_revenue_ntd_mn
2014-01,4.28524,129.045,30.1138,4.28524,129.045
2014-02,9.71111,294.276,30.3030,13.99635,422.823
2014-03,13.77303,418.633,30.3951,27.76939,840.579
2014-04,12.94745,391.075,30.2048,40.71684,1231.847
2014-05,13.56585,408.620,30.1212,54.28269,1640.814
2014-06,17.52431,525.510,29.9875,71.80701,2167.660
2014-07,9.47149,283.563,29.9386,81.27849,2450.701
2014-08,16.97074,508.698,29.9750,98.24923,2960.230
2014-09,16.68731,502.455,30.1100,114.93654,3463.038
2014-10,13.52859,411.269,30.4000,128.46514,3873.224
2014-11,11.22164,344.616,30.7100,139.68677,4219.937
2014-12,14.90437,468.146,31.4100,154.59114,4685.658
2015-01,8.96225,283.476,31.6300,8.96225,283.476
2015-02,7.06763,222.526,31.4853,16.02987,505.867
2015-03,6.26542,197.069,31.4534,22.29529,702.814
2015-04,6.85269,212.548,31.0167,29.25065,918.368
2015-05,10.04268,307.211,30.5905,39.19067,1224.132
2015-06,11.36119,351.039,30.8981,50.55185,1576.161
2015-07,11.97051,372.868,31.1489,62.52237,1949.122
2015-08,11.72753,377.155,32.1598,74.24989,2323.866
2015-09,17.51469,571.233,32.6145,91.76458,2885.464
2015-10,8.34665,271.149,32.4860,100.11123,3158.309
2015-11,6.73747,219.608,32.5950,106.84870,3381.120
2015-12,12.25529,401.839,32.7890,119.10399,3780.242
2016-01,6.50857,217.757,33.4570,6.50857,217.757
2016-02,5.52561,183.885,33.2787,12.03418,401.554
2016-03,16.63000,543.668,32.6920,28.66418,950.003
2016-04,6.68104,216.011,32.3320,35.34522,1164.272
2016-05,5.87323,191.215,32.5570,41.21845,1354.562
2016-06,12.61163,408.428,32.3850,53.83008,1764.765
2016-07,7.27697,233.693,32.1140,61.10705,1997.467
2016-08,10.44289,329.609,31.5630,71.54993,2328.736
2016-09,11.02307,346.929,31.4730,82.57301,2677.678
2016-10,5.46682,172.538,31.5610,88.03982,2847.296
2016-11,8.69351,275.984,31.7460,96.73334,3123.229
2016-12,17.70058,566.295,31.9930,114.43392,3691.982
2017-01,5.80881,184.308,31.7290,5.80881,184.308
2017-02,4.14037,127.913,30.8940,9.94918,311.529
2017-03,14.70129,450.766,30.6610,24.65047,766.506
2017-04,12.97450,394.165,30.3800,37.62497,1163.214
2017-05,12.36860,372.790,30.1400,49.99357,1537.852
2017-06,13.16541,398.227,30.2480,63.15899,1937.402
2017-07,12.75766,388.063,30.4180,75.91664,2326.010
2017-08,16.17702,489.339,30.2490,92.09366,2817.145
2017-09,23.93642,721.300,30.1340,116.03007,3543.442
2017-10,6.28266,190.057,30.2510,122.31273,3731.761
2017-11,7.23923,217.922,30.1030,129.55196,3947.837
2017-12,10.72605,321.470,29.9710,140.27802,4268.941
2018-01,6.43139,189.179,29.4150,6.43139,189.179
2018-02,10.01932,293.396,29.2830,16.45071,482.812
2018-03,11.27355,329.221,29.2030,27.72426,812.321
2018-04,11.32713,332.842,29.3845,39.05139,1145.045
2018-05,10.83856,323.726,29.8680,49.88995,1468.311
2018-06,10.62652,319.497,30.0660,60.51647,1787.475
2018-07,9.06897,277.084,30.5530,69.58544,2065.435
2018-08,9.64419,296.279,30.7210,79.22962,2361.993
2018-09,9.69997,298.196,30.7420,88.92959,2660.329
2018-10,8.15383,251.872,30.8900,97.08342,2913.765
2018-11,6.92512,213.612,30.8460,104.00854,3129.513
2018-12,10.59385,326.460,30.8160,114.60239,3455.147
2019-01,10.73976,331.042,30.8240,10.73976,331.042
2019-02,9.27497,285.780,30.8120,20.01473,616.814
2019-03,16.20612,499.959,30.8500,36.22085,1116.653
2019-04,10.93172,337.276,30.8530,47.15257,1453.949
2019-05,9.69675,302.926,31.2400,56.84932,1757.554
2019-06,7.10367,222.480,31.3190,63.95299,1981.455
2019-07,9.33029,289.948,31.0760,73.28328,2271.489
2019-08,9.89643,310.718,31.3970,83.17971,2582.397
2019-09,9.87842,307.407,31.1190,93.05813,2889.827
2019-10,13.57430,416.935,30.7150,106.63243,3307.845
2019-11,14.45517,440.377,30.4650,121.08760,3750.083
2019-12,18.95843,573.929,30.2730,140.04603,4329.103
2020-01,13.23548,397.250,30.0140,13.23548,397.250
2020-02,16.63301,501.419,30.1460,29.86849,898.444
2020-03,20.61338,621.679,30.1590,50.48187,1519.807
2020-04,17.65230,530.416,30.0480,68.13417,2050.293
2020-05,18.57065,555.764,29.9270,86.70482,2606.260
2020-06,18.76692,557.546,29.7090,105.47174,3164.258
2020-07,22.21564,656.117,29.5340,127.68738,3822.194
2020-08,23.22962,685.088,29.4920,150.91700,4509.249
2020-09,22.24275,652.246,29.3240,173.15975,5163.104
2020-10,19.84573,573.581,28.9020,193.00548,5737.281
2020-11,22.98693,662.483,28.8200,215.99242,6402.663
2020-12,23.52722,670.879,28.5150,239.51963,7077.566
2021-01,26.36230,748.874,28.4070,26.36230,748.874
2021-02,30.95928,876.860,28.3230,57.32157,1625.926
2021-03,36.41005,1032.917,28.3690,93.73163,2658.791
2021-04,35.70408,1008.533,28.2470,129.43571,3667.820
2021-05,32.97589,920.126,27.9030,162.41160,4588.128
2021-06,28.70945,797.577,27.7810,191.12105,5384.262
2021-07,29.02940,812.533,27.9900,220.15045,6196.355
2021-08,30.16289,840.549,27.8670,250.31335,7036.559
2021-09,32.64946,904.978,27.7180,282.96280,7941.917
2021-10,30.13276,841.759,27.9350,313.09557,8783.583
2021-11,30.48770,847.924,27.8120,343.58327,9631.326
2021-12,28.58520,793.411,27.7560,372.16847,10424.067
2022-01,31.62072,874.914,27.6690,31.62072,874.914
2022-02,31.81145,886.744,27.8750,63.43217,1761.638
2022-03,30.05414,854.680,28.4380,93.48631,2617.056
2022-04,31.33982,913.462,29.1470,124.82614,3530.333
2022-05,34.00340,1006.161,29.5900,158.82954,4533.630
2022-06,35.65796,1056.510,29.6290,194.48750,5586.653
2022-07,31.82813,950.674,29.8690,226.31562,6537.806
2022-08,38.74881,1166.107,30.0940,265.06443,7697.206
2022-09,46.85914,1464.348,31.2500,311.92357,9134.682
2022-10,38.47442,1230.104,31.9720,350.39799,10355.312
2022-11,56.11200,1764.891,31.4530,406.51000,12083.916
2022-12,53.33829,1635.779,30.6680,459.84828,13705.778
2023-01,53.61304,1632.410,30.4480,53.61304,1632.410
2023-02,50.97310,1538.317,30.1790,104.58615,3170.424
2023-03,83.47842,2550.850,30.5570,188.06457,5716.223
2023-04,85.32146,2607.936,30.5660,273.38603,8321.324
2023-05,88.58880,2722.334,30.7300,361.97483,11038.784
2023-06,84.67629,2609.723,30.8200,446.65112,13645.192
2023-07,72.28833,2255.324,31.1990,518.93945,15901.862
