month,revenue_ntd_mn,revenue_atm_ntd_mn,revenue_nonatm_ntd_mn,revenue_usd_mn,revenue_atm_usd_mn
2018-05,30982,20901,10081,1044,704
2018-06,31034,21109,9925,1039,707
2018-07,32736,22157,10579,1076,728
2018-08,35585,22380,13205,1160,730
2018-09,39276,21786,17490,1279,709
2018-10,39139,22378,16761,1273,728
2018-11,37946,21555,16391,1232,700
2018-12,36944,20187,16757,1199,655
2019-01,33056,18611,14445,1074,605
2019-02,26240,16677,9563,853,542
2019-03,29566,19083,10483,960,620
2019-04,29051,18841,10210,944,612
2019-05,30118,20148,9970,974,652
2019-06,31571,20605,10966,1005,656
2019-07,36376,21668,14708,1173,699
2019-08,40039,22884,17155,1279,731
2019-09,41142,23349,17793,1320,749
2019-10,38785,23033,15752,1258,747
2019-11,38456,22838,15618,1264,751
2019-12,38782,23416,15366,1277,771
2020-01,31337,21877,9460,1046,730
2020-02,28136,21268,6868,939,710
2020-03,37884,23065,14819,1259,767
2020-04,35303,22904,12399,1171,760
2020-05,35788,23165,12623,1198,775
2020-06,36458,23447,13011,1224,787
2020-07,37326,24175,13151,1264,819
2020-08,41944,24787,17157,1424,841
2020-09,43926,22859,21067,1495,778
2020-10,47915,23075,24840,1652,796
2020-11,50665,24286,26379,1759,843
2020-12,50298,25391,24907,1763,890
2021-01,40848,24854,15994,1438,875
2021-02,36620,23180,13440,1293,819
2021-03,42002,25733,16269,1490,913
2021-04,41333,25510,15823,1453,897
2021-05,42267,26524,15743,1512,949
2021-06,43326,26954,16372,1565,974
2021-07,46480,29213,17267,1670,1049
2021-08,50450,30552,19898,1813,1098
2021-09,53735,30328,23407,1939,1095
2021-10,52748,30472,22276,1895,1095
2021-11,60523,30475,30048,2178,1097
2021-12,59665,31011,28654,2152,1119
2022-01,48574,27509,21065,1760,997
2022-02,43831,25996,17835,1579,937
2022-03,51986,30520,21466,1843,1082
2022-04,48643,30427,18216,1691,1058
2022-05,53799,31693,22106,1823,1074
2022-06,57998,32879,25119,1966,1114
2022-07,58167,33435,24732,1954,1123
2022-08,63807,32892,30915,2134,1100
2022-09,66652,32504,34148,2176,1061
2022-10,64171,33210,30961,2027,1049
2022-11,60107,32650,27457,1889,1026
2022-12,53139,28462,24677,1736,930
2023-01,45131,24371,20760,1477,798
2023-02,39985,23177,16808,1327,769
2023-03,45775,25771,20004,1500,844
2023-04,43315,23321,19994,1426,768
2023-05,46239,26232,20007,1508,856
2023-06,46722,26555,20167,1523,866
2023-07,48353,26811,21542,1563,867
2023-08,52279,28497,23782,1655,902
2023-09,53535,28375,25160,1681,891
2023-10,56167,28340,27827,1746,881
2023-11,54509,27446,27063,1693,852
2023-12,49906,26218,23688,1589,835
2024-01,47390,24894,22496,1525,801
2024-02,39751,23291,16460,1269,744
2024-03,45661,25723,19938,1449,816
2024-04,45820,25188,20632,1430,786
2024-05,47493,26568,20925,1467,821
2024-06,46925,26058,20867,1454,808
2024-07,51596,27443,24153,1590,846
2024-08,52930,29175,23755,1627,897
2024-09,55579,29172,26407,1739,913
2024-10,56426,29320,27106,1766,918
2024-11,52933,29185,23748,1648,909
2024-12,52905,29858,23047,1632,921
2025-01,49444,28137,21307,1506,857
2025-02,44961,27332,17629,1374,835
2025-03,53748,31198,22550,1638,951
2025-04,52211,31312,20899,1590,953
2025-05,49027,30581,18446,1587,990
2025-06,49513,30671,18842,1661,1029
2025-07,51542,31783,19759,1769,1091
2025-08,56466,33510,22956,1899,1127
2025-09,60561,34997,25564,1995,1153
2025-10,60231,36039,24192,1980,1185
2025-11,58820,36082,22738,1903,1167
2025-12,58865,37586,21279,1880,1201
2026-01,59989,37639,22350,1906,1196
2026-02,52097,34972,17125,1653,1110
2026-03,61577,39823,21754,1949,1261
2026-04,62247,40502,21745,1957,1274
2026-05,63033,42162,20871,2001,1338
2026-06,65783,43485,22298,2092,1383
2026-07,73784,47524,26260,2309,1487
