month,trading_days_cash,trades_cash_total,adt_cash_trades,value_open_trading_audbn,value_auctions_audbn,value_centrepoint_audbn,value_tradereport_audbn,value_cash_onmarket_audbn,value_cash_total_audbn,adt_cash_onmarket_audbn,adt_cash_total_audbn,avg_value_per_trade_aud,vix_asx200_avg,trading_days_futures,contracts_futures_total,adv_futures_contracts,contracts_options_on_futures_total,adv_options_on_futures_contracts,contracts_futures_and_options_total,adv_futures_and_options_contracts,trading_days_eto,contracts_single_stock_options_total,adv_single_stock_options_contracts,contracts_index_options_total,adv_index_options_contracts,listed_entities_total,new_listed_entities,delisted_entities,capital_initial_raised_audmn,mktcap_new_listings_audmn,capital_secondary_audmn,capital_other_scrip_audmn,capital_secondary_total_audmn,capital_total_raised_incl_other_audmn,capital_new_quoted_audmn,mktcap_delisted_audmn,capital_net_new_quoted_audmn,otc_notional_cleared_audbn,otc_open_notional_audbn,billable_cash_cleared_audbn,margin_cash_onbs_audbn,margin_total_audbn,chess_holdings_audbn,settlement_msgs_mn,austraclear_holdings_audbn,participants_asx_total,participants_asx24_total,contracts_spi200_futures,oi_spi200_futures,contracts_3y_bond_futures,oi_3y_bond_futures,contracts_10y_bond_futures,oi_10y_bond_futures,contracts_90d_bankbill_futures,oi_90d_bankbill_futures
2016-01,19,18222770,959093,54.958,14.826,4.518,7.152,,81.454,3.911,4.287,4470,22.1,20,8993472,449674,129140,6457,9122612,456131,19,5715344,300808,980903,51626,2210,3,,37,,232,60,292,329,,,,154.366,688.256,80.969,,,1486.1,1.2,1865.7,,,,,,,,,,
2016-02,21,22317260,1062727,69.191,16.723,7.145,14.280,,107.339,4.431,5.111,4810,23.7,21,10363616,493506,195273,9299,10558889,502804,21,7529365,358541,1070936,50997,2209,8,,2894,,601,2191,2792,5686,,,,260.944,779.918,101.961,,,1452.6,1.5,1868.7,,,,,,,,,,
2016-03,21,21168037,1008002,63.705,20.623,7.320,12.873,,104.521,4.364,4.977,4938,17.1,21,14985658,713603,200229,9535,15185887,723137,21,8938513,425643,1013122,48244,2203,5,,503,,1346,504,1850,2353,,,,226.652,841.252,99.342,,,1517.5,1.6,1888.7,,,,,,,,,,
2016-04,20,19299962,964998,57.013,14.322,7.005,10.496,,88.836,3.917,4.442,4603,17.4,21,10108908,481377,144826,6896,10253734,488273,20,7536879,376844,891695,44585,2205,10,,4527,,4205,661,4866,9393,,,,126.044,862.274,87.349,,,1575.1,1.4,1893.9,,,,,,,,,,
2016-05,22,22501722,1022806,69.896,19.408,8.795,12.800,,110.899,4.459,5.041,4928,17.6,22,11416728,518942,220888,10040,11637616,528983,22,7634078,347004,1126936,51224,2206,10,,1190,,1592,661,2253,3443,,,,512.091,1152.409,107.621,,,1637.7,1.5,1909.8,,,,,,,,,,
2016-06,21,22321943,1062950,65.927,19.810,8.433,11.663,,105.833,4.484,5.040,4741,19.4,22,16441909,747360,181305,8241,16623214,755601,21,7296949,347474,1483409,70639,2204,11,,959,,1726,126,1852,2811,,,,644.460,1600.194,102.365,,,1596.8,1.5,1895.6,,,,,,,,,,
2016-07,21,20577507,979881,58.261,16.798,7.203,10.091,,92.353,3.917,4.398,4488,16.3,21,8527885,406090,145451,6926,8673336,413016,21,6538759,311369,886671,42222,2210,12,,1424,,6927,278,7205,8629,,,,298.076,1691.781,91.332,,,1706.2,1.6,1910.8,121,52,,,,,,,,
2016-08,23,23069725,1003032,66.910,18.267,9.322,14.979,,109.478,4.109,4.760,4746,13.2,23,7658247,332967,106201,4617,7764448,337585,23,7549322,328231,929649,40420,2192,16,,2551,,3014,720,3734,6285,,,,299.554,1652.707,105.116,,,1673.2,1.7,1918.3,121,52,,,,,,,,
2016-09,22,22449067,1020412,62.892,21.353,9.423,15.245,,108.913,4.258,4.951,,14.4,22,15554527,707024,100324,4560,15654851,711584,22,7798816,354492,951326,43242,2187,5,,144,,2873,335,3208,3352,,,,446.487,1741.256,104.243,,,1692.7,1.6,1927.1,121,51,,,,,,,,
2016-10,21,20420864,972422,55.574,16.888,8.807,11.904,,93.173,3.870,4.437,4563,14.1,21,11090881,528137,109951,5236,11200832,533373,21,6112904,291091,737000,35095,2190,14,,2192,,3902,422,4324,6516,,,,323.944,1837.651,90.745,,,1657.1,1.5,1939.7,121,52,,,,,,,,
