month,consumer_balance_usdbn,consumer_dq30_pct,consumer_nco_pct,sbs_balance_usdbn,sbs_dq30_pct,sbs_nco_pct
2016-01,42.5,1.0,1.4,8.0,1.0,1.4
2016-02,41.7,1.0,1.4,8.0,1.1,1.4
2016-03,42.4,1.0,1.5,8.3,1.0,1.4
2016-04,43.0,0.9,1.5,8.4,1.0,1.4
2016-05,44.2,0.9,1.6,8.5,1.0,1.3
2016-06,44.6,1.1,1.3,8.6,1.1,1.2
2016-07,44.8,1.1,1.6,8.7,1.1,1.5
2016-08,45.0,1.1,1.6,8.8,1.1,1.6
2016-09,44.9,1.1,1.6,9.0,1.1,1.6
2016-10,45.5,1.1,1.6,9.2,1.1,1.5
2016-11,46.7,1.1,1.5,9.3,1.1,1.2
2016-12,48.8,1.1,1.5,9.5,1.1,1.6
2017-01,47.3,1.2,1.5,9.5,1.2,1.4
2017-02,46.2,1.2,1.8,9.5,1.3,1.5
2017-03,46.7,1.2,1.8,9.9,1.2,1.8
2017-04,47.5,1.1,1.8,10.1,1.2,1.5
2017-05,48.4,1.1,1.8,10.1,1.1,1.5
2017-06,48.3,1.1,1.7,10.2,1.1,1.6
2017-07,49.0,1.2,1.8,10.2,1.1,1.9
2017-08,49.5,1.2,1.8,10.4,1.1,1.6
2017-09,49.3,1.3,1.6,10.5,1.1,1.4
2017-10,50.0,1.3,1.8,10.6,1.1,1.6
2017-11,51.5,1.3,1.9,10.8,1.2,1.6
2017-12,53.7,1.3,2.0,10.9,1.2,1.6
2018-01,53.2,1.4,1.7,10.9,1.3,1.4
2018-02,52.1,1.4,2.2,10.9,1.4,1.7
2018-03,52.7,1.4,2.2,11.3,1.3,1.8
2018-04,53.1,1.3,2.3,11.3,1.2,1.9
2018-05,54.4,1.3,2.2,11.6,1.2,1.9
2018-06,54.7,1.3,2.0,11.7,1.2,1.6
2018-07,55.3,1.3,2.2,11.6,1.1,2.0
2018-08,55.6,1.3,2.2,11.8,1.1,1.7
2018-09,56.2,1.4,2.0,11.9,1.1,1.5
2018-10,56.9,1.4,2.0,12.1,1.2,1.6
2018-11,58.2,1.4,2.0,12.2,1.2,1.6
2018-12,59.9,1.4,2.2,12.1,1.3,1.7
2019-01,58.3,1.5,2.2,12.2,1.3,1.8
2019-02,57.0,1.5,2.4,12.2,1.3,1.9
2019-03,58.0,1.5,2.5,12.7,1.3,1.9
2019-04,58.4,1.4,2.4,12.7,1.3,1.8
2019-05,59.1,1.4,2.5,13.0,1.2,2.0
2019-06,59.5,1.4,2.2,13.2,1.3,1.7
2019-07,59.7,1.4,2.2,13.2,1.3,1.9
2019-08,59.9,1.5,2.3,13.4,1.2,1.9
2019-09,59.7,1.5,2.0,13.4,1.3,1.7
2019-10,60.0,1.6,2.3,13.7,1.3,1.9
2019-11,60.4,1.6,2.4,13.8,1.3,2.0
2019-12,62.4,1.6,2.5,13.7,1.3,2.1
2020-01,60.2,1.6,2.3,13.8,1.3,1.9
2020-02,59.1,1.6,2.6,14.0,1.3,1.9
2020-03,55.6,1.7,2.8,13.4,1.4,2.0
2020-04,50.5,1.7,2.7,12.4,1.6,2.0
2020-05,50.4,1.6,3.0,12.1,1.6,2.5
2020-06,50.3,1.5,2.6,11.7,1.6,2.4
2020-07,50.0,1.4,2.6,11.7,1.4,2.5
2020-08,50.0,1.2,2.5,11.6,1.2,2.4
2020-09,49.7,1.1,2.0,11.6,1.1,1.8
2020-10,49.8,1.1,2.2,11.9,1.0,2.1
2020-11,50.2,1.0,1.9,12.2,0.8,2.3
2020-12,51.3,1.0,1.6,12.8,0.7,1.5
2021-01,48.7,1.0,1.3,12.9,0.7,1.4
2021-02,47.5,1.0,1.4,12.8,0.6,1.0
2021-03,48.3,0.9,1.1,13.3,0.6,0.7
2021-04,48.5,0.8,1.0,13.6,0.5,0.7
2021-05,51.0,0.7,1.1,14.2,0.5,0.6
2021-06,51.8,0.6,0.7,14.5,0.4,0.6
2021-07,52.4,0.6,0.7,14.7,0.4,0.5
2021-08,52.5,0.6,0.6,14.6,0.5,0.5
2021-09,52.6,0.7,0.4,14.8,0.5,0.4
2021-10,54.8,0.7,0.6,15.6,0.5,0.5
2021-11,57.1,0.7,0.5,16.2,0.5,0.5
2021-12,59.8,0.7,0.7,17.0,0.5,0.6
2022-01,56.6,0.8,0.7,16.6,0.5,0.5
2022-02,56.8,0.8,0.9,16.9,0.6,0.6
2022-03,59.1,0.8,0.8,18.1,0.6,0.7
