month,consumer_total_bal_usdbn,consumer_dpd30_pct,consumer_avg_bal_usdbn,consumer_nwo_pct,smb_total_bal_usdbn,smb_dpd30_pct,smb_avg_bal_usdbn,smb_nwo_pct,total_hfi_usdbn,source
2024-05,98.1,1.2,97.2,2.2,42.3,1.3,42.0,2.3,140.4,8-K 2026-05-15 EX-99.1 (restated)
2024-06,98.8,1.2,98.4,2.1,43.0,1.3,42.7,2.2,141.8,8-K 2026-05-15 EX-99.1 (restated)
2024-07,99.4,1.2,99.1,2.0,42.6,1.4,42.8,2.2,142.0,8-K 2026-05-15 EX-99.1 (restated)
2024-08,100.3,1.2,99.9,2.0,44.2,1.3,43.4,2.2,144.5,8-K 2026-05-15 EX-99.1 (restated)
2024-09,99.9,1.3,100.1,1.8,43.3,1.4,43.8,1.9,143.2,8-K 2026-05-15 EX-99.1 (restated)
2024-10,101.4,1.3,100.7,2.1,44.5,1.4,43.9,2.0,145.9,8-K 2026-05-15 EX-99.1 (restated)
2024-11,102.6,1.3,102.0,1.8,44.4,1.4,44.4,2.0,147.0,8-K 2026-05-15 EX-99.1 (restated)
2024-12,107.0,1.3,104.8,1.9,42.7,1.5,43.5,2.3,149.7,8-K 2026-05-15 EX-99.1 (restated)
2025-01,102.6,1.3,104.8,2.1,42.9,1.5,42.8,2.3,145.5,8-K 2026-05-15 EX-99.1 (restated)
2025-02,100.4,1.3,101.5,2.3,42.7,1.6,42.8,2.4,143.1,8-K 2026-05-15 EX-99.1 (restated)
2025-03,102.9,1.3,101.6,2.2,44.5,1.5,43.6,2.4,147.4,8-K 2026-05-15 EX-99.1 (restated)
2025-04,104.0,1.3,103.5,1.8,44.8,1.5,44.6,2.3,148.8,8-K 2026-05-15 EX-99.1 (restated)
2025-05,105.2,1.2,104.6,2.0,45.6,1.4,45.2,2.2,150.8,8-K 2026-05-15 EX-99.1 (restated)
2025-06,105.8,1.2,105.5,1.9,43.1,1.5,44.3,2.5,148.9,8-K 2026-05-15 EX-99.1 (restated)
2025-07,106.8,1.3,106.3,1.8,43.6,1.5,43.3,2.4,150.4,8-K 2026-05-15 EX-99.1 (restated)
2025-08,107.4,1.3,107.1,1.9,44.3,1.4,44.0,2.3,151.7,8-K 2026-05-15 EX-99.1 (restated)
2025-09,107.0,1.3,107.2,1.7,43.8,1.5,44.1,2.2,150.8,8-K 2026-05-15 EX-99.1 (restated)
2025-10,108.2,1.3,107.6,2.1,44.8,1.5,44.3,2.4,153.0,8-K 2026-05-15 EX-99.1 (restated)
2025-11,111.1,1.3,109.7,2.0,44.7,1.5,44.8,2.3,155.8,8-K 2026-05-15 EX-99.1 (restated)
2025-12,114.4,1.3,112.7,2.2,43.8,1.5,44.2,2.3,158.2,8-K 2026-05-15 EX-99.1 (restated)
2026-01,110.1,1.3,112.2,1.8,44.3,1.6,44.0,2.4,154.4,8-K 2026-05-15 EX-99.1 (restated)
2026-02,107.4,1.3,108.7,1.9,43.9,1.6,44.1,2.5,151.3,8-K 2026-05-15 EX-99.1 (restated)
2026-03,110.8,1.3,109.1,2.0,45.2,1.6,44.6,2.6,156.0,8-K 2026-05-15 EX-99.1 (restated)
2026-04,111.4,1.2,111.1,2.1,45.8,1.5,45.5,2.4,157.2,8-K 2026-05-15 EX-99.1 (restated)
2026-05,113.8,1.1,112.6,2.0,46.7,1.4,46.2,2.6,160.5,8-K Item 7.01
2026-06,113.8,1.1,113.8,1.4,45.9,1.4,46.3,2.3,159.7,8-K Item 7.01
