month,consumer_balance_usdbn,consumer_dq30_pct,consumer_nco_pct,sbs_balance_usdbn,sbs_dq30_pct,sbs_nco_pct
2024-05,98.1,1.2,2.2,42.3,1.3,2.3
2024-06,98.8,1.2,2.1,43.0,1.3,2.2
2024-07,99.4,1.2,2.0,42.6,1.4,2.2
2024-08,100.3,1.2,2.0,44.2,1.3,2.2
2024-09,99.9,1.3,1.8,43.3,1.4,1.9
2024-10,101.4,1.3,2.1,44.5,1.4,2.0
2024-11,102.6,1.3,1.8,44.4,1.4,2.0
2024-12,107.0,1.3,1.9,42.7,1.5,2.3
2025-01,102.6,1.3,2.1,42.9,1.5,2.3
2025-02,100.4,1.3,2.3,42.7,1.6,2.4
2025-03,102.9,1.3,2.2,44.5,1.5,2.4
2025-04,104.0,1.3,1.8,44.8,1.5,2.3
2025-05,105.2,1.2,2.0,45.6,1.4,2.2
2025-06,105.8,1.2,1.9,43.1,1.5,2.5
2025-07,106.8,1.3,1.8,43.6,1.5,2.4
2025-08,107.4,1.3,1.9,44.3,1.4,2.3
2025-09,107.0,1.3,1.7,43.8,1.5,2.2
2025-10,108.2,1.3,2.1,44.8,1.5,2.4
2025-11,111.1,1.3,2.0,44.7,1.5,2.3
2025-12,114.4,1.3,2.2,43.8,1.5,2.3
2026-01,110.1,1.3,1.8,44.3,1.6,2.4
2026-02,107.4,1.3,1.9,43.9,1.6,2.5
2026-03,110.8,1.3,2.0,45.2,1.6,2.6
2026-04,111.4,1.2,2.1,45.8,1.5,2.4
2026-05,113.8,1.1,2.0,46.7,1.4,2.6
2026-06,113.8,1.1,1.4,45.9,1.4,2.3
2026-07,113.1,1.1,1.7,46.1,1.3,2.6
