month,payment_rate_pct,portfolio_yield_pct,excess_spread_pct,principal_receivables_usdbn,dq30_pct,nco_pct
2016-01,34.1184,19.4775,16.5179,26.565204,0.88,1.186
2016-02,34.9205,19.6789,15.4292,25.577494,0.93,1.3757
2016-03,33.644,18.4253,15.4455,25.467922,0.88,1.2208
2016-04,34.8546,20.0105,16.4032,25.41891,0.83,1.2665
2016-05,33.3819,18.6068,15.6305,25.669462,0.81,1.2751
2016-06,39.3585,20.9549,17.3347,24.683747,0.74,0.9827
2016-07,32.4683,20.0465,17.0978,24.494697,0.77,0.9947
2016-08,32.3736,19.1951,16.23,24.392853,0.78,1.0491
2016-09,32.542,19.9985,16.3914,24.08555,0.82,1.0029
2016-10,30.5546,18.4865,15.4578,24.196635,0.86,1.1099
2016-11,31.9168,19.5348,15.8839,24.512228,0.89,1.065
2016-12,33.0363,19.0925,16.0754,25.43569,0.86,1.0887
2017-01,32.6605,19.6251,16.6182,24.394053,0.9,1.1645
2017-02,33.8729,20.6583,15.5846,23.666952,0.95,1.5436
2017-03,32.6415,18.8145,15.5945,23.735645,0.93,1.3779
2017-04,33.0488,20.252,16.49,23.862685,0.89,1.4826
2017-05,32.6007,19.4509,16.3513,24.065618,0.88,1.3032
2017-06,34.4217,21.0278,17.0795,23.80078,0.89,1.2516
2017-07,31.9044,19.8121,16.5318,23.82787,0.92,1.3594
2017-08,32.7101,20.1543,16.8805,23.797511,0.91,1.4775
2017-09,32.5496,21.0321,17.0389,23.497951,0.95,1.3556
2017-10,31.3108,19.7075,16.5628,23.574273,0.97,1.3524
2017-11,32.5153,20.812,16.669,24.026094,1.0,1.3447
2017-12,32.951,20.0452,16.5717,24.912891,0.97,1.4057
2018-01,33.5036,20.8511,17.393,23.895462,1.01,1.2838
2018-02,34.6703,21.9937,16.3883,23.202956,1.05,1.815
2018-03,33.4928,19.8741,16.3494,23.271004,1.01,1.614
2018-04,34.0484,21.2717,16.9899,23.185228,0.95,1.7421
2018-05,33.8346,20.5285,16.9031,23.42116,0.91,1.4715
2018-06,34.9579,22.0081,17.6377,23.271412,0.9,1.3907
2018-07,33.2137,20.7398,17.0572,23.196454,0.89,1.498
2018-08,34.1274,21.4419,17.6929,23.038367,0.88,1.4918
2018-09,32.7435,21.8442,17.3844,22.914662,0.92,1.2957
2018-10,34.8868,19.4194,15.5717,30.84032,0.75,0.9774
2018-11,35.8618,23.2603,18.7215,31.337046,0.8,1.1121
2018-12,35.3547,22.0422,18.2448,32.156766,0.84,1.0771
2019-01,35.7623,22.5009,18.7122,30.89853,0.9,1.1597
2019-02,36.9639,24.2661,18.0462,30.011298,0.98,1.4407
2019-03,35.1763,21.1607,17.2846,30.447541,0.95,1.5859
2019-04,37.086,23.1375,18.6252,30.401775,0.92,1.5716
2019-05,36.4349,22.1807,18.2115,30.596089,0.9,1.6113
2019-06,36.3951,23.0704,18.3598,30.593093,0.92,1.5027
2019-07,35.7415,22.2636,18.2961,30.450422,0.96,1.4642
2019-08,36.1225,22.73,18.7714,30.350184,0.96,1.6217
2019-09,35.1976,22.9519,18.3093,30.062117,1.02,1.4836
2019-10,35.2185,21.6923,17.7349,30.060731,1.05,1.5167
2019-11,36.0244,22.7748,18.0895,30.124009,1.05,1.6756
2019-12,37.013,21.5094,17.5485,31.12891,1.01,1.6615
2020-01,37.4576,22.7499,18.8128,29.740019,1.04,1.5578
2020-02,37.5632,23.948,18.3713,28.981891,1.05,1.9351
2020-03,33.9795,21.3902,17.3505,27.003436,1.1,2.0011
2020-04,32.088,21.6263,16.7588,24.414255,1.17,2.0979
2020-05,29.6594,20.2318,16.0486,24.453569,1.13,2.1057
2020-06,33.4658,22.3702,17.4925,24.490211,1.08,1.8431
2020-07,34.779,21.9083,17.7572,24.365899,0.97,1.9326
2020-08,35.1224,22.6149,18.4773,24.336743,0.86,1.8728
2020-09,36.9331,24.4856,19.5789,24.165365,0.79,1.5398
2020-10,37.0278,23.748,19.51,24.151108,0.72,1.6293
2020-11,37.7107,24.7249,19.6928,24.240848,0.67,1.5796
2020-12,40.7607,24.4067,20.1814,24.861413,0.63,1.2264
2021-01,39.4144,25.632,21.4301,23.347485,0.64,1.062
2021-02,40.7063,27.0165,20.1766,22.625932,0.63,1.2197
2021-03,41.2421,25.3307,21.123,23.080874,0.56,0.8668
2021-04,44.2165,27.5553,22.4844,23.045531,0.5,0.8438
2021-05,43.371,26.1441,21.9779,24.057385,0.44,0.8102
2021-06,46.4026,27.7028,22.6557,24.165681,0.42,0.577
2021-07,45.2579,26.8384,22.7435,24.181716,0.42,0.5925
2021-08,45.1324,27.0449,22.954,23.910665,0.43,0.4402
2021-09,45.511,27.6137,22.6972,23.702483,0.47,0.4156
2021-10,44.7421,26.2292,22.1939,24.536202,0.47,0.542
2021-11,47.2387,27.5217,23.1223,25.24286,0.47,0.4519
2021-12,48.7395,26.4558,22.9169,25.607951,0.47,0.5762
2022-01,45.8378,26.7593,23.2261,24.432765,0.5,0.5043
2022-02,48.6748,28.6925,22.3665,24.202774,0.53,0.812
2022-03,48.3243,26.1939,22.7851,25.015817,0.5,0.6227
2022-04,50.2344,28.3234,24.1402,25.26653,0.47,0.7027
2022-05,48.1483,26.8398,23.3517,25.872653,0.45,0.667
2022-06,50.2725,28.1985,23.4904,25.770458,0.46,0.539
2022-07,47.4866,27.3417,23.5442,25.894012,0.46,0.5989
2022-08,48.2613,27.8027,23.7218,25.773924,0.48,0.532
2022-09,48.4774,28.9253,23.8293,25.5773,0.52,0.5936
2022-10,46.3166,27.5005,23.2959,26.001656,0.54,0.6508
2022-11,48.1801,28.9921,23.4382,26.470245,0.56,0.7595
2022-12,48.6504,28.29,23.8715,27.231197,0.58,0.7283
2023-01,47.6057,28.7147,24.3043,26.119674,0.62,0.9488
2023-02,49.8951,31.0351,23.6082,25.500957,0.66,1.0175
2023-03,48.5647,28.2952,23.8749,25.813383,0.65,1.1044
2023-04,48.8656,30.2226,24.8457,26.084239,0.63,1.0072
2023-05,48.3131,29.045,24.6391,26.35499,0.63,1.0264
2023-06,50.2299,30.4834,24.771,26.060983,0.64,1.1306
2023-07,46.8785,29.2011,24.4913,26.258383,0.67,1.1606
2023-08,47.8509,29.6644,24.9634,26.116126,0.69,1.1077
2023-09,47.8005,30.6493,24.7852,25.827973,0.73,1.1578
2023-10,46.3003,29.0137,24.0354,25.973365,0.77,1.1584
2023-11,47.6479,30.5089,24.5563,26.535430,0.79,1.1506
2023-12,47.4769,28.9631,23.9838,27.156685,0.77,1.4941
2024-01,47.5038,29.8213,24.8585,25.891635,0.82,1.2968
2024-02,48.7129,31.5962,24.5899,25.412847,0.82,1.6833
2024-03,47.3313,29.9416,24.9811,25.897055,0.81,1.3826
2024-04,49.4372,31.3428,25.3222,25.630675,0.78,1.6128
2024-05,48.6377,30.6282,25.4374,25.848112,0.76,1.3650
2024-06,48.4580,31.6472,25.4354,25.845951,0.76,1.4914
2024-07,47.4950,30.7158,25.5435,25.792463,0.78,1.1574
2024-08,48.1669,31.3514,26.0985,25.738037,0.79,1.4011
2024-09,47.4646,31.8168,25.5268,25.515719,0.83,1.3242
2024-10,47.3455,30.2035,24.9285,25.729063,0.83,1.4668
2024-11,48.4576,32.0933,25.2489,25.939172,0.83,1.2569
2024-12,49.8582,30.3995,24.5777,26.872655,0.81,1.2427
2025-01,49.2229,31.0803,25.2716,25.474341,0.83,1.5288
2025-02,51.0970,33.3144,24.1781,24.703052,0.83,1.8149
2025-03,48.3925,30.0985,24.0557,25.300819,0.81,1.5193
2025-04,50.5588,32.3256,25.2627,25.209258,0.80,1.2747
2025-05,49.6719,31.1824,24.9054,25.447442,0.78,1.2838
2025-06,49.7907,31.9849,24.7268,25.320760,0.78,1.3446
2025-07,49.2207,31.0227,24.9995,25.398900,0.79,1.1121
