month,report_date,filing_date,accession,days_in_period,payment_rate_pct,portfolio_yield_pct,excess_spread_pct_group1,n_series_at_that_es,ending_principal_receivables_usd,ending_total_receivables_usd,ending_total_principal_balance_usd,ending_transferor_amount_usd,beginning_accounts,ending_accounts,total_fc_collections_usd,fc_collections_excl_recoveries_usd,recoveries_usd,total_principal_collections_usd,new_principal_receivables_usd,defaulted_amount_usd,net_default_amount_usd,ann_default_rate_pct,ann_recovery_rate_pct,ann_default_rate_net_pct,dq3160_usd,dq3160_pct,dq6190_usd,dq6190_pct,dq91120_usd,dq91120_pct,dq120p_usd,dq120p_pct,dq30p_usd,dq30p_pct
2016-01,2016-01-31,2016-02-16,0001193125-16-464541,31.0,34.1184,19.4775,16.5179,4,26565203924.76,27243468417.49,26565203924.76,13579686924.76,19038189.0,19028765.0,503135835.18,486938377.95,16197457.23,9807405719.13,8597640459.89,42955742.64,26758285.41,1.9039,0.7179,1.186,67373474.0,0.25,52316064.0,0.19,46824051.0,0.17,73386374.0,0.27,239899963.0,0.88
2016-02,2016-02-29,2016-03-15,0001193125-16-504713,29.0,34.9205,19.6789,15.4292,4,25577493695.26,26245971961.13,25577493695.26,12591976695.26,19028765.0,19019489.0,459017254.8,443311856.6,15705398.2,8967473914.43,8023425601.27,43661916.34,27956518.14,2.1485,0.7728,1.3757,76146062.0,0.29,48082518.0,0.18,44676365.0,0.17,74173827.0,0.28,243078772.0,0.93
2016-03,2016-03-31,2016-04-15,0001193125-16-542792,31.0,33.644,18.4253,15.4455,4,25467922060.79,26140252258.49,25467922060.79,12482405060.79,19019489.0,18284311.0,443012479.89,424615281.3,18397198.59,8846626081.58,8912759028.01,44802680.6,26405482.01,2.0713,0.8505,1.2208,68838356.0,0.26,50864610.0,0.19,39505787.0,0.15,71102684.0,0.27,230311437.0,0.88
2016-04,2016-04-30,2016-05-16,0001193125-16-591471,30.0,34.8546,20.0105,16.4032,4,25418910334.07,26082445382.23,25418910334.07,12433393334.07,18284311.0,18274774.0,462570973.78,445329386.72,17241587.06,8876750375.11,8871439425.15,43700776.76,26459189.7,2.0917,0.8253,1.2665,59071846.0,0.23,48919958.0,0.19,42149887.0,0.16,65928739.0,0.25,216070430.0,0.83
2016-05,2016-05-31,2016-06-15,0001193125-16-622122,31.0,33.3819,18.6068,15.6305,4,25669461910.6,26344190747.82,25669461910.6,12683944910.6,18274774.0,18265634.0,445068862.4,429496249.56,15572612.84,8768153996.83,9062077669.66,43372096.3,27799483.46,1.9894,0.7143,1.2751,63556187.0,0.24,43702222.0,0.17,42071312.0,0.16,63924015.0,0.24,213253736.0,0.81
2016-06,2016-06-30,2016-07-15,0001193125-16-649133,30.0,39.3585,20.9549,17.3347,4,24683747168.7,25334451013.38,24683747168.7,11647108168.7,18265634.0,16511354.0,467985555.57,451914200.29,16071355.28,9871578545.78,9510137212.44,36007567.52,19936212.24,1.7748,0.79,0.9827,57241746.0,0.23,40306258.0,0.16,33104452.0,0.13,57485067.0,0.23,188137522.0,0.74
2016-07,2016-07-31,2016-08-15,0001193125-16-681543,31.0,32.4683,20.0465,17.0978,3,24494697180.66,25157645348.77,24494697180.66,11458058180.66,16511354.0,16504472.0,454699974.71,440953706.88,13746267.83,8281540140.27,8126929556.3,34439404.07,20693136.24,1.6554,0.66,0.9947,62729478.0,0.25,41122582.0,0.16,35126736.0,0.14,54440349.0,0.22,193419145.0,0.77
2016-08,2016-08-31,2016-09-15,0001193125-16-710650,31.0,32.3736,19.1951,16.23,3,24392852898.09,25062529410.94,24392852898.09,11356213898.09,16504472.0,16497613.0,434377777.29,421062836.36,13314940.93,8194145611.76,8127350252.86,35048923.67,21733982.74,1.6918,0.64,1.0491,60419443.0,0.24,45361997.0,0.18,35608575.0,0.14,53511711.0,0.21,194901726.0,0.78
2016-09,2016-09-30,2016-10-17,0001193125-16-739319,30.0,32.542,19.9985,16.3914,3,24085550466.42,24752112143.46,24085550466.42,11048911466.42,16497613.0,16113466.0,433940535.75,420800854.26,13139681.49,7937912117.35,7663602787.0,32993101.32,19853419.83,1.6666,0.66,1.0029,65460853.0,0.26,45358212.0,0.18,37373362.0,0.15,55979770.0,0.23,204172198.0,0.82
2016-10,2016-10-31,2016-11-15,0001193125-16-768610,31.0,30.5546,18.4865,15.4578,3,24196634991.79,24879669731.13,24196634991.79,11618980991.79,16113466.0,16106432.0,413483451.0,400972535.36,12510915.64,7604539801.8,7750944249.34,35319922.17,22809006.53,1.7187,0.61,1.1099,69929989.0,0.28,48491732.0,0.19,38196130.0,0.15,57719959.0,0.23,214337809.0,0.86
