month,adv_us_options_kcontracts,rpc_us_options_usd,adv_futures_kcontracts,rpc_futures_usd,adv_us_equities_matched_shares_bn,rpc_us_equities_usd_per100shares,adv_eu_equities_adnv_eurbn,rpc_eu_equities_bps,adv_fx_adnv_usdbn,rpc_fx_usd_per_usdmn,adv_multilist_options_kcontracts,rpc_multilist_options_usd,adv_index_options_kcontracts,rpc_index_options_usd,adv_spx_options_kcontracts,adv_vix_options_kcontracts,adv_vix_futures_kcontracts,adv_xsp_options_kcontracts,adv_minivix_futures_kcontracts
2016-01,7083.987895,0.266780,272.021211,1.636000,1.987714,0.019041,14.028315,0.139453,30.687322,2.836483,5088.328895,0.087335,1995.659000,0.738295,1163.186211,677.005053,271.994158,,
2016-02,6163.312850,0.265273,204.623650,1.623000,1.884873,0.018585,13.234546,0.139920,32.587403,2.733333,4421.283250,0.084029,1742.029600,0.733131,979.992500,641.335200,204.609350,,
2016-03,5757.617409,0.264290,179.127818,1.643000,1.613460,0.019460,10.686084,0.143024,25.505649,2.725562,4042.556727,0.080558,1715.060682,0.719988,949.851045,652.964318,179.115636,,
2016-04,5779.969286,0.252362,219.308143,1.697000,1.448921,0.020531,10.357954,0.148904,25.592297,2.625591,4306.113571,0.076984,1473.855714,0.706025,818.243429,561.491333,219.281810,,
2016-05,5711.379048,0.245067,229.340190,1.721000,1.442438,0.021756,9.374724,0.155102,23.373246,2.646676,4173.913476,0.073716,1537.465571,0.698214,899.005810,527.948143,229.266571,,
2016-06,6804.423409,0.245317,322.790682,1.682000,1.542495,0.021990,12.351604,0.151731,28.789877,2.614632,4760.583682,0.070936,2043.839727,0.701107,1195.702955,725.052409,322.753000,,
2016-07,6138.047600,0.248159,223.786900,1.677000,1.350015,0.022372,10.094408,0.150847,26.238822,2.695540,4442.160350,0.067770,1695.887250,0.704494,1061.948000,533.549000,223.767000,,
2016-08,5385.917609,0.247004,207.247957,1.702000,1.290238,0.022270,8.050995,0.155982,22.631837,2.726247,3939.852652,0.065965,1446.064957,0.705797,865.762913,502.529826,207.229609,,
2016-09,6790.028048,0.234203,302.232000,1.709000,1.473400,0.021647,9.437093,0.156147,28.264911,2.701123,4995.499762,0.060013,1794.528286,0.706569,1087.056238,615.166238,302.205095,,
2016-10,5890.932905,0.227978,233.821905,1.718000,1.293618,0.020752,10.063803,0.158244,25.293665,2.692742,4451.863952,0.059500,1439.068952,0.709290,899.523000,453.035905,233.800857,,
2016-11,7473.326762,0.229995,270.519286,1.679488,1.617598,0.020348,10.574201,0.157197,30.372597,2.636861,5427.338095,0.059092,2045.988667,0.711497,1239.362429,689.361524,270.488095,,
2016-12,6066.211952,0.234330,203.458762,1.683000,1.326921,0.020956,8.700388,0.160428,24.382568,2.654069,4327.315190,0.058554,1738.896762,0.712352,1147.233762,486.857714,203.429857,,
2017-01,6521.75895,0.242424,233.7069,1.710289,1.30235,0.02134,9.133515,0.165564,29.550458,2.589864,4687.68275,0.059666,1834.0762,0.71221,1104.46885,629.127,233.5644,,
2017-02,7105.014684,0.24544,262.099579,1.778512,1.31082,0.022423,10.093421,0.171748,26.9796,2.596112,5052.646947,0.059206,2052.367737,0.711265,1242.679737,710.791789,261.867684,,
2017-03,6929.896522,0.24287,268.127739,1.814093,1.324905,0.022956,10.172819,0.168849,29.695577,2.565684,4996.178696,0.059381,1933.717826,0.70814,1185.385217,647.335,267.863174,,
2017-04,7191.714895,0.241279,301.408842,1.793531,1.270699,0.023477,10.995318,0.16633,27.700633,2.61539,5095.017421,0.058226,2096.697474,0.69809,1113.296316,880.811263,300.640684,,
2017-05,7039.189227,0.232135,305.254318,1.766833,1.285309,0.023463,10.197143,0.161832,28.141275,2.634016,5269.891227,0.057736,1769.298,0.695817,1033.402,652.619,304.410045,,
2017-06,6895.243318,0.225021,312.958318,1.761566,1.387309,0.023223,9.953278,0.162115,27.907539,2.652051,5185.293682,0.058177,1709.949636,0.693549,1038.872182,585.331682,312.545818,,
2017-07,6427.313,0.222195,298.2531,1.790862,1.158016,0.023381,9.685297,0.161042,27.096033,2.643399,4614.86035,0.058366,1812.45265,0.690345,998.2532,734.726,297.85115,,
2017-08,7036.985957,0.236554,398.57913,1.738543,1.154736,0.022822,8.046672,0.163724,27.075757,2.667016,4807.182435,0.060455,2229.803522,0.682509,1166.82887,968.457,397.969435,,
2017-09,6746.75555,0.246842,286.23735,1.751643,1.185267,0.022183,8.340694,0.167931,33.123814,2.62531,4615.83335,0.060831,2130.9222,0.668704,1189.97205,849.02745,285.8109,,
2017-10,6871.228318,0.24939,266.679318,1.734067,1.153686,0.021267,8.82732,0.172812,32.035529,2.591378,4870.332591,0.060407,2000.895727,0.674191,1233.974682,684.760318,266.142955,,
2017-11,7393.419429,0.241768,301.858286,1.801604,1.238908,0.021192,9.682464,0.174739,33.971142,2.539944,5249.69681,0.057442,2143.722619,0.675375,1393.950667,657.431476,301.013667,,
2017-12,6821.23755,0.239481,288.9939,1.79916,1.138152,0.022089,7.981902,0.177182,31.172506,2.574589,4790.55855,0.056396,2030.679,0.681763,1265.0587,677.21625,284.99735,,
2018-01,9040.050524,0.240603,350.095,1.775744,1.293165,0.023486,10.028991,0.184123,42.620023,2.518768,6385.586714,0.055398,2654.46381,0.68671,1551.759048,996.179048,342.513143,,
2018-02,10164.337789,0.258149,482.969,1.754428,1.676972,0.02403,11.672735,0.190986,44.206698,2.478552,6671.218263,0.058978,3493.119526,0.695314,1823.097421,1560.902053,475.886684,,
2018-03,8173.436143,0.260934,281.431,1.727253,1.482425,0.022885,10.72651,0.190276,38.107558,2.450733,5837.07619,0.060561,2336.359952,0.709762,1549.324286,693.96281,274.003286,,
2018-04,7538.353429,0.262671,261.154,1.658356,1.343239,0.022073,10.198362,0.185933,36.331115,2.496794,5541.269476,0.064285,1997.083952,0.723679,1339.672714,579.431238,255.401095,,
2018-05,6710.652091,0.248101,243.501,1.632006,1.252334,0.021939,10.491359,0.183607,40.881477,2.542093,5015.813727,0.065765,1694.838364,0.744534,1210.066136,412.964,237.545818,,
2018-06,7054.978762,0.240987,269.569,1.632687,1.287067,0.023151,10.903323,0.183114,37.794978,2.563087,5246.919381,0.062918,1808.059381,0.752864,1209.246619,525.013429,265.796667,,
2018-07,6394.555619,0.239674,221.037,1.664568,1.10379,0.023856,9.657336,0.185761,33.171186,2.585759,4777.529095,0.064366,1617.026524,0.754698,1167.719381,388.686048,216.006,,
2018-08,6812.46913,0.240219,253.321,1.682619,1.087899,0.024741,8.937317,0.18833,34.871829,2.62204,4995.618174,0.063034,1816.850957,0.747264,1288.24487,463.469826,248.841652,,
2018-09,7011.755105,0.243841,240.861211,1.708993,1.146952,0.025755,10.221026,0.194909,35.776922,2.630676,5135.492158,0.068179,1876.262947,0.737111,1301.414579,508.653,237.329474,,
2018-10,9354.135478,0.258666,422.439174,1.722098,1.563201,0.026159,11.989243,0.196108,36.574572,2.620729,6624.360522,0.073682,2729.774957,0.739965,1800.008217,808.694,419.889174,,
2018-11,7720.851571,0.265414,271.229,1.712389,1.348253,0.02704,10.316303,0.19832,34.860458,2.623187,5555.268762,0.079256,2165.58281,0.73963,1554.355857,542.079238,266.788714,,
2018-12,8692.120053,0.280219,310.61075,1.697168,1.609432,0.027379,9.295752,0.200217,33.551389,2.633625,5958.608105,0.083434,2733.511947,0.749749,2027.102947,609.033947,306.35685,,
2019-01,7346.315526,0.270773,235.61969,1.726169,1.281345,0.028696,9.115052,0.205539,36.324446,2.631045,5407.364571,0.079281,1938.950954,0.746867,1369.993,498.569238,233.16045,27.61057142857143,
2019-02,6727.213737,0.261705,201.335842,1.735084,1.148765,0.029506,9.439346,0.209718,34.519735,2.621802,5018.243368,0.074139,1708.970368,0.744564,1156.117316,486.212,199.680105,30.064,
