month,adv_total_kcontracts,adv_rates_kcontracts,adv_equity_kcontracts,adv_energy_kcontracts,adv_ag_kcontracts,adv_fx_kcontracts,adv_metals_kcontracts,adv_globex_electronic_kcontracts,adv_openoutcry_kcontracts,adv_privately_negotiated_kcontracts,adv_clearport_kcontracts,oi_total_contracts,oi_rates_contracts,oi_equity_contracts,oi_energy_contracts,oi_ag_contracts,oi_fx_contracts,oi_metals_contracts,trading_days
2008-01,15964,8733,4078,1398,906,596,253,12307,3004,231,421,90313556,51361111,6316205,22993625,6984420,1376755,1281440,21
2008-02,14968,8485,3115,1535,1041,566,226,11766,2491,262,450,90015166,49730087,6388173,23877230,7064729,1604697,1350250,20
2008-03,15389,7512,4282,1657,903,759,276,12267,2304,325,493,80552566,40148574,5452690,24829735,7507950,1379061,1234556,20
2008-04,11833,6038,2622,1410,937,613,212,9162,2078,180,414,83671918,42757073,5818649,25351192,6977508,1478184,1289312,22
2008-05,12440,6627,2649,1563,751,621,227,9784,2003,196,457,85578319,43562915,6318106,25591626,7349006,1600775,1155891,21
2008-06,14069,6758,3729,1492,1110,764,216,11317,2151,240,360,80473173,39313774,5594167,26043181,6957408,1304104,1260539,21
2008-07,12943,5952,3693,1509,878,640,271,10544,1747,194,458,83136964,40818922,6245859,26480108,6957700,1355137,1279238,22
2008-08,10936,5056,2733,1396,852,659,240,8835,1524,165,412,82270810,40344845,6185896,26597330,6509728,1417464,1215547,21
2008-09,15564,7086,5105,1519,736,835,283,12685,2164,251,464,74253037,33648621,5768336,25948973,6524161,1183305,1179641,21
2008-10,12448,4566,4930,1413,772,561,206,10023,1743,199,484,77403706,35591889,6388645,26808631,6116912,1259133,1238496,23
2008-11,10315,3737,3913,1249,724,471,221,8282,1455,166,413,72557906,33882975,6388880,25554629,4602297,1201582,927543,19
2008-12,8132,2741,3083,1196,577,405,130,6432,1156,137,407,63048966,26138135,4502824,26001948,4628237,762486,1015336,22
2009-01,9403,3577,2985,1510,655,460,215,7353,1330,165,555,70132910,29120339,5266564,28664917,5040491,934596,1106003,20
2009-02,10717,4143,3436,1621,789,512,216,8519,1393,171,634,73191422,30141936,6010128,30510576,4258779,1050526,1219477,19
2009-03,10788,3825,4126,1452,624,546,215,8759,1298,159,572,69161166,25815109,4835102,31534294,4921647,878352,1176662,22
2009-04,9099,3321,3045,1318,801,451,164,7343,1134,138,484,73336459,27891995,5056904,33516183,4751026,924457,1195894,21
2009-05,10606,4723,2996,1407,731,544,206,8443,1535,159,470,75535998,29127588,5235997,33284399,5557681,1076283,1254050,20
2009-06,11307,5107,2926,1460,912,702,201,8987,1621,220,479,73411652,27385171,4284093,34411178,5101940,926165,1303105,22
2009-07,9676,4168,2532,1421,748,612,195,7908,1185,150,433,76928457,29067752,4695544,35480656,5349007,1021837,1313661,22
2009-08,10194,4738,2452,1470,735,616,184,8267,1339,149,440,79135743,30686715,4909765,35842303,5235751,1099287,1361922,21
2009-09,10548,4373,2990,1564,639,756,226,8645,1273,142,489,76399595,28245984,4472741,35470709,5667589,1074251,1468321,21
2009-10,10793,4472,2824,1726,785,747,239,8873,1186,175,559,82707729,31087552,4901737,38142685,5730059,1178331,1667365,22
2009-11,10794,4786,2479,1514,862,782,372,8822,1372,174,427,82755686,33158010,5006458,36783754,4926598,1316926,1563940,20
2009-12,9191,3886,2237,1448,614,735,273,7540,1087,160,403,78198925,29425067,4292591,36831339,4866402,1168076,1615450,22
2010-01,11213,4761,2861,1646,771,820,355,9201,1317,179,516,85194618,33261709,5065461,38367583,5638241,1295505,1566119,19
2010-02,12515,5671,2956,1706,913,931,338,10476,1354,218,467,87079776,34845146,5315531,38496678,5276016,1531133,1615272,19
2010-03,11016,4961,2662,1497,692,907,296,9105,1288,177,446,85825740,32906842,4537689,39093263,6088623,1584006,1615317,23
2010-04,11939,5605,2590,1748,894,842,260,9970,1409,172,388,90960717,36669471,5181327,39570262,5998979,1779659,1761019,22
