ym,net_sales_bn,weeks,ns_yoy,us_r,ca_r,oi_r,tc_r,us_a,ca_a,oi_a,tc_a,wh_total,wh_us,ec_r,ec_a
2015-12,12.45,5.0,3.0,3.0,-9.0,-3.0,1.0,4.0,9.0,5.0,5.0,698.0,488.0,,
2016-01,8.32,4.0,2.0,1.0,-6.0,0.0,0.0,1.0,11.0,10.0,4.0,698.0,488.0,,
2016-02,8.28,4.0,1.0,2.0,-2.0,-8.0,0.0,4.0,10.0,0.0,4.0,698.0,488.0,,
2016-03,10.71,5.0,3.0,1.0,3.0,-1.0,1.0,3.0,9.0,5.0,4.0,702.0,492.0,,
2016-04,8.98,4.0,3.0,0.0,2.0,-3.0,0.0,2.0,7.0,1.0,3.0,705.0,493.0,,
2016-05,9.23,4.0,3.0,1.0,-1.0,-3.0,0.0,4.0,6.0,3.0,4.0,706.0,494.0,,
2016-06,11.33,5.0,3.0,0.0,1.0,-3.0,0.0,2.0,7.0,2.0,3.0,708.0,496.0,,
2016-07,8.65,4.0,0.1,-3.0,3.0,-2.0,-2.0,0.0,6.0,2.0,1.0,708.0,496.0,,
2016-08,8.9,4.0,2.0,0.0,4.0,0.0,0.0,2.0,4.0,0.0,2.0,,,,
2016-09,11.06,5.0,3.0,0.0,6.0,0.0,1.0,0.0,5.0,0.0,1.0,715.0,501.0,,
2016-10,9.11,4.0,4.0,2.0,4.0,0.0,2.0,2.0,5.0,3.0,2.0,717.0,503.0,,
2016-11,9.95,4.0,3.0,1.0,1.0,-2.0,1.0,1.0,3.0,4.0,2.0,723.0,506.0,,
2016-12,13.07,5.0,5.0,3.0,7.0,-3.0,3.0,3.0,4.0,4.0,3.0,723.0,506.0,,
2017-01,9.08,4.0,9.0,6.0,11.0,4.0,7.0,5.0,1.0,8.0,5.0,725.0,506.0,,
2017-02,8.92,4.0,8.0,5.0,10.0,-2.0,4.0,2.0,2.0,-1.0,2.0,728.0,508.0,,
2017-03,11.64,5.0,9.0,7.0,3.0,4.0,6.0,6.0,3.0,6.0,5.0,729.0,508.0,,
2017-04,9.42,4.0,5.0,4.0,-1.0,2.0,3.0,3.0,3.0,5.0,3.0,729.0,508.0,,
2017-05,9.86,4.0,7.0,5.2,-2.2,4.9,4.1,4.5,3.0,6.4,4.5,732.0,510.0,,
2017-06,12.17,5.0,7.0,6.5,3.2,6.2,6.0,6.3,6.8,7.1,6.5,734.0,511.0,,
2017-07,9.41,4.0,8.8,6.0,7.2,6.3,6.2,5.5,4.0,5.9,5.3,736.0,511.0,,
2017-08,9.8,4.0,10.0,7.4,8.2,6.0,7.3,6.1,4.3,6.7,5.9,,,,
2017-09,12.4,5.0,12.1,9.0,9.4,8.2,8.9,7.1,1.4,7.2,6.2,,,30.0,
2017-10,10.02,4.0,10.1,7.0,9.0,8.2,7.5,5.9,2.8,7.4,5.6,744.0,517.0,31.0,
2017-11,11.26,4.0,13.2,10.2,13.8,11.1,10.8,8.4,6.3,7.2,7.9,746.0,518.0,39.0,
2017-12,14.94,5.0,14.3,10.5,11.9,17.0,11.5,9.1,6.1,9.6,8.8,746.0,518.0,33.3,32.2
2018-01,12.24,5.0,8.4,4.9,8.3,9.8,6.0,3.6,1.3,0.6,2.9,746.0,518.0,34.8,32.9
2018-02,10.21,4.0,12.8,9.0,8.4,22.2,10.5,7.5,3.2,14.1,7.7,749.0,519.0,38.1,37.0
2018-03,12.92,5.0,10.9,8.3,7.1,12.3,8.6,6.7,2.0,5.4,5.8,749.0,519.0,33.2,32.1
