vintage,cohort,n_whses,fiscal_year,avg_sales_musd
FY2020,2020,13,2020,132
FY2020,2019,20,2019,129
FY2020,2019,20,2020,138
FY2020,2018,21,2018,116
FY2020,2018,21,2019,119
FY2020,2018,21,2020,141
FY2020,2017,26,2017,121
FY2020,2017,26,2018,142
FY2020,2017,26,2019,158
FY2020,2017,26,2020,176
FY2020,2016,29,2016,87
FY2020,2016,29,2017,97
FY2020,2016,29,2018,118
FY2020,2016,29,2019,131
FY2020,2016,29,2020,145
FY2020,2015,23,2015,83
FY2020,2015,23,2016,85
FY2020,2015,23,2017,94
FY2020,2015,23,2018,112
FY2020,2015,23,2019,122
FY2020,2015,23,2020,136
FY2020,2014,30,2014,108
FY2020,2014,30,2015,109
FY2020,2014,30,2016,115
FY2020,2014,30,2017,125
FY2020,2014,30,2018,140
FY2020,2014,30,2019,144
FY2020,2014,30,2020,155
FY2020,2013,26,2013,99
FY2020,2013,26,2014,109
FY2020,2013,26,2015,113
FY2020,2013,26,2016,116
FY2020,2013,26,2017,124
FY2020,2013,26,2018,137
FY2020,2013,26,2019,144
FY2020,2013,26,2020,158
FY2020,2012,15,2012,105
FY2020,2012,15,2013,115
FY2020,2012,15,2014,124
FY2020,2012,15,2015,128
FY2020,2012,15,2016,130
FY2020,2012,15,2017,139
FY2020,2012,15,2018,152
FY2020,2012,15,2019,158
FY2020,2012,15,2020,173
FY2020,2011 & Before,592,2011,146
FY2020,2011 & Before,592,2012,156
FY2020,2011 & Before,592,2013,164
FY2020,2011 & Before,592,2014,171
FY2020,2011 & Before,592,2015,171
FY2020,2011 & Before,592,2016,170
FY2020,2011 & Before,592,2017,176
FY2020,2011 & Before,592,2018,189
FY2020,2011 & Before,592,2019,196
FY2020,2011 & Before,592,2020,206
FY2020,Totals,795,2011,146
FY2020,Totals,795,2012,155
FY2020,Totals,795,2013,160
FY2020,Totals,795,2014,164
FY2020,Totals,795,2015,162
FY2020,Totals,795,2016,159
FY2020,Totals,795,2017,163
FY2020,Totals,795,2018,176
FY2020,Totals,795,2019,182
FY2020,Totals,795,2020,192
FY2021,2021,20,2021,140
FY2021,2020,13,2020,132
FY2021,2020,13,2021,152
FY2021,2019,20,2019,129
FY2021,2019,20,2020,138
FY2021,2019,20,2021,172
FY2021,2018,21,2018,116
FY2021,2018,21,2019,119
FY2021,2018,21,2020,141
FY2021,2018,21,2021,172
FY2021,2017,26,2017,121
FY2021,2017,26,2018,142
FY2021,2017,26,2019,158
FY2021,2017,26,2020,176
FY2021,2017,26,2021,206
FY2021,2016,29,2016,87
FY2021,2016,29,2017,97
FY2021,2016,29,2018,118
FY2021,2016,29,2019,131
FY2021,2016,29,2020,145
FY2021,2016,29,2021,173
FY2021,2015,23,2015,83
FY2021,2015,23,2016,85
FY2021,2015,23,2017,94
FY2021,2015,23,2018,112
FY2021,2015,23,2019,122
FY2021,2015,23,2020,136
FY2021,2015,23,2021,163
FY2021,2014,30,2014,108
FY2021,2014,30,2015,109
FY2021,2014,30,2016,115
FY2021,2014,30,2017,125
FY2021,2014,30,2018,140
FY2021,2014,30,2019,144
FY2021,2014,30,2020,155
FY2021,2014,30,2021,182
FY2021,2013,26,2013,99
FY2021,2013,26,2014,109
FY2021,2013,26,2015,113
FY2021,2013,26,2016,116
FY2021,2013,26,2017,124
FY2021,2013,26,2018,137
FY2021,2013,26,2019,144
FY2021,2013,26,2020,158
FY2021,2013,26,2021,186
FY2021,2012 & Before,607,2012,155
FY2021,2012 & Before,607,2013,163
FY2021,2012 & Before,607,2014,169
FY2021,2012 & Before,607,2015,170
FY2021,2012 & Before,607,2016,169
FY2021,2012 & Before,607,2017,175
FY2021,2012 & Before,607,2018,188
FY2021,2012 & Before,607,2019,195
FY2021,2012 & Before,607,2020,205
FY2021,2012 & Before,607,2021,232
FY2021,Totals,815,2012,155
FY2021,Totals,815,2013,160
FY2021,Totals,815,2014,164
FY2021,Totals,815,2015,162
FY2021,Totals,815,2016,159
FY2021,Totals,815,2017,163
FY2021,Totals,815,2018,176
FY2021,Totals,815,2019,182
FY2021,Totals,815,2020,192
FY2021,Totals,815,2021,217
FY2022,2022,23,2022,150
FY2022,2021,20,2021,140
FY2022,2021,20,2022,158
FY2022,2020,13,2020,132
FY2022,2020,13,2021,152
FY2022,2020,13,2022,184
FY2022,2019,20,2019,129
FY2022,2019,20,2020,138
FY2022,2019,20,2021,172
FY2022,2019,20,2022,208
FY2022,2018,21,2018,116
FY2022,2018,21,2019,119
FY2022,2018,21,2020,141
FY2022,2018,21,2021,172
FY2022,2018,21,2022,202
FY2022,2017,26,2017,121
FY2022,2017,26,2018,142
FY2022,2017,26,2019,158
FY2022,2017,26,2020,176
FY2022,2017,26,2021,206
FY2022,2017,26,2022,237
FY2022,2016,29,2016,87
FY2022,2016,29,2017,97
FY2022,2016,29,2018,118
FY2022,2016,29,2019,131
FY2022,2016,29,2020,145
FY2022,2016,29,2021,173
FY2022,2016,29,2022,204
FY2022,2015,23,2015,83
FY2022,2015,23,2016,85
FY2022,2015,23,2017,94
FY2022,2015,23,2018,112
FY2022,2015,23,2019,122
FY2022,2015,23,2020,136
FY2022,2015,23,2021,163
FY2022,2015,23,2022,189
FY2022,2014,30,2014,108
FY2022,2014,30,2015,109
FY2022,2014,30,2016,115
FY2022,2014,30,2017,125
FY2022,2014,30,2018,140
FY2022,2014,30,2019,144
FY2022,2014,30,2020,155
FY2022,2014,30,2021,182
FY2022,2014,30,2022,208
FY2022,2013 & Before,633,2013,160
FY2022,2013 & Before,633,2014,167
FY2022,2013 & Before,633,2015,168
FY2022,2013 & Before,633,2016,167
FY2022,2013 & Before,633,2017,173
FY2022,2013 & Before,633,2018,186
FY2022,2013 & Before,633,2019,193
FY2022,2013 & Before,633,2020,203
FY2022,2013 & Before,633,2021,230
FY2022,2013 & Before,633,2022,261
FY2022,Totals,838,2013,160
FY2022,Totals,838,2014,164
FY2022,Totals,838,2015,162
FY2022,Totals,838,2016,159
FY2022,Totals,838,2017,163
FY2022,Totals,838,2018,176
FY2022,Totals,838,2019,182
FY2022,Totals,838,2020,192
FY2022,Totals,838,2021,217
FY2022,Totals,838,2022,245
FY2023,2023,23,2023,151
FY2023,2022,23,2022,150
FY2023,2022,23,2023,158
FY2023,2021,20,2021,140
FY2023,2021,20,2022,158
FY2023,2021,20,2023,172
FY2023,2020,13,2020,132
FY2023,2020,13,2021,152
FY2023,2020,13,2022,184
FY2023,2020,13,2023,193
FY2023,2019,20,2019,129
FY2023,2019,20,2020,138
FY2023,2019,20,2021,172
FY2023,2019,20,2022,208
FY2023,2019,20,2023,216
FY2023,2018,21,2018,116
FY2023,2018,21,2019,119
FY2023,2018,21,2020,141
FY2023,2018,21,2021,172
FY2023,2018,21,2022,202
FY2023,2018,21,2023,214
FY2023,2017,26,2017,121
FY2023,2017,26,2018,142
FY2023,2017,26,2019,158
FY2023,2017,26,2020,176
FY2023,2017,26,2021,206
FY2023,2017,26,2022,237
FY2023,2017,26,2023,247
FY2023,2016,29,2016,87
FY2023,2016,29,2017,97
FY2023,2016,29,2018,118
FY2023,2016,29,2019,131
FY2023,2016,29,2020,145
FY2023,2016,29,2021,173
FY2023,2016,29,2022,204
FY2023,2016,29,2023,212
FY2023,2015,23,2015,83
FY2023,2015,23,2016,85
FY2023,2015,23,2017,94
FY2023,2015,23,2018,112
FY2023,2015,23,2019,122
FY2023,2015,23,2020,136
FY2023,2015,23,2021,163
FY2023,2015,23,2022,189
FY2023,2015,23,2023,199
FY2023,2014 & Before,663,2014,164
FY2023,2014 & Before,663,2015,165
FY2023,2014 & Before,663,2016,165
FY2023,2014 & Before,663,2017,170
FY2023,2014 & Before,663,2018,184
FY2023,2014 & Before,663,2019,191
FY2023,2014 & Before,663,2020,201
FY2023,2014 & Before,663,2021,228
FY2023,2014 & Before,663,2022,259
FY2023,2014 & Before,663,2023,268
FY2023,Totals,861,2014,164
FY2023,Totals,861,2015,162
FY2023,Totals,861,2016,159
FY2023,Totals,861,2017,163
FY2023,Totals,861,2018,176
FY2023,Totals,861,2019,182
FY2023,Totals,861,2020,192
FY2023,Totals,861,2021,217
FY2023,Totals,861,2022,245
FY2023,Totals,861,2023,252
FY2024,2024,29,2024,170
FY2024,2023,23,2023,151
FY2024,2023,23,2024,166
FY2024,2022,23,2022,150
FY2024,2022,23,2023,158
FY2024,2022,23,2024,179
FY2024,2021,20,2021,140
FY2024,2021,20,2022,158
FY2024,2021,20,2023,172
FY2024,2021,20,2024,187
FY2024,2020,13,2020,132
FY2024,2020,13,2021,152
FY2024,2020,13,2022,184
FY2024,2020,13,2023,193
FY2024,2020,13,2024,215
FY2024,2019,20,2019,129
FY2024,2019,20,2020,138
FY2024,2019,20,2021,172
FY2024,2019,20,2022,208
FY2024,2019,20,2023,216
FY2024,2019,20,2024,226
FY2024,2018,21,2018,116
FY2024,2018,21,2019,119
FY2024,2018,21,2020,141
FY2024,2018,21,2021,172
FY2024,2018,21,2022,202
FY2024,2018,21,2023,214
FY2024,2018,21,2024,231
FY2024,2017,26,2017,121
FY2024,2017,26,2018,142
FY2024,2017,26,2019,158
FY2024,2017,26,2020,176
FY2024,2017,26,2021,206
FY2024,2017,26,2022,237
FY2024,2017,26,2023,247
FY2024,2017,26,2024,262
FY2024,2016,29,2016,87
FY2024,2016,29,2017,97
FY2024,2016,29,2018,118
FY2024,2016,29,2019,131
FY2024,2016,29,2020,145
FY2024,2016,29,2021,173
FY2024,2016,29,2022,204
FY2024,2016,29,2023,212
FY2024,2016,29,2024,222
FY2024,2015 & Before,686,2015,162
FY2024,2015 & Before,686,2016,162
FY2024,2015 & Before,686,2017,168
FY2024,2015 & Before,686,2018,181
FY2024,2015 & Before,686,2019,189
FY2024,2015 & Before,686,2020,199
