fy,period_start,period_end,weeks,net_sales_mn,memb_fee_mn,total_rev_mn,merch_cost_mn,sga_mn,preopen_mn,op_income_mn,capex_mn,dda_mn,op_income_us_mn,op_income_ca_mn,op_income_oi_mn,seg_oi_basis,wh_us,wh_ca,wh_oi,wh_total,wh_open_us,wh_open_ca,wh_open_oi,wh_open_total,wh_owned,wh_leased,sqft_us_msf,sqft_ca_msf,sqft_oi_msf,sqft_total_msf,preopen_src,mdna_tkt_pct,mdna_frq_pct
FY2016,2015-08-31,2016-08-28,52,116073,2646,118719,102901,12146,78,3672,2649,1255,2326,778,568,pre-sbc-alloc,501,91,123,715,21,2,6,29,568,147,73.3,12.6,17.3,103.2,loader-folded,,
FY2017,2016-08-29,2017-09-03,53,126172,2853,129025,111882,13032,82,4111,2502,1370,2644,841,626,pre-sbc-alloc,514,97,130,741,13,6,7,26,587,154,75.4,13.5,18.4,107.3,loader-folded,,
FY2018,2017-09-04,2018-09-02,52,138434,3142,141576,123152,13944,68,4480,2969,1437,2787,939,754,pre-sbc-alloc,527,100,135,762,13,3,5,21,605,157,77.5,13.9,19.3,110.7,loader-folded,,
FY2019,2018-09-03,2019-09-01,52,149351,3352,152703,132886,15080,86,4737,2998,1492,3063,924,750,pre-sbc-alloc,543,100,139,782,16,0,4,20,620,162,79.9,14,20,113.9,loader-folded,,
FY2020,2019-09-02,2020-08-30,52,163220,3541,166761,144939,16387,55,5435,2810,1645,3822,778,835,sbc-alloc,552,101,142,795,9,1,3,13,629,166,81.4,14.3,20.4,116.1,issuer-folded,,
FY2021,2020-08-31,2021-08-29,52,192052,3877,195929,170684,18537,76,6708,3588,1781,4470,1093,1145,sbc-alloc,564,105,146,815,12,4,4,20,644,171,83.2,14.9,20.8,118.9,issuer-folded,,
FY2022,2021-08-30,2022-08-28,52,222730,4224,226954,199382,19779,,7793,3891,1900,5268,1346,1179,sbc-alloc,578,107,153,838,14,2,7,23,661,177,85.4,15.2,21.9,122.5,not-disclosed,,
FY2023,2022-08-29,2023-09-03,53,237710,4580,242290,212586,21590,,8114,4323,2077,5392,1448,1274,sbc-alloc,591,107,163,861,13,0,10,23,677,184,87.6,15.3,23.4,126.3,not-disclosed,,
FY2024,2023-09-04,2024-09-01,52,249625,4828,254453,222358,22810,,9285,4710,2237,6217,1648,1420,sbc-alloc,614,108,168,890,23,1,5,29,703,187,91.1,15.5,24.3,130.9,not-disclosed,,
FY2025,2024-09-02,2025-08-31,52,269912,5323,275235,239886,24966,,10383,5498,2426,6878,1849,1656,sbc-alloc,629,110,175,914,15,2,7,24,725,189,93.6,15.9,25.2,134.7,not-disclosed,1,5
