fq,period_start,period_end,weeks,scope,us_mn,ca_mn,oi_mn,total_mn,derived,accession
FY11Q1,2010-08-30,2010-11-21,12,Q,14011,3037,2191,19239,0,0001193125-11-344028
FY11Q2,2010-11-22,2011-02-13,12,Q,15241,3220,2414,20875,0,0001193125-12-115279
FY11Q3,2011-02-14,2011-05-08,12,Q,15172,3169,2282,20623,0,0001193125-12-261925
FY11Q4,2011-05-09,2011-08-28,16,Q,20480,4594,3104,28178,1,0001193125-11-271844
FY12Q1,2011-08-29,2011-11-20,12,Q,15614,3441,2573,21628,0,0001193125-11-344028
FY12Q2,2011-11-21,2012-02-12,12,Q,16611,3562,2794,22967,0,0001193125-12-115279
FY12Q3,2012-02-13,2012-05-06,12,Q,16203,3474,2647,22324,0,0001193125-12-261925
FY12Q4,2012-05-07,2012-09-02,17,Q,23348,5240,3630,32218,1,0001193125-12-428890
FY13Q1,2012-09-03,2012-11-25,12,Q,16918,3889,2908,23715,0,0001193125-12-512914
FY13Q2,2012-11-26,2013-02-17,12,Q,17794,4002,3075,24871,0,0001193125-13-117085
FY13Q3,2013-02-18,2013-05-12,12,Q,17444,3857,2782,24083,0,0001445305-13-001463
FY13Q4,2013-05-13,2013-09-01,16,Q,23337,5431,3719,32487,1,0001445305-13-002422
FY14Q1,2013-09-02,2013-11-24,12,Q,17724,4124,3169,25017,0,0000909832-13-000011
FY14Q2,2013-11-25,2014-02-16,12,Q,18859,4056,3391,26306,0,0000909832-14-000008
FY14Q3,2014-02-17,2014-05-11,12,Q,18655,3940,3199,25794,0,0000909832-14-000015
FY14Q4,2014-05-12,2014-08-31,16,Q,25239,5823,4461,35523,1,0000909832-14-000021
FY15Q1,2014-09-01,2014-11-23,12,Q,19181,4231,3454,26866,0,0000909832-14-000026
FY15Q2,2014-11-24,2015-02-15,12,Q,19879,4001,3574,27454,0,0000909832-15-000003
FY15Q3,2015-02-16,2015-05-10,12,Q,19141,3778,3182,26101,0,0000909832-15-000008
FY15Q4,2015-05-11,2015-08-30,16,Q,26150,5331,4297,35778,1,0000909832-15-000014
FY16Q1,2015-08-31,2015-11-22,12,Q,19846,3882,3492,27220,0,0000909832-15-000017
FY16Q2,2015-11-23,2016-02-14,12,Q,20642,3791,3737,28170,0,0000909832-16-000023
FY16Q3,2016-02-15,2016-05-08,12,Q,19528,3869,3372,26769,0,0000909832-16-000028
FY16Q4,2016-05-09,2016-08-28,16,Q,26563,5486,4511,36560,1,0000909832-16-000032
FY17Q1,2016-08-29,2016-11-20,12,Q,20377,4099,3623,28099,0,0000909832-16-000040
FY17Q2,2016-11-21,2017-02-12,12,Q,21764,4229,3773,29766,0,0000909832-17-000004
FY17Q3,2017-02-13,2017-05-07,12,Q,21172,4069,3619,28860,0,0000909832-17-000009
FY17Q4,2017-05-08,2017-09-03,17,Q,30576,6378,5346,42300,1,0000909832-17-000014
FY18Q1,2017-09-04,2017-11-26,12,Q,22813,4771,4225,31809,0,0000909832-17-000022
FY18Q2,2017-11-27,2018-02-18,12,Q,23687,4745,4563,32995,0,0000909832-18-000002
FY18Q3,2018-02-19,2018-05-13,12,Q,23475,4647,4239,32361,0,0000909832-18-000008
FY18Q4,2018-05-14,2018-09-02,16,Q,32311,6526,5574,44411,1,0000909832-18-000013
FY19Q1,2018-09-03,2018-11-25,12,Q,25550,4977,4542,35069,0,0000909832-18-000022
FY19Q2,2018-11-26,2019-02-17,12,Q,25872,4792,4732,35396,0,0000909832-19-000003
FY19Q3,2019-02-18,2019-05-12,12,Q,25536,4792,4412,34740,0,0000909832-19-000013
FY19Q4,2019-05-13,2019-09-01,16,Q,34793,6805,5900,47498,1,0000909832-19-000019
FY20Q1,2019-09-02,2019-11-24,12,Q,27065,5127,4848,37040,0,0000909832-19-000033
FY20Q2,2019-11-25,2020-02-16,12,Q,28523,5231,5318,39072,0,0000909832-20-000004
FY20Q3,2020-02-17,2020-05-10,12,Q,27626,4722,4918,37266,0,0000909832-20-000009
FY20Q4,2020-05-11,2020-08-30,16,Q,38928,7354,7101,53383,1,0000909832-20-000017
FY21Q1,2020-08-31,2020-11-22,12,Q,31292,6011,5905,43208,0,0000909832-20-000026
FY21Q2,2020-11-23,2021-02-14,12,Q,32127,6001,6641,44769,0,0000909832-21-000003
FY21Q3,2021-02-15,2021-05-09,12,Q,32759,6299,6219,45277,0,0000909832-21-000008
FY21Q4,2021-05-10,2021-08-29,16,Q,45220,8987,8468,62675,1,0000909832-21-000014
FY22Q1,2021-08-30,2021-11-21,12,Q,36317,7121,6925,50363,0,0000909832-21-000021
FY22Q2,2021-11-22,2022-02-13,12,Q,37567,7017,7320,51904,0,0000909832-22-000005
FY22Q3,2022-02-14,2022-05-08,12,Q,38534,7268,6794,52596,0,0000909832-22-000014
FY22Q4,2022-05-09,2022-08-28,16,Q,52876,10269,8946,72091,1,0000909832-22-000021
FY23Q1,2022-08-29,2022-11-20,12,Q,40145,7356,6936,54437,0,0000909832-22-000035
FY23Q2,2022-11-21,2023-02-12,12,Q,40145,7299,7822,55266,0,0000909832-23-000014
FY23Q3,2023-02-13,2023-05-07,12,Q,39049,7268,7331,53648,0,0000909832-23-000028
FY23Q4,2023-05-08,2023-09-03,17,Q,57291,11133,10515,78939,1,0000909832-23-000042
FY24Q1,2023-09-04,2023-11-26,12,Q,41833,7901,8065,57799,0,0000909832-23-000065
FY24Q2,2023-11-27,2024-02-18,12,Q,41952,7874,8616,58442,0,0000909832-24-000017
FY24Q3,2024-02-19,2024-05-12,12,Q,42449,8014,8052,58515,0,0000909832-24-000029
FY24Q4,2024-05-13,2024-09-01,16,Q,57909,11085,10703,79697,1,0000909832-24-000049
FY25Q1,2024-09-02,2024-11-24,12,Q,45088,8404,8659,62151,0,0000909832-24-000079
FY25Q2,2024-11-25,2025-02-16,12,Q,46413,8296,9014,63723,0,0000909832-25-000015
FY25Q3,2025-02-17,2025-05-11,12,Q,46318,8321,8566,63205,0,0000909832-25-000033
FY25Q4,2025-05-12,2025-08-31,16,Q,62227,11902,12027,86156,1,0000909832-25-000101
FY26Q1,2025-09-01,2025-11-23,12,Q,48569,9073,9665,67307,0,0000909832-25-000169
FY26Q2,2025-11-24,2026-02-15,12,Q,49931,9291,10375,69597,0,0000909832-26-000029
FY26Q3,2026-02-16,2026-05-10,12,Q,51434,9410,9683,70527,0,0000909832-26-000051
FY11,2010-08-30,2011-08-28,52,FY,64904,14020,9991,88915,0,0001193125-11-271844
FY12,2011-08-29,2012-09-02,53,FY,71776,15717,11644,99137,0,0001193125-12-428890
FY13,2012-09-03,2013-09-01,52,FY,75493,17179,12484,105156,0,0001445305-13-002422
FY14,2013-09-02,2014-08-31,52,FY,80477,17943,14220,112640,0,0000909832-14-000021
FY15,2014-09-01,2015-08-30,52,FY,84351,17341,14507,116199,0,0000909832-15-000014
FY16,2015-08-31,2016-08-28,52,FY,86579,17028,15112,118719,0,0000909832-16-000032
FY17,2016-08-29,2017-09-03,53,FY,93889,18775,16361,129025,0,0000909832-17-000014
FY18,2017-09-04,2018-09-02,52,FY,102286,20689,18601,141576,0,0000909832-18-000013
FY19,2018-09-03,2019-09-01,52,FY,111751,21366,19586,152703,0,0000909832-19-000019
FY20,2019-09-02,2020-08-30,52,FY,122142,22434,22185,166761,0,0000909832-20-000017
FY21,2020-08-31,2021-08-29,52,FY,141398,27298,27233,195929,0,0000909832-21-000014
FY22,2021-08-30,2022-08-28,52,FY,165294,31675,29985,226954,0,0000909832-22-000021
FY23,2022-08-29,2023-09-03,53,FY,176630,33056,32604,242290,0,0000909832-23-000042
FY24,2023-09-04,2024-09-01,52,FY,184143,34874,35436,254453,0,0000909832-24-000049
FY25,2024-09-02,2025-08-31,52,FY,200046,36923,38266,275235,0,0000909832-25-000101
