fq,filed,accession,basis,us_sales,ca_sales,oi_sales,tc_sales,us_tkt,ca_tkt,oi_tkt,tc_tkt,us_trf,ca_trf,oi_trf,tc_trf,mdna_tc_tkt,mdna_tc_frq
FY24Q3,2024-05-30,0000909832-24-000026,reported,6.2,7.7,7.7,6.6,0.7,0.6,0.3,0.5,5.5,7.1,7.4,6.1,,
FY24Q4,2024-09-26,0000909832-24-000043,reported,5.3,5.5,5.7,5.4,-0.3,-2.1,-2.2,-0.9,5.6,7.7,8.1,6.4,,
FY25Q1,2024-12-12,0000909832-24-000075,reported,5.2,5.8,4.7,5.2,0.3,-0.1,-0.6,0.1,4.9,5.9,5.3,5.1,,
FY25Q2,2025-03-06,0000909832-25-000012,adjusted,8.6,10.5,10.3,9.1,2.8,4.4,3.8,3.2,5.6,5.8,6.3,5.7,,
FY25Q2,2025-03-06,0000909832-25-000012,reported,8.3,4.6,1.7,6.8,2.6,-1.1,-4.3,1.0,5.6,5.8,6.3,5.7,,
FY25Q3,2025-05-29,0000909832-25-000031,adjusted,7.9,7.8,8.5,8.0,2.3,3.4,3.6,2.7,5.5,4.3,4.8,5.2,,
FY25Q3,2025-05-29,0000909832-25-000031,reported,6.6,2.9,3.2,5.7,1.1,-1.3,-1.5,0.4,5.5,4.3,4.8,5.2,,5
FY25Q4,2025-09-25,0000909832-25-000093,adjusted,6.0,8.3,7.2,6.4,2.4,2.8,3.9,2.6,3.5,5.3,3.2,3.7,,
FY25Q4,2025-09-25,0000909832-25-000093,reported,5.1,6.3,8.6,5.7,1.5,1.0,5.2,1.9,3.5,5.3,3.2,3.7,,
FY26Q1,2025-12-11,0000909832-25-000164,adjusted,5.9,9.0,6.8,6.4,3.2,3.8,3.6,3.2,2.6,5.0,3.1,3.1,,
FY26Q1,2025-12-11,0000909832-25-000164,reported,5.9,6.5,8.8,6.4,3.2,1.4,5.5,3.2,2.6,5.0,3.1,3.1,3,3
FY26Q2,2026-03-05,0000909832-26-000025,adjusted,6.4,7.6,7.1,6.7,3.9,3.1,2.4,3.5,2.4,4.3,4.6,3.1,,
FY26Q2,2026-03-05,0000909832-26-000025,reported,5.9,10.1,13.0,7.4,3.4,5.5,8.0,4.2,2.4,4.3,4.6,3.1,4,3
FY26Q3,2026-05-28,0000909832-26-000046,adjusted,6.8,6.2,5.9,6.6,5.0,1.7,3.0,4.2,1.8,4.4,2.9,2.4,,
FY26Q3,2026-05-28,0000909832-26-000046,reported,9.4,10.7,11.2,9.8,7.5,6.0,8.1,7.3,1.8,4.4,2.9,2.4,7,2
