month,trading_days_eurex,adv_eurex_total_contracts,adv_eurex_rates_contracts,adv_eurex_index_contracts,adv_eurex_equity_contracts,adv_eurex_dividend_contracts,oi_eurex_total_contracts,oi_eurex_rates_contracts,oi_eurex_index_contracts,oi_eurex_equity_contracts,oi_eurex_dividend_contracts,adv_bund_contracts,oi_bund_contracts,adv_bobl_contracts,oi_bobl_contracts,adv_schatz_contracts,oi_schatz_contracts,adv_btp_contracts,oi_btp_contracts,adv_oat_contracts,oi_oat_contracts,adv_euribor3m_contracts,oi_euribor3m_contracts,adv_estoxx50_fut_contracts,oi_estoxx50_fut_contracts,adv_estoxx50_opt_contracts,oi_estoxx50_opt_contracts,adv_dax_fut_contracts,oi_dax_fut_contracts,adv_dax_opt_contracts,oi_dax_opt_contracts,adv_vstoxx_fut_contracts,oi_vstoxx_fut_contracts,turnover_xetra_eurbn,turnover_fwb_eurbn,turnover_xetra_equities_eurbn,turnover_xetra_etp_eurbn,turnover_xetra_structured_eurbn,turnover_fwb_equities_eurbn,turnover_fwb_etp_eurbn,turnover_fwb_bonds_eurbn,turnover_fwb_funds_eurbn,turnover_fwb_structured_eurbn,trading_days_cash,vol_fd_total_contracts,vol_fd_index_contracts,vol_fd_equity_contracts,vol_fd_rates_contracts,otc_notional_outstanding_eurbn,otc_notional_cleared_eurbn,turnover_cash_total_eurbn,auc_securities_services_eurbn,settle_icsd_txn_mn,gsf_collateral_eurbn,cash_balances_eurmn,auc_fund_services_eurbn,settle_ifs_txn_mn,aum_stoxx_dax_etf_eurbn,vol_licensed_index_contracts,adv_360t_fx_eurbn,vol_power_spot_mwh,vol_power_deriv_mwh,vol_gas_mwh
2002-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,12115208,13629229,39598218,,,,,,,,,,,,,,,
2002-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,12688193,12005413,32398281,,,,,,,,,,,,,,,
2002-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,14710436,11701598,36361632,,,,,,,,,,,,,,,
2002-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,11293292,13620632,31100485,,,,,,,,,,,,,,,
2002-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,12006486,12861615,34603162,,,,,,,,,,,,,,,
2002-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,21957992,10436024,34703335,,,,,,,,,,,,,,,
2002-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,24581748,12276393,40613293,,,,,,,,,,,,,,,
2002-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,17188343,8822185,42548279,,,,,,,,,,,,,,,
2002-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,25236185,12788906,45622517,,,,,,,,,,,,,,,
2002-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,22943050,13360101,50242189,,,,,,,,,,,,,,,
2002-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,17172794,12532877,33383746,,,,,,,,,,,,,,,
2002-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,18811497,9331806,25953733,,,,,,,,,,,,,,,
2003-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,21641969,15228260,32161415,,,,,,,,,,,,,,,
2003-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,19085299,11823230,38981446,,,,,,,,,,,,,,,
2003-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,32838414,15000425,52760374,,,,,,,,,,,,,,,
