column,break_month,footnote,athex_memo_column,official_footnote
adv_cash_trades_k,2017-01,Equity Markets (3),athex_adv_cash_trades_k,"Includes figures from Euronext Dublin since January 2017, Euronext Oslo since January 2018, Borsa Italiana since May 2021 and Euronext Athens since November 2025"
adv_cash_trades_k,2018-01,Equity Markets (3),athex_adv_cash_trades_k,"Includes figures from Euronext Dublin since January 2017, Euronext Oslo since January 2018, Borsa Italiana since May 2021 and Euronext Athens since November 2025"
adv_cash_trades_k,2021-05,Equity Markets (3),athex_adv_cash_trades_k,"Includes figures from Euronext Dublin since January 2017, Euronext Oslo since January 2018, Borsa Italiana since May 2021 and Euronext Athens since November 2025"
adv_cash_trades_k,2025-11,Equity Markets (3),athex_adv_cash_trades_k,"Includes figures from Euronext Dublin since January 2017, Euronext Oslo since January 2018, Borsa Italiana since May 2021 and Euronext Athens since November 2025"
adv_cash_adnv_eurbn,2017-01,Equity Markets (3),athex_adv_cash_adnv_eurbn,"Includes figures from Euronext Dublin since January 2017, Euronext Oslo since January 2018, Borsa Italiana since May 2021 and Euronext Athens since November 2025"
adv_cash_adnv_eurbn,2018-01,Equity Markets (3),athex_adv_cash_adnv_eurbn,"Includes figures from Euronext Dublin since January 2017, Euronext Oslo since January 2018, Borsa Italiana since May 2021 and Euronext Athens since November 2025"
adv_cash_adnv_eurbn,2021-05,Equity Markets (3),athex_adv_cash_adnv_eurbn,"Includes figures from Euronext Dublin since January 2017, Euronext Oslo since January 2018, Borsa Italiana since May 2021 and Euronext Athens since November 2025"
adv_cash_adnv_eurbn,2025-11,Equity Markets (3),athex_adv_cash_adnv_eurbn,"Includes figures from Euronext Dublin since January 2017, Euronext Oslo since January 2018, Borsa Italiana since May 2021 and Euronext Athens since November 2025"
adv_cash_equities_adnv_eurbn,2017-01,Equity Markets (3),athex_adv_cash_equities_adnv_eurbn,"Includes figures from Euronext Dublin since January 2017, Euronext Oslo since January 2018, Borsa Italiana since May 2021 and Euronext Athens since November 2025"
adv_cash_equities_adnv_eurbn,2018-01,Equity Markets (3),athex_adv_cash_equities_adnv_eurbn,"Includes figures from Euronext Dublin since January 2017, Euronext Oslo since January 2018, Borsa Italiana since May 2021 and Euronext Athens since November 2025"
