company,period,metric,value,unit,source_url
AXP,2023-Q3,avg_cardmember_loans_incl_hfs,116626,USD_mn,https://www.sec.gov/Archives/edgar/data/4962/000000496224000051/q224exhibit992.htm
AXP,2023-Q3,net_interest_income,3442,USD_mn,https://www.sec.gov/Archives/edgar/data/4962/000000496223000037/q323exhibit992.htm
AXP,2023-Q3,net_interest_yield_on_cardmember_loans_oldbasis,11.7,pct_annualized,https://www.sec.gov/Archives/edgar/data/4962/000000496223000037/q323exhibit992.htm
AXP,2023-Q4,avg_cardmember_loans_incl_hfs,121774,USD_mn,https://www.sec.gov/Archives/edgar/data/4962/000000496224000051/q224exhibit992.htm
AXP,2023-Q4,net_interest_income,3604,USD_mn,https://www.sec.gov/Archives/edgar/data/4962/000000496224000008/q423exhibit992.htm
AXP,2023-Q4,net_interest_yield_on_cardmember_loans_oldbasis,11.7,pct_annualized,https://www.sec.gov/Archives/edgar/data/4962/000000496224000008/q423exhibit992.htm
AXP,2024-Q1,avg_cardmember_loans_incl_hfs,124720,USD_mn,https://www.sec.gov/Archives/edgar/data/4962/000000496224000051/q224exhibit992.htm
AXP,2024-Q1,net_interest_income,3769,USD_mn,https://www.sec.gov/Archives/edgar/data/4962/000000496224000029/q124exhibit992.htm
AXP,2024-Q1,net_interest_yield_on_cardmember_loans_oldbasis,12.0,pct_annualized,https://www.sec.gov/Archives/edgar/data/4962/000000496224000029/q124exhibit992.htm
AXP,2024-Q2,avg_cardmember_loans_incl_hfs,128321,USD_mn,https://www.sec.gov/Archives/edgar/data/4962/000000496224000051/q224exhibit992.htm
AXP,2024-Q2,net_interest_income,3730,USD_mn,https://www.sec.gov/Archives/edgar/data/4962/000000496224000051/q224exhibit992.htm
AXP,2024-Q2,net_interest_yield_on_cardmember_loans_oldbasis,11.7,pct_annualized,https://www.sec.gov/Archives/edgar/data/4962/000000496224000051/q224exhibit992.htm
AXP,2024-Q3,avg_cardmember_loans_incl_hfs,132956,USD_mn,https://www.sec.gov/Archives/edgar/data/4962/000000496224000067/q324exhibit992.htm
AXP,2024-Q3,net_interest_income,4006,USD_mn,https://www.sec.gov/Archives/edgar/data/4962/000000496224000067/q324exhibit992.htm
AXP,2024-Q3,net_interest_yield_newbasis,8.0,pct_annualized,https://www.sec.gov/Archives/edgar/data/4962/000000496225000218/q325exhibit992.htm
AXP,2024-Q3,net_interest_yield_on_cardmember_loans_oldbasis,12.0,pct_annualized,https://www.sec.gov/Archives/edgar/data/4962/000000496224000067/q324exhibit992.htm
AXP,2024-Q4,avg_cardmember_loans_incl_hfs,137161,USD_mn,https://www.sec.gov/Archives/edgar/data/4962/000000496225000007/q424exhibit992.htm
AXP,2024-Q4,net_interest_income,4038,USD_mn,https://www.sec.gov/Archives/edgar/data/4962/000000496225000007/q424exhibit992.htm
AXP,2024-Q4,net_interest_yield_newbasis,7.8,pct_annualized,https://www.sec.gov/Archives/edgar/data/4962/000000496225000218/q325exhibit992.htm
AXP,2024-Q4,net_interest_yield_on_cardmember_loans_oldbasis,11.8,pct_annualized,https://www.sec.gov/Archives/edgar/data/4962/000000496225000007/q424exhibit992.htm
AXP,2025-Q1,avg_card_balances_and_other_loans,204760,USD_mn,https://www.sec.gov/Archives/edgar/data/4962/000000496226000188/q126exhibit992.htm
AXP,2025-Q1,avg_cardmember_loans_incl_hfs,138457,USD_mn,https://www.sec.gov/Archives/edgar/data/4962/000000496225000034/q125exhibit992.htm
AXP,2025-Q1,net_interest_income,4169,USD_mn,https://www.sec.gov/Archives/edgar/data/4962/000000496225000034/q125exhibit992.htm
AXP,2025-Q1,net_interest_yield_newbasis,8.2,pct_annualized,https://www.sec.gov/Archives/edgar/data/4962/000000496225000218/q325exhibit992.htm
AXP,2025-Q1,net_interest_yield_on_cardmember_loans_oldbasis,12.2,pct_annualized,https://www.sec.gov/Archives/edgar/data/4962/000000496225000034/q125exhibit992.htm
AXP,2025-Q2,avg_card_balances_and_other_loans,211102,USD_mn,https://www.sec.gov/Archives/edgar/data/4962/000000496226000318/q226exhibit992.htm
AXP,2025-Q2,avg_cardmember_loans_incl_hfs,142603,USD_mn,https://www.sec.gov/Archives/edgar/data/4962/000000496225000082/q225exhibit992.htm
AXP,2025-Q2,net_interest_income,4187,USD_mn,https://www.sec.gov/Archives/edgar/data/4962/000000496225000082/q225exhibit992.htm
AXP,2025-Q2,net_interest_yield_newbasis,7.9,pct_annualized,https://www.sec.gov/Archives/edgar/data/4962/000000496225000218/q325exhibit992.htm
AXP,2025-Q2,net_interest_yield_on_cardmember_loans_oldbasis,11.8,pct_annualized,https://www.sec.gov/Archives/edgar/data/4962/000000496225000082/q225exhibit992.htm
AXP,2025-Q3,avg_card_balances_and_other_loans,214470,USD_mn,https://www.sec.gov/Archives/edgar/data/4962/000000496226000318/q226exhibit992.htm
AXP,2025-Q3,net_interest_income,4486,USD_mn,https://www.sec.gov/Archives/edgar/data/4962/000000496225000218/q325exhibit992.htm
AXP,2025-Q3,net_interest_yield_newbasis,8.2,pct_annualized,https://www.sec.gov/Archives/edgar/data/4962/000000496225000218/q325exhibit992.htm
AXP,2025-Q4,avg_card_balances_and_other_loans,221187,USD_mn,https://www.sec.gov/Archives/edgar/data/4962/000000496226000318/q226exhibit992.htm
AXP,2025-Q4,net_interest_income,4522,USD_mn,https://www.sec.gov/Archives/edgar/data/4962/000000496226000037/q425exhibit992.htm
AXP,2025-Q4,net_interest_yield_newbasis,8.0,pct_annualized,https://www.sec.gov/Archives/edgar/data/4962/000000496226000037/q425exhibit992.htm
AXP,2026-Q1,avg_card_balances_and_other_loans,222813,USD_mn,https://www.sec.gov/Archives/edgar/data/4962/000000496226000318/q226exhibit992.htm
AXP,2026-Q1,net_interest_income,4692,USD_mn,https://www.sec.gov/Archives/edgar/data/4962/000000496226000188/q126exhibit992.htm
AXP,2026-Q1,net_interest_yield_newbasis,8.4,pct_annualized,https://www.sec.gov/Archives/edgar/data/4962/000000496226000188/q126exhibit992.htm
AXP,2026-Q2,avg_card_balances_and_other_loans,227814,USD_mn,https://www.sec.gov/Archives/edgar/data/4962/000000496226000318/q226exhibit992.htm
AXP,2026-Q2,net_interest_income,4649,USD_mn,https://www.sec.gov/Archives/edgar/data/4962/000000496226000318/q226exhibit992.htm
AXP,2026-Q2,net_interest_yield_newbasis,8.1,pct_annualized,https://www.sec.gov/Archives/edgar/data/4962/000000496226000318/q226exhibit992.htm
CME,2023-Q1,rpc_agricultural,1.349,USD_per_contract,https://www.sec.gov/Archives/edgar/data/1156375/000115637524000070/exhibit9913312024.htm
CME,2023-Q1,rpc_energy,1.3,USD_per_contract,https://www.sec.gov/Archives/edgar/data/1156375/000115637524000070/exhibit9913312024.htm
CME,2023-Q1,rpc_equity_indexes,0.595,USD_per_contract,https://www.sec.gov/Archives/edgar/data/1156375/000115637524000070/exhibit9913312024.htm
CME,2023-Q1,rpc_foreign_exchange,0.79,USD_per_contract,https://www.sec.gov/Archives/edgar/data/1156375/000115637524000070/exhibit9913312024.htm
