month,revenue_ntd_mn,revenue_turnkey_ntd_mn,revenue_nre_other_ntd_mn
2017-01,678.722,526.398,152.324
2017-02,942.798,791.804,150.994
2017-03,787.194,421.711,365.483
2017-04,707.641,506.831,200.810
2017-05,985.359,904.144,81.215
2017-06,1005.920,790.570,215.350
2017-07,1111.906,986.032,125.874
2017-08,1135.856,1042.868,92.988
2017-09,1166.224,978.160,188.064
2017-10,1165.587,851.021,314.566
2017-11,1239.775,840.900,398.875
2017-12,1233.624,625.417,608.207
2018-01,782.414,566.586,215.828
2018-02,906.174,540.964,365.210
2018-03,1069.786,633.468,436.318
2018-04,973.123,519.215,453.908
2018-05,966.562,626.521,340.041
2018-06,1294.354,1036.265,258.089
2018-07,1110.071,1040.165,69.906
2018-08,1220.605,962.417,258.188
2018-09,1584.736,833.362,751.374
2018-10,1298.313,1032.474,265.839
2018-11,1272.271,935.834,336.437
2018-12,981.395,440.325,541.070
2019-01,888.790,667.222,221.568
2019-02,766.888,294.205,472.683
2019-03,905.617,447.049,458.568
2019-04,784.097,390.210,393.887
2019-05,828.082,601.964,226.118
2019-06,814.205,660.028,154.177
2019-07,814.736,551.788,262.948
2019-08,854.049,687.623,166.426
2019-09,756.673,602.392,154.281
2019-10,909.109,673.508,235.601
2019-11,1256.029,794.839,461.190
2019-12,1131.793,817.900,313.893
2020-01,871.366,674.082,197.284
2020-02,1098.267,805.988,292.279
2020-03,1200.234,897.172,303.062
2020-04,1077.824,744.701,333.123
2020-05,930.456,723.908,206.548
2020-06,918.518,698.521,219.997
2020-07,935.954,710.640,225.314
2020-08,1184.762,669.908,514.854
2020-09,1407.806,706.719,701.087
2020-10,930.002,605.738,324.264
2020-11,1026.025,667.216,358.809
2020-12,1988.227,620.294,1367.933
2021-01,1106.465,830.541,275.924
2021-02,884.804,563.751,321.053
2021-03,1320.922,639.400,681.522
2021-04,1011.945,728.479,283.466
2021-05,1083.197,684.317,398.880
2021-06,1205.695,717.290,488.405
2021-07,1224.453,725.704,498.749
2021-08,1046.434,813.382,233.052
2021-09,1313.965,1060.287,253.678
2021-10,1711.251,936.971,774.280
2021-11,1675.424,1169.432,505.992
2021-12,1523.360,1216.978,306.382
2022-01,1645.799,1107.070,538.729
2022-02,1361.366,855.761,505.605
2022-03,1507.078,1153.033,354.045
2022-04,1776.528,1040.177,736.351
2022-05,1725.349,1367.297,358.052
2022-06,1878.826,1321.249,557.577
2022-07,1940.034,1303.310,636.724
2022-08,2014.285,1647.853,366.432
2022-09,2107.524,1754.370,353.154
2022-10,2423.223,1592.674,830.549
2022-11,2541.800,1739.895,801.905
2022-12,3117.859,1997.550,1120.309
2023-01,2087.023,1548.310,538.713
2023-02,2248.822,1507.463,741.359
2023-03,2192.994,1897.704,295.290
2023-04,2014.413,1648.833,365.580
2023-05,2149.206,1548.794,600.412
2023-06,2423.420,1969.576,453.844
2023-07,2212.814,1655.229,557.585
2023-08,2272.257,1366.010,906.247
2023-09,2324.969,1425.431,899.538
2023-10,2127.874,1639.684,488.190
2023-11,1978.714,1446.183,532.531
2023-12,2208.208,1327.754,880.454
2024-01,1737.854,1405.124,332.730
2024-02,1760.131,1257.322,502.809
2024-03,2192.386,1501.631,690.755
2024-04,1693.477,1284.317,409.160
2024-05,2353.184,1600.791,752.393
2024-06,2673.120,937.416,1735.704
2024-07,2903.133,1298.136,1604.997
2024-08,1944.750,1515.959,428.791
2024-09,1763.514,1201.308,562.206
2024-10,1482.729,1108.633,374.096
2024-11,1837.436,1216.080,621.356
2024-12,2702.478,1834.310,868.168
2025-01,2038.665,1648.679,389.986
2025-02,2092.746,1879.399,213.347
2025-03,2892.233,2137.190,755.043
2025-04,1671.800,1502.692,169.108
2025-05,2013.507,1185.441,828.066
2025-06,2419.270,1335.292,1083.978
2025-07,2232.812,1487.235,745.577
2025-08,2767.549,2178.294,589.255
2025-09,3612.747,2088.803,1523.944
2025-10,3715.719,3333.841,381.878
2025-11,3936.093,3420.901,515.192
2025-12,4747.837,3538.034,1209.803
2026-01,4235.842,3671.951,563.891
2026-02,3351.500,2811.364,540.136
2026-03,3860.470,3321.758,538.712
2026-04,4294.033,3878.949,415.084
2026-05,4674.012,3730.784,943.228
2026-06,4928.512,3976.355,952.157
2026-07,5769.170,4936.101,833.069
