month,adt_hkdbn,mktcap_hkdtn,new_listings,ipo_funds_hkdbn,derivatives_adv_contracts,southbound_adt_hkdbn,trading_days_cash,vol_shares_mb_mn,vol_shares_gem_mn,trades_mb_total,trades_gem_total,adv_shares_mn,adt_trades
2019-01,88.374,32.0410,,,1091651,8.230,22,7444879,18536,33505249,279480,339246,1535670
2019-02,105.701,33.0446,,,1187330,14.404,17,6080456,9796,28900266,156696,358250,1709233
2019-03,110.576,33.8147,,,1288134,13.791,21,6872361,22474,35606347,269956,328325,1708395
2019-04,104.156,34.3444,,,1134971,13.165,19,4959649,15518,31027877,211747,261851,1644191
2019-05,97.405,31.0395,,,1308795,10.227,21,5527537,16811,34157699,211381,264017,1636623
2019-06,82.401,32.7266,,,1059958,8.274,19,4265490,21807,26194273,242812,225647,1391426
2019-07,68.741,32.0857,,,826436,7.429,22,5093514,17353,26964233,186047,232312,1234104
2019-08,86.393,29.9993,,,1201581,10.192,22,4282753,10451,32675948,127263,195146,1491055
2019-09,75.841,30.6427,,,940040,12.081,21,4051586,14132,27688649,165611,193606,1326393
2019-10,75.894,31.7912,,,961618,10.848,21,4317318,15474,26505047,202043,206323,1271766
2019-11,79.572,35.7094,,,946297,10.556,21,3804375,12459,27712160,178121,181754,1328109
2019-12,75.818,38.1650,,,901114,12.206,20,3307533,15208,24050973,187214,166137,1211909
2020-01,103.934,35.9725,,,1140540,16.365,20,4170280,16026,30446250,222483,209315,1533437
2020-02,115.123,36.2074,,,1216879,20.609,20,4781585,12751,34394390,193989,239717,1729419
2020-03,141.700,32.8019,,,1515474,25.883,22,3614457,13821,50218282,149444,164922,2289442
2020-04,100.497,35.0245,,,959729,18.074,19,3483373,11886,32489738,143605,183961,1717544
2020-05,114.713,33.9847,,,1038837,19.864,20,4020497,12691,35622144,141287,201659,1788172
2020-06,125.599,37.9057,,,1137040,20.204,21,4660376,20909,39562847,207335,222918,1893818
2020-07,165.103,40.5930,,,1402148,36.094,22,5161552,20012,52335380,247792,235526,2390144
2020-08,135.159,42.7468,,,1029435,24.705,21,5265697,19724,43973699,288489,251687,2107723
2020-09,122.660,41.6381,,,1019349,20.549,22,5800273,22408,40952806,285324,264667,1874460
2020-10,117.529,43.3028,,,982453,24.434,18,4614160,11880,33058011,208154,257002,1848120
2020-11,161.287,45.7398,,,1115724,29.946,21,4853219,17661,46582437,284521,231947,2231760
2020-12,140.849,47.5230,,,993595,28.561,22,4092373,17917,44376325,254104,186831,2028656
2021-01,245.709,50.6881,,,1513249,69.859,20,5445708,22458,61698305,410179,273408,3105424
2021-02,233.891,52.9415,,,1368061,71.371,18,4974374,17553,55154364,361957,277329,3084240
2021-03,198.460,52.0622,,,1354260,46.874,23,7019303,17812,63094499,317027,305962,2757023
