month,funded_customers_mn,total_platform_assets_usdbn,net_deposits_usdbn,eqopt_trading_days,crypto_trading_days,vol_equity_usdbn,vol_options_mn,vol_crypto_usdbn,vol_crypto_app_usdbn,vol_crypto_bitstamp_usdbn,vol_event_bn,adv_equity_usdbn,adv_options_mn,adv_crypto_usdmn,adv_crypto_app_usdmn,adv_crypto_bitstamp_usdmn,adv_event_mn,dats_equity_mn,dats_options_mn,dats_crypto_mn,margin_book_usdbn,cash_and_deposits_usdbn,cash_sweep_usdbn,seclend_total_usdmn,seclend_net_usdmn
2021-01,15.0,81.4,6.6,19.0,,179.7,107.3,33.7,,,,,,,,,,4.8,1.2,1.4,4.5,,2.2,,
2021-02,17.8,78.9,0.8,19.0,,171.7,110.0,37.7,,,,,,,,,,6.9,1.2,2.1,5.4,,1.7,,
2021-03,18.0,80.9,3.2,23.0,,134.3,106.9,16.2,,,,,,,,,,4.0,0.9,0.7,5.3,,1.6,,
2021-04,20.1,98.9,4.3,21.0,,81.5,83.2,75.5,,,,,,,,,,2.7,0.7,2.8,5.2,,2.0,,
2021-05,22.3,98.5,4.7,20.0,,65.4,76.8,127.2,,,,,,,,,,2.7,0.7,3.7,5.1,,2.1,,
2021-06,22.5,102.0,1.0,22.0,,109.1,115.6,30.3,,,,,,,,,,3.1,0.9,1.1,5.4,,2.3,,
2021-07,22.4,94.7,0.7,21.0,,73.4,93.8,13.4,,,,,,,,,,2.3,0.7,0.5,5.6,,2.3,,
2021-08,22.4,103.5,0.6,22.0,,73.3,95.4,21.8,,,,,,,,,,2.1,0.8,0.6,5.6,,2.3,,
2021-09,22.3,95.4,1.0,21.0,,71.5,93.5,15.5,,,,,,,,,,2.1,0.7,0.5,6.1,,2.1,,
2021-10,22.5,111.2,0.5,21.0,,79.3,91.9,18.0,,,,,,,,,,2.2,0.7,0.5,6.0,,2.5,,
2021-11,22.7,107.5,1.9,21.0,,96.9,113.0,14.9,,,,,,,,,,2.5,0.9,0.5,6.6,,2.3,,
2021-12,22.7,98.0,2.0,22.0,,63.6,86.4,11.4,,,,,,,,,,1.9,0.7,0.4,6.5,,2.1,,
