month,funded_accounts_mn,auc_usdmn,source
2014-12,0.04,,S-1 0001628280-21-013318 customergrowth.jpg (graphic label 40K; rounded)
2015-12,0.3,,S-1 0001628280-21-013318 customergrowth.jpg (graphic label 300K; rounded)
2016-12,0.7,,S-1 0001628280-21-013318 customergrowth.jpg (graphic label 700K; rounded)
2017-12,1.9,4505.7,S-1 0001628280-21-013318 KPI table
2018-12,3.3,8359.5,S-1 0001628280-21-013318 KPI table
2019-12,5.1,14135.6,S-1 0001628280-21-013318 KPI table
2020-03,7.2,19220.1,S-1 0001628280-21-013318 KPI table
2020-06,9.8,33421.5,NCFA: S-1/A No.1 0001628280-21-013986 Recent Developments (Actual col); AUC: 10-Q Q2'21 0001783879-21-000029 KPI table
2020-09,11.4,44445.6,NCFA: 8-K Q3'21 EX-99.1 0001783879-21-000050 press release; AUC: 10-Q Q3'21 0001783879-21-000054 KPI table
2020-12,12.5,62978.5,S-1 0001628280-21-013318 KPI table
2021-03,18.0,80932.4,S-1 0001628280-21-013318 KPI table (seam)
2021-06,22.5,102034.8,10-Q Q2'21 0001783879-21-000029 KPI table (seam)
