quarter,rev_options_usdmn,rev_crypto_usdmn,rev_equities_usdmn,rev_event_usdmn,rev_other_txn_usdmn,rev_transaction_usdmn,rev_net_interest_usdmn,rev_other_usdmn,rev_total_usdmn,q_vol_equity_usdbn,q_vol_options_mn,q_vol_crypto_usdbn,q_vol_event_bn
2021Q1,198,88,133,,1,420,62,40,522,485.8,324.2,87.6,
2021Q2,165,233,52,,1,451,68,46,565,256.0,275.7,233.1,
2021Q3,164,51,50,,2,267,63,35,365,218.2,282.7,50.7,
2021Q4,163,48,52,,1,264,63,36,363,239.8,291.3,44.3,
2022Q1,127,54,36,,1,218,55,26,299,188.8,236.8,23.4,
2022Q2,113,58,29,,2,202,74,42,318,163.0,210.6,19.0,
2022Q3,124,51,31,,2,208,128,25,361,161.2,235.2,14.4,
2022Q4,124,39,21,,2,186,167,27,380,130.0,235.9,11.1,
2023Q1,133,38,27,,9,207,208,26,441,160.2,272.4,11.1,0.0
2023Q2,127,31,25,0,10,193,234,59,486,155.2,283.3,9.1,0.0
2023Q3,124,23,27,0,11,185,251,31,467,173.3,300.8,6.8,0.0
2023Q4,121,43,25,0,11,200,236,35,471,166.8,296.4,12.8,0.0
2024Q1,154,126,39,0,10,329,254,35,618,225.0,343.6,36.0,0.0
2024Q2,182,81,40,0,24,327,285,70,682,243.6,389.7,21.5,0.0
2024Q3,202,61,37,0,19,319,274,44,637,286.2,443.4,14.4,0.0
2024Q4,222,358,61,5,26,672,296,46,1014,423.3,477.2,71.0,0.0
2025Q1,240,252,56,3,32,583,290,54,927,413.2,500.1,46.1,0.3
2025Q2,265,160,66,10,38,539,357,93,989,517.3,515.4,35.0,1.0
2025Q3,304,268,86,27,45,730,456,88,1274,647.2,610.1,80.2,2.3
2025Q4,314,221,94,101,46,776,411,96,1283,710.3,659.2,82.4,8.5
2026Q1,260,134,82,104,43,623,359,85,1067,637.8,586.3,65.7,8.8
2026Q2,342,100,129,156,49,776,389,143,1308,955.8,773.8,40.4,13.6
