month,trading_days,accounts,net_new,darts,ann_dart_acct,opt_contracts,fut_contracts,stk_shares,equity,credits,margin
2016-01,19.0,334.7,3.6,830.0,575.0,25662.0,13138.0,11305506.0,64.8,35.8,15.3
2016-02,20.0,339.7,5.0,767.0,527.0,21635.0,12367.0,10247416.0,66.1,36.9,14.6
2016-03,22.0,344.6,4.9,658.0,446.0,22257.0,11309.0,12084561.0,70.1,37.8,15.0
2016-04,21.0,348.7,4.1,662.0,444.0,20921.0,10419.0,11516455.0,71.8,38.5,15.6
2016-05,21.0,352.6,3.9,641.0,424.0,20474.0,10151.0,10853682.0,72.5,39.0,15.1
2016-06,22.0,356.8,4.2,643.0,419.0,22843.0,11744.0,11057641.0,73.7,38.7,15.0
2016-07,20.0,360.1,3.3,602.0,390.0,20197.0,9216.0,10151475.0,76.5,41.2,15.9
2016-08,23.0,365.3,5.2,576.0,370.0,21020.0,9308.0,12888624.0,80.4,41.6,16.3
2016-09,21.0,370.4,5.1,651.0,413.0,22572.0,10603.0,12392559.0,82.7,42.0,18.1
2016-10,21.0,374.9,4.5,603.0,374.0,21477.0,9457.0,12896293.0,82.2,41.7,17.5
2016-11,20.5,380.1,5.2,728.0,449.0,24564.0,12395.0,14347895.0,84.7,42.1,18.0
2016-12,21.0,385.1,5.0,592.0,359.0,21811.0,8839.0,12311336.0,85.5,41.5,19.4
2017-01,20.0,391.2,6.1,646.0,385.0,21832.0,8700.0,14132455.0,89.4,42.5,18.7
2017-02,19.0,397.9,6.7,678.0,399.0,22133.0,8294.0,17510444.0,92.9,43.3,19.5
2017-03,23.0,405.8,7.9,649.0,375.0,24899.0,10861.0,19703246.0,96.8,43.9,20.9
2017-04,19.0,410.8,5.0,645.0,368.0,20230.0,8901.0,15711403.0,99.3,44.3,21.8
2017-05,22.0,418.1,7.3,675.0,378.0,25381.0,9968.0,17478832.0,103.0,44.4,22.4
2017-06,22.0,427.9,9.8,683.0,374.0,26436.0,10767.0,18537326.0,104.8,45.7,22.7
2017-07,19.5,436.2,8.3,694.0,373.0,23194.0,9324.0,16482068.0,109.8,46.7,23.7
2017-08,23.0,448.9,12.7,696.0,366.0,28246.0,11071.0,17989798.0,112.8,46.9,24.3
2017-09,20.0,456.6,7.7,696.0,357.0,23354.0,10072.0,18909448.0,115.7,47.3,25.1
2017-10,22.0,464.5,7.9,698.0,352.0,26367.0,9758.0,19836907.0,120.6,47.4,25.3
2017-11,20.5,474.0,9.5,795.0,395.0,27769.0,10891.0,19802043.0,121.6,47.7,27.1
2017-12,20.0,482.9,8.9,699.0,342.0,24017.0,9793.0,16984000.0,124.8,47.6,29.5
2018-01,21.0,496.7,13.8,903.0,430.0,34562.0,13002.0,25468775.0,133.9,48.8,30.1
2018-02,19.0,507.8,11.1,1020.0,476.0,33917.0,15035.0,20856271.0,130.5,48.3,28.0
2018-03,21.0,517.4,9.6,903.0,411.0,33703.0,14476.0,19237522.0,129.2,48.0,29.3
2018-04,21.0,525.1,7.7,812.0,364.0,27766.0,12806.0,15181216.0,130.4,47.5,29.7
2018-05,22.0,532.8,7.7,780.0,343.0,26037.0,12175.0,16837250.0,134.5,47.8,31.0
2018-06,21.0,542.2,9.4,799.0,343.0,27638.0,10957.0,16909717.0,134.7,48.9,28.8
2018-07,20.5,555.4,13.2,748.0,314.0,25350.0,9685.0,14720605.0,138.2,48.3,28.2
2018-08,23.0,565.8,10.4,741.0,302.0,30080.0,10130.0,15834901.0,141.1,49.6,29.1
2018-09,19.0,575.6,9.8,807.0,321.0,25063.0,9363.0,12021264.0,142.5,50.8,30.7
2018-10,23.0,585.1,9.5,986.0,383.0,37127.0,15545.0,14942360.0,133.9,50.9,28.8
2018-11,20.5,592.6,7.5,907.0,347.0,29126.0,12904.0,14248012.0,136.2,50.5,28.3
2018-12,18.5,598.2,5.6,953.0,360.0,28477.0,12371.0,12633974.0,128.4,49.3,26.9
2019-01,21.0,606.8,8.6,851.0,320.0,27260.0,11127.0,14559625.0,139.2,51.0,23.8
2019-02,19.0,614.2,7.4,824.0,301.0,22948.0,8557.0,15705172.0,143.7,52.3,25.7
2019-03,21.0,622.5,8.3,867.0,311.0,28396.0,10817.0,18151846.0,147.6,52.0,25.5
2019-04,21.0,630.7,8.2,778.0,277.0,27263.0,8331.0,14572177.0,151.2,53.2,26.7
2019-05,22.0,638.6,7.9,894.0,317.0,32797.0,12808.0,14050972.0,144.2,53.1,25.9
2019-06,20.0,644.8,6.2,807.0,280.0,25882.0,10584.0,11446351.0,153.1,54.6,25.7
2019-07,21.5,652.1,7.3,800.0,276.0,28562.0,10201.0,14464034.0,155.6,55.8,26.5
2019-08,22.0,659.5,7.4,930.0,325.0,33906.0,14175.0,13685178.0,154.6,54.7,25.6
2019-09,20.0,666.2,6.7,842.0,288.0,30645.0,10944.0,12838418.0,156.6,55.6,25.6
2019-10,23.0,673.4,7.2,798.0,270.0,32570.0,10951.0,12451686.0,162.1,56.6,25.3
2019-11,19.5,681.4,8.0,822.0,275.0,28098.0,8337.0,12676315.0,167.3,56.7,27.1
2019-12,20.5,689.9,8.5,771.0,253.0,30894.0,9342.0,12860124.0,174.1,57.9,31.0
2020-01,21.0,704.6,14.7,1019.0,329.0,38698.0,11864.0,16617809.0,176.1,58.9,27.3
2020-02,19.0,719.7,15.1,1346.0,423.0,41818.0,14936.0,17286548.0,170.1,59.6,28.9
2020-03,22.0,759.6,39.9,1964.0,602.0,48327.0,21637.0,25992688.0,160.7,65.0,19.8
2020-04,21.0,805.6,46.0,1720.0,498.0,43615.0,14515.0,19922842.0,179.8,69.3,20.6
2020-05,20.0,838.7,33.1,1645.0,448.0,43381.0,13036.0,18964627.0,190.6,70.0,23.3
