month,cpt_all_usd,cpt_basis,order_size_stocks_shares,cpt_stocks_usd,order_size_options_contracts,cpt_options_usd,order_size_futures_contracts,cpt_futures_usd,fut_fee_pct
2016-02,3.78,client_order,1406.0,2.12,8.4,5.75,3.5,5.92,57.0
2016-03,3.89,client_order,1727.0,2.25,8.7,5.9,3.6,6.09,56.0
2016-04,3.8,client_order,1733.0,2.14,8.3,5.69,3.4,6.0,57.0
2016-05,3.81,client_order,1646.0,2.08,8.5,5.93,3.6,6.18,57.0
2016-06,4.11,client_order,1667.0,2.27,8.6,6.19,3.8,6.67,57.0
2016-07,4.03,client_order,1774.0,2.25,8.9,6.05,3.7,6.64,57.0
2016-08,3.77,client_order,1897.0,2.16,8.6,5.74,3.8,6.65,57.0
2016-09,3.93,client_order,1829.0,2.16,9.0,6.06,3.8,6.68,57.0
2016-10,3.91,client_order,2115.0,2.19,8.6,5.93,3.7,6.46,57.0
2016-11,4.06,client_order,1958.0,2.25,9.2,6.22,3.9,6.72,57.0
2016-12,4.01,client_order,2009.0,2.34,8.9,6.12,3.6,6.33,56.0
2017-01,3.9,client_order,2260.0,2.26,8.4,5.95,3.5,6.09,58.0
2017-02,3.95,client_order,2713.0,2.36,8.3,6.01,3.7,6.38,57.0
2017-03,4.12,client_order,2623.0,2.43,8.5,6.21,3.9,6.8,57.0
2017-04,4.04,client_order,2577.0,2.33,8.1,6.0,3.8,6.65,58.0
2017-05,3.92,client_order,2330.0,2.25,8.3,6.01,3.7,6.4,59.0
2017-06,4.03,client_order,2503.0,2.28,8.5,5.98,3.7,6.67,59.0
2017-07,3.95,client_order,2493.0,2.34,8.2,5.85,3.6,6.22,59.0
2017-08,3.9,client_order,2277.0,2.27,8.6,6.04,3.4,5.94,59.0
2017-09,4.01,client_order,2790.0,2.45,8.2,5.87,3.6,6.13,58.0
2017-10,3.81,client_order,2527.0,2.34,7.9,5.64,3.6,6.12,58.0
2017-11,3.95,client_order,2326.0,2.5,8.7,5.98,3.6,6.23,58.0
2017-12,4.0,client_order,2340.0,2.46,8.8,6.05,3.6,6.35,57.0
