month,trading_days,adt_cash_total_jpytn,adt_cash_stocks_jpytn,adt_cash_dom_stocks_jpytn,adt_cash_etfreit_jpytn,val_cash_total_jpytn,val_cash_dom_stocks_jpytn,adv_cash_dom_shares_mn,vol_cash_dom_shares_mn,mktcap_eom_jpytn,deriv_trading_days,adv_deriv_total_lgeq_kcontracts,adv_deriv_fin_lgeq_kcontracts,adv_deriv_index_lgeq_kcontracts,adv_deriv_rates_lgeq_kcontracts,adv_deriv_cmdty_lgeq_kcontracts,adv_deriv_total_raw_kcontracts,adv_deriv_index_raw_kcontracts,adv_deriv_rates_raw_kcontracts,adv_deriv_cmdty_raw_kcontracts,adnv_deriv_total_jpytn,cmdty_proforma,adv_n225_futures_kcontracts,adv_n225_mini_kcontracts,adv_n225_micro_kcontracts,adv_n225_lgeq_kcontracts,adv_topix_futures_kcontracts,adv_minitopix_futures_kcontracts,adv_topix_lgeq_kcontracts,adv_n225_options_kcontracts,adv_n225_mini_options_kcontracts,adnv_n225_options_jpybn,adv_jgb10y_futures_kcontracts,adv_secoptions_kcontracts,oi_n225_futures_contracts,oi_n225_mini_contracts,oi_n225_micro_contracts,oi_topix_futures_contracts,oi_n225_options_contracts,oi_jgb10y_futures_contracts,ipo_public_offerings,ipo_funds_jpybn
2014-12,21,3.122361823,2.876858013,2.876660061,0.24550381,65.569598,60.409861,3112.168314,65355.535,524.899634,21,793.761719,691.459776,641.6157,49.844076,102.301943,1702.108571,1542.658286,49.922762,109.527524,13.608091885,1,150.655286,979.225857,,248.577871,139.993714,21.932571,142.186971,178.372619,,33.542499,46.05781,1.836571,439623,622140,,561656,2430568,96722,24,50.049
2015-01,19,3.002414719,2.742396877,2.742241877,0.260017842,57.04588,52.102596,2997.030926,56943.588,528.879386,19,627.576126,526.741889,481.318342,45.423547,100.834237,1654.435737,1499.85,45.775211,108.810526,10.732669095,1,113.669,1109.317632,,224.600763,62.888842,22.384211,65.127263,151.950053,,28.836057,37.457263,2.055842,489229,706260,,544543,2318598,101054,0,0
2015-02,19,3.36131514,3.11362935,3.113437666,0.247685789,63.864988,59.155316,3168.563379,60202.704,567.328148,19,533.381805,444.419753,405.158411,39.261342,88.962053,1239.733737,1104.473474,39.654737,95.605526,9.127757852,1,80.048789,760.993684,,156.148158,62.323421,16.023053,63.925726,147.405684,,25.122874,34.085211,3.628421,503830,642007,,640352,2424974,108208,4,4.623
2015-03,22,3.38720157,3.086372251,3.086240115,0.300829318,74.518435,67.897283,2777.508277,61105.182,575.462849,22,731.598295,648.944223,598.495723,50.4485,82.654073,1597.3015,1457.6635,50.651409,88.986591,13.734004891,1,135.245545,931.783727,,228.423918,144.791818,22.847136,147.076532,156.133955,,30.390515,45.667318,1.280864,424925,435055,,649001,2441034,86861,15,7.396
2015-04,21,3.325242059,3.03922363,3.039112725,0.286018429,69.830083,63.821367,2796.266119,58721.588,591.899452,21,537.406824,454.331562,422.875005,31.456557,83.075262,1353.274571,1233.481476,31.611571,88.181524,8.754190294,1,86.955524,881.085619,,175.064086,59.224143,19.588238,61.182967,144.538429,,24.508292,27.076143,4.523333,448304,524985,,663392,2495220,95221,12,21.265
2015-05,18,3.558476902,3.315695291,3.315586736,0.242781611,64.052584,59.680561,3222.307028,58001.526,620.339967,18,519.460406,439.929967,398.096567,41.8334,79.530439,1280.632056,1144.418167,42.033,94.180889,9.716597387,1,80.766333,815.464556,,162.312789,54.935667,13.781667,56.313833,136.029444,,23.74866,35.586,4.845111,473972,584106,,698779,2586326,109321,0,0
2015-06,22,3.388215273,3.118988864,3.118854955,0.269226409,74.540736,68.614809,2956.013955,65032.307,607.042764,22,716.403368,638.77105,581.329318,57.441732,77.632318,1644.313182,1494.265591,57.616045,92.431545,14.602986327,1,125.522455,996.381682,,225.160623,132.735318,17.991955,134.534514,153.696045,,24.077288,50.643773,5.922045,377805,474566,,629209,2283914,100062,8,12.618
2015-07,22,3.38523916,3.088019887,3.087894796,0.297219273,74.475262,67.933686,2998.791045,65973.403,619.100455,22,578.337386,488.641436,456.139168,32.502268,89.69595,1562.933227,1420.829818,32.686727,109.416682,9.540345754,1,94.1295,1054.977455,,199.627245,62.501318,16.901045,64.191423,153.8075,,24.748756,27.984227,2.040727,410067,628808,,615499,2378175,100717,4,1.169
2015-08,21,3.88056221,3.505017115,3.504938115,0.375545095,81.491806,73.6037,3202.895638,67260.808,573.460247,21,801.425186,704.552462,675.08479,29.467671,96.872724,2233.03281,2089.131619,29.540143,114.361048,11.565714198,1,153.646333,1542.819095,,307.928243,86.490905,28.344048,89.32531,214.182286,,40.499046,25.593143,6.063,480834,826885,,630591,2599073,113552,6,6.966
2015-09,19,3.457093292,3.034432713,3.034377871,0.422660579,65.684773,57.65318,2881.1515,54741.878,527.522405,19,878.274637,785.207189,733.363189,51.844,93.067447,2057.808105,1896.422579,51.932105,109.453421,15.454973916,1,181.028,1272.193526,,308.247353,162.796368,20.094684,164.805837,179.944895,,39.072007,48.268053,1.952632,403287,416068,,551130,2535478,92726,6,3.099
