week_end,week_start,net_foreign_jpybn,net_individual_jpybn,net_trust_jpybn,net_bizcorp_jpybn,net_proprietary_jpybn,foreign_share_pct,src_file
2023-12-29,2023-12-25,-226.298455,-251.803426,25.379652,-7.664521,533.701376,60.987622,stock_val_1_240101.xls
2024-01-05,2024-01-04,159.151902,-55.097411,4.331979,61.118646,-160.82116,67.724613,stock_val_1_240102.xls
2024-01-12,2024-01-09,958.873334,-1068.212212,-116.50474,130.011776,300.315877,67.607315,stock_val_1_240103.xls
2024-01-19,2024-01-15,389.396179,-206.621719,-238.723394,43.735558,287.899782,65.535384,stock_val_1_240104.xls
2024-01-26,2024-01-22,405.492743,289.684841,-148.208095,60.105601,-229.605341,65.04772,stock_val_1_240105.xls
2024-02-02,2024-01-29,177.461665,50.284879,-201.606261,66.327256,70.890208,66.850451,stock_val_1_240201.xls
2024-02-09,2024-02-05,377.699333,206.874624,-278.930948,163.944045,204.979305,66.460361,stock_val_1_240202.xls
2024-02-16,2024-02-13,263.790082,-277.994301,-97.097275,66.371863,622.375872,65.67439,stock_val_1_240203.xls
2024-02-22,2024-02-19,-63.352892,-113.767225,-67.096336,89.240727,506.278934,64.004302,stock_val_1_240204.xls
2024-03-01,2024-02-26,388.858513,-102.041583,-159.945683,-92.850233,271.470182,66.108935,stock_val_1_240301.xls
2024-03-08,2024-03-04,184.565632,308.033694,-235.818401,-7.041942,475.652557,65.283383,stock_val_1_240302.xls
2024-03-15,2024-03-11,-50.270373,454.951969,-175.501085,146.051035,296.234667,69.436152,stock_val_1_240303.xls
2024-03-22,2024-03-18,82.860737,-873.017132,9.259541,-25.20053,926.503494,66.998907,stock_val_1_240304.xls
2024-03-29,2024-03-25,-183.237845,411.31312,-125.151874,-40.58553,526.118832,64.852144,stock_val_1_240401.xls
2024-04-05,2024-04-01,1211.00842,583.648389,-82.283754,71.530861,-967.117877,66.889374,stock_val_1_240402.xls
2024-04-12,2024-04-08,613.788467,-237.189064,18.42735,27.96573,-405.764541,66.677191,stock_val_1_240403.xls
2024-04-19,2024-04-15,-561.77256,875.241423,48.265962,48.861096,-380.186283,69.610696,stock_val_1_240404.xls
2024-04-26,2024-04-22,202.956224,-192.1249,-141.231904,54.330033,-43.869692,69.115965,stock_val_1_240501.xls
2024-05-02,2024-04-30,190.884295,-291.298929,144.587856,70.396894,-142.041026,67.138198,stock_val_1_240502.xls
2024-05-10,2024-05-07,270.089002,-52.788516,-49.908461,136.343913,-252.195917,69.809848,stock_val_1_240503.xls
2024-05-17,2024-05-13,38.398605,-109.344865,37.445153,247.672708,-215.295846,69.136674,stock_val_1_240504.xls
2024-05-24,2024-05-20,-101.703587,71.493384,-125.812023,232.494599,-84.017607,67.073162,stock_val_1_240505.xls
2024-05-31,2024-05-27,-110.178128,-86.496374,79.309681,251.436103,93.18619,71.123921,stock_val_1_240601.xls
2024-06-07,2024-06-03,-194.089038,281.06367,1.50318,290.365188,-228.005485,67.544849,stock_val_1_240602.xls
2024-06-14,2024-06-10,-269.426268,97.49166,-56.987732,251.304622,-208.505587,68.073928,stock_val_1_240603.xls
2024-06-21,2024-06-17,-18.456098,190.982555,18.600276,227.571289,-255.698837,69.907444,stock_val_1_240604.xls
2024-06-28,2024-06-24,114.075232,-472.230751,-8.516149,-68.087964,414.05412,68.275228,stock_val_1_240701.xls
2024-07-05,2024-07-01,192.389821,-510.376887,103.248871,125.646978,25.981059,65.374745,stock_val_1_240702.xls
2024-07-12,2024-07-08,125.814298,-71.460294,-146.308193,174.848983,-3.038631,65.90028,stock_val_1_240703.xls
2024-07-19,2024-07-16,-217.74799,224.263372,-60.096357,136.858985,-30.012068,67.647963,stock_val_1_240704.xls
2024-07-26,2024-07-22,-552.451051,488.209114,46.896377,201.55749,-253.427379,69.518294,stock_val_1_240705.xls
2024-08-02,2024-07-29,-567.004046,479.560721,314.453078,139.415018,-435.472583,70.250959,stock_val_1_240801.xls
2024-08-09,2024-08-05,455.374941,20.363601,64.138029,486.882204,-1315.040162,71.216804,stock_val_1_240802.xls
2024-08-16,2024-08-13,184.870202,-391.789023,45.111914,230.650914,-80.171336,68.481622,stock_val_1_240803.xls
2024-08-23,2024-08-19,-408.854431,-29.111849,-26.042868,220.235776,140.010379,66.771815,stock_val_1_240804.xls
2024-08-30,2024-08-26,-237.009201,-105.679808,-50.583589,186.651134,47.505278,67.111916,stock_val_1_240901.xls
2024-09-06,2024-09-02,-798.47842,449.874878,170.820075,350.932209,-252.472084,66.231813,stock_val_1_240902.xls
2024-09-13,2024-09-09,-1533.681074,215.20125,26.693006,302.567386,897.443212,68.782837,stock_val_1_240903.xls
2024-09-20,2024-09-17,-545.527257,-320.402248,-64.316777,188.894697,1189.506976,70.108933,stock_val_1_240904.xls
2024-09-27,2024-09-24,-67.269398,-575.977133,47.10105,88.033534,508.369985,68.514572,stock_val_1_241001.xls
2024-10-04,2024-09-30,420.226829,137.054339,292.313094,187.339897,-1233.03953,67.574235,stock_val_1_241002.xls
2024-10-11,2024-10-07,264.571531,-207.22155,48.203619,160.811882,-111.037594,68.560606,stock_val_1_241003.xls
2024-10-18,2024-10-15,-45.657323,63.011531,69.607631,130.593378,-150.378864,68.345502,stock_val_1_241004.xls
2024-10-25,2024-10-21,-9.016115,9.004304,6.793496,165.033284,-153.544765,66.843073,stock_val_1_241005.xls
2024-11-01,2024-10-28,-210.573497,-40.779047,-115.174072,179.895735,3.003873,66.614043,stock_val_1_241101.xls
2024-11-08,2024-11-05,175.962474,-724.225975,4.350474,155.672775,439.79023,67.231286,stock_val_1_241102.xls
2024-11-15,2024-11-11,135.528387,21.080419,22.185348,311.432243,-300.516318,67.590971,stock_val_1_241103.xls
2024-11-22,2024-11-18,-353.170006,202.850972,-38.21479,233.450355,3.922703,66.901392,stock_val_1_241104.xls
2024-11-29,2024-11-25,-193.016862,151.811594,-165.415543,293.065662,-108.699207,67.586508,stock_val_1_241201.xls
2024-12-06,2024-12-02,128.762011,-483.80405,352.958313,212.435248,-388.259889,63.915058,stock_val_1_241202.xls
2024-12-13,2024-12-09,-513.291551,-331.249526,208.776839,193.067207,235.619639,65.933273,stock_val_1_241203.xls
2024-12-20,2024-12-16,-442.057219,131.654832,-85.139725,180.865937,203.475078,65.685066,stock_val_1_241204.xls
2024-12-27,2024-12-23,466.310766,-843.274704,-121.444451,-12.346517,765.696963,58.169656,stock_val_1_241205.xls
2024-12-30,2024-12-30,-58.453661,124.759923,-43.996911,-0.042466,-58.310384,62.557484,stock_val_1_250101.xls
2025-01-10,2025-01-06,378.615859,678.311071,-118.25601,326.572501,-762.443564,65.250773,stock_val_1_250102.xls
2025-01-17,2025-01-14,8.063521,432.394205,89.1025,204.296822,-613.496797,69.0099,stock_val_1_250103.xls
2025-01-24,2025-01-20,389.069186,-455.534361,-30.194089,192.242885,-97.22213,65.017309,stock_val_1_250104.xls
2025-01-31,2025-01-27,-335.422021,116.961992,-45.675284,151.609232,131.816052,64.80621,stock_val_1_250201.xls
2025-02-07,2025-02-03,-282.093776,505.05245,27.697673,293.38443,-536.59853,67.070419,stock_val_1_250202.xls
2025-02-14,2025-02-10,96.878048,-113.347813,-3.220051,153.616037,46.349032,67.618784,stock_val_1_250203.xls
2025-02-21,2025-02-17,-146.489956,161.814179,47.126861,199.99591,-171.89592,65.464787,stock_val_1_250204.xls
2025-02-28,2025-02-25,-607.71408,518.027006,7.375043,148.653194,-107.949554,69.524783,stock_val_1_250301.xls
2025-03-07,2025-03-03,-73.953965,-464.321958,261.165227,200.208926,-280.734877,66.091895,stock_val_1_250302.xls
2025-03-14,2025-03-10,-792.161132,-143.040469,-76.086588,93.202433,871.629988,70.161593,stock_val_1_250303.xls
2025-03-21,2025-03-17,227.27542,-445.189566,-125.853042,40.859512,434.751576,66.487099,stock_val_1_250304.xls
2025-03-28,2025-03-24,-827.138241,457.373306,-181.646843,-11.628065,1389.466153,65.976276,stock_val_1_250401.xls
2025-04-04,2025-03-31,621.750486,703.805463,247.705776,302.484648,-1808.474287,69.979075,stock_val_1_250402.xls
2025-04-11,2025-04-07,132.692788,-82.258481,65.707562,358.330632,-676.188775,71.91704,stock_val_1_250403.xls
2025-04-18,2025-04-14,167.950271,-244.488527,69.287245,183.117557,-229.966389,66.860259,stock_val_1_250404.xls
2025-04-25,2025-04-21,306.180686,-378.409953,-57.950695,78.576674,229.839324,65.952015,stock_val_1_250501.xls
2025-05-02,2025-04-28,386.993183,-161.662725,175.23096,103.648258,-219.90676,67.135848,stock_val_1_250502.xls
2025-05-09,2025-05-07,363.985893,-371.454547,31.454739,154.985751,228.921214,70.230976,stock_val_1_250503.xls
2025-05-16,2025-05-12,597.828622,-222.531257,9.608273,242.869059,-129.189015,67.168826,stock_val_1_250504.xls
2025-05-23,2025-05-19,283.322651,-61.280351,73.864988,712.068889,-906.63226,65.483422,stock_val_1_250505.xls
2025-05-30,2025-05-26,611.564165,-360.996165,-264.318473,253.173155,27.277773,66.819541,stock_val_1_250601.xls
2025-06-06,2025-06-02,393.216039,189.024477,-23.656783,346.658114,-362.718699,65.089207,stock_val_1_250602.xls
2025-06-13,2025-06-09,96.873927,-18.805758,-1.213391,324.517238,-357.997252,66.323276,stock_val_1_250603.xls
2025-06-20,2025-06-16,97.075374,-251.05318,46.05035,296.700083,-36.295702,66.041906,stock_val_1_250604.xls
2025-06-27,2025-06-23,366.091354,-606.083384,120.490101,42.762914,39.254792,64.194354,stock_val_1_250701.xls
2025-07-04,2025-06-30,577.500603,-98.086218,-156.009472,243.223396,-666.974388,63.819534,stock_val_1_250702.xls
2025-07-11,2025-07-07,400.343944,-74.300101,-446.468021,231.979346,-139.148067,66.077728,stock_val_1_250703.xls
2025-07-18,2025-07-14,200.238561,-101.075253,58.806838,214.229473,-392.647625,64.268495,stock_val_1_250704.xls
2025-07-25,2025-07-22,571.534383,-1178.803529,-22.18455,90.166662,550.626336,66.131835,stock_val_1_250705.xls
2025-08-01,2025-07-28,-199.357862,17.417393,62.441474,288.021728,225.524766,65.81559,stock_val_1_250801.xls
2025-08-08,2025-08-04,-37.324415,-543.235232,-41.249156,244.052489,644.404535,67.254634,stock_val_1_250802.xls
2025-08-15,2025-08-12,555.03188,-1104.05031,11.608929,175.802607,731.729404,64.484516,stock_val_1_250803.xls
2025-08-22,2025-08-18,-187.549994,121.544586,-289.313063,241.203772,206.442727,64.446506,stock_val_1_250804.xls
2025-08-29,2025-08-25,-286.690236,380.988457,-210.777508,413.725712,275.599422,65.260421,stock_val_1_250901.xls
2025-09-05,2025-09-01,163.179673,113.773735,-87.822522,320.537193,-22.277314,63.043265,stock_val_1_250902.xls
2025-09-12,2025-09-08,-653.3133,-522.179592,-102.714204,223.25819,1241.459129,66.073917,stock_val_1_250903.xls
2025-09-19,2025-09-16,-289.347197,-35.358724,-45.401058,179.560299,750.501909,67.342488,stock_val_1_250904.xls
2025-09-26,2025-09-22,-531.265005,104.086626,-275.847389,-21.123431,1119.94177,64.807345,stock_val_1_251001.xls
2025-10-03,2025-09-29,1278.636968,378.178372,62.124211,122.755748,-1631.349205,67.754133,stock_val_1_251002.xls
2025-10-10,2025-10-06,1071.607049,-446.720797,-42.18294,152.812036,-69.164543,65.73098,stock_val_1_251003.xls
2025-10-17,2025-10-14,183.252322,315.779132,-148.16871,127.070603,-356.08997,67.388515,stock_val_1_251004.xls
2025-10-24,2025-10-20,650.182808,-530.704169,-113.614776,65.493444,70.41144,64.298348,stock_val_1_251005.xls
2025-10-31,2025-10-27,371.650523,-223.949046,-328.82294,165.68091,-80.725533,63.892128,stock_val_1_251101.xls
2025-11-07,2025-11-04,-321.370409,519.484986,263.826259,203.316177,-745.7088,67.51929,stock_val_1_251102.xls
2025-11-14,2025-11-10,521.885223,-245.564259,-41.798997,180.84159,306.720748,65.037235,stock_val_1_251103.xls
2025-11-21,2025-11-17,-403.243124,131.485072,-119.669343,258.1557,319.19326,67.279561,stock_val_1_251104.xls
2025-11-28,2025-11-25,-138.828994,-426.982623,33.755653,168.588252,366.073659,64.959301,stock_val_1_251201.xls
2025-12-05,2025-12-01,48.916475,163.456839,168.649897,200.895334,-343.435268,65.475237,stock_val_1_251202.xls
2025-12-12,2025-12-08,202.055472,-268.853381,137.607272,228.606657,-477.685061,65.558879,stock_val_1_251203.xls
2025-12-19,2025-12-15,-432.227807,251.955658,-74.963913,214.014409,250.466995,67.649131,stock_val_1_251204.xls
2025-12-26,2025-12-22,-37.471712,-358.147946,50.327531,24.524187,271.619974,60.247957,stock_val_1_251205.xls
2025-12-30,2025-12-29,-2.002089,173.327563,-18.183476,12.734351,-194.916447,63.901049,stock_val_1_260101.xls
2026-01-09,2026-01-05,1212.766146,-551.49562,-30.267878,168.876333,-687.792032,66.863431,stock_val_1_260102.xls
2026-01-16,2026-01-13,750.493712,-640.167423,-43.976512,83.522955,370.923127,66.350086,stock_val_1_260103.xls
2026-01-23,2026-01-19,212.782519,446.246434,130.528659,174.331058,-396.532799,65.189261,stock_val_1_260104.xls
2026-01-30,2026-01-26,187.026279,793.592059,-93.210776,318.222325,-809.636985,67.015357,stock_val_1_260201.xls
2026-02-06,2026-02-02,248.667393,-417.040317,-55.715237,391.63791,610.023052,66.999522,stock_val_1_260202.xls
2026-02-13,2026-02-09,1191.806644,-1138.162022,-164.455387,114.034538,731.978235,68.252316,stock_val_1_260203.xls
2026-02-20,2026-02-16,523.389703,558.485275,-301.452783,294.257777,67.909594,65.801045,stock_val_1_260204.xls
2026-02-27,2026-02-24,745.409937,-414.743641,-355.135784,10.15571,899.056649,67.169106,stock_val_1_260301.xls
2026-03-06,2026-03-02,226.130451,842.566489,-188.169229,439.770722,-189.329892,67.266848,stock_val_1_260302.xls
2026-03-13,2026-03-09,-472.897397,404.898876,-111.846727,271.850381,154.050071,68.656811,stock_val_1_260303.xls
2026-03-19,2026-03-16,-491.896033,309.202366,5.603495,-168.929873,462.840545,67.434293,stock_val_1_260304.xls
2026-03-27,2026-03-23,-1508.629733,-4.516517,352.895026,-11.844873,1274.734351,67.797987,stock_val_1_260401.xls
2026-04-03,2026-03-30,1909.324265,-450.353357,100.788538,24.077267,-1577.995048,67.744455,stock_val_1_260402.xls
2026-04-10,2026-04-06,1635.174762,-785.711849,-149.15492,17.869982,-543.908078,66.070024,stock_val_1_260403.xls
2026-04-17,2026-04-13,984.959388,334.129262,-88.707287,69.2232,-955.437851,66.432388,stock_val_1_260404.xls
2026-04-24,2026-04-20,826.535901,112.359047,-103.0629,119.9135,-833.233723,66.454484,stock_val_1_260405.xls
2026-05-01,2026-04-27,388.671302,270.105836,133.017356,12.393787,-910.687117,67.884136,stock_val_1_260501.xls
2026-05-08,2026-05-07,1209.653731,-468.397642,-269.42915,-74.507791,-285.005901,72.971039,stock_val_1_260502.xls
2026-05-15,2026-05-11,534.638487,167.111685,34.269909,214.386075,-494.586943,68.51492,stock_val_1_260503.xls
2026-05-22,2026-05-18,464.294285,-145.41989,37.411101,268.987556,-298.111402,68.886267,stock_val_1_260504.xls
2026-05-29,2026-05-25,-357.218634,88.007241,186.477354,410.335501,-276.987955,68.305852,stock_val_1_260601.xls
2026-06-05,2026-06-01,-65.596731,298.56251,37.745078,354.380255,-484.673084,65.302823,stock_val_1_260602.xls
2026-06-12,2026-06-08,-487.119676,-525.045084,88.793062,316.998637,595.797159,65.671045,stock_val_1_260603.xls
2026-06-19,2026-06-15,1068.065563,-470.123277,-551.101079,197.523876,4.182677,64.229399,stock_val_1_260604.xls
2026-06-26,2026-06-22,-1208.567543,911.633499,327.11962,-270.115177,299.851562,63.596899,stock_val_1_260701.xls
2026-07-03,2026-06-29,366.566132,-637.544605,64.571148,100.272379,63.185293,64.468423,stock_val_1_260702.xls
2026-07-10,2026-07-06,517.154662,-101.229051,-626.287928,82.080585,-23.170909,65.448071,stock_val_1_260703.xls
2026-07-17,2026-07-13,-258.705138,372.864157,-75.688215,113.859488,-103.64385,66.556581,stock_val_1_260704.xls
2026-07-24,2026-07-21,373.84561,-487.430985,38.39262,76.452988,-129.265295,66.855413,stock_val_1_260705.xls
2026-07-31,2026-07-27,-490.337149,-392.827828,4.910617,408.245922,937.843795,68.974705,stock_val_1_260705.xls
2026-08-07,2026-08-03,-376.297178,-132.647183,-77.716036,1067.616517,-446.869746,68.02781,stock_val_1_260802.xls
2026-08-14,2026-08-10,210.940786,-638.717367,24.247257,249.103699,462.996242,66.337461,stock_val_1_260802.xls
2026-08-21,2026-08-17,-414.111033,688.808229,-60.599007,163.953794,149.476556,64.376248,stock_val_1_260803.xls
