month,total_assets_usdbn,advisory_assets_usdbn,brokerage_assets_usdbn,nna_total_usdbn,nna_advisory_usdbn,nna_brokerage_usdbn,client_cash_usdbn
2016-01,458.7,180.4,278.3,0.0,0.2,-0.2,31.0
2016-02,459.7,180.5,279.2,0.6,0.6,0.0,31.2
2016-03,478.7,189.5,289.2,0.4,1.2,-0.8,30.4
2016-04,482.0,191.7,290.3,-0.2,0.8,-1.0,29.5
2016-05,485.5,194.0,291.5,0.9,1.0,-0.1,29.2
2016-06,488.0,196.1,291.9,0.6,1.0,-0.4,29.2
2016-07,500.4,202.0,298.4,0.8,1.3,-0.5,28.9
2016-08,502.4,204.0,298.4,1.1,1.7,-0.6,29.1
2016-09,502.4,205.5,296.9,-0.9,1.1,-2.0,29.2
2016-10,494.8,203.3,291.5,-0.1,1.1,-1.2,29.5
2016-11,501.3,207.3,294.0,0.8,1.8,-1.0,30.2
2016-12,509.4,211.6,297.8,1.8,1.9,-0.1,31.3
2017-01,516.7,216.3,300.4,0.6,1.7,-1.1,30.0
2017-02,527.5,222.7,304.8,0.8,2.0,-1.2,29.6
2017-03,530.3,225.7,304.6,1.2,2.3,-1.1,30.0
2017-04,534.8,228.9,305.9,0.1,1.4,-1.3,29.0
2017-05,539.5,233.5,306.0,0.4,2.5,-2.1,28.3
2017-06,542.0,236.8,305.2,-0.1,2.0,-2.1,27.8
2017-07,549.7,242.2,307.5,0.9,2.5,-1.6,27.3
2017-08,551.4,245.3,306.1,1.1,2.7,-1.6,28.3
2017-09,560.0,250.2,309.8,0.9,1.7,-0.8,28.3
2017-10,566.4,254.8,311.6,0.6,1.7,-1.1,27.7
2017-11,575.0,260.7,314.3,1.3,2.3,-1.0,27.7
2017-12,615.1,273.0,342.1,35.6,10.0,25.6,29.8
2018-01,636.5,284.2,352.3,3.7,3.0,0.7,28.7
2018-02,650.9,284.3,366.6,31.4,8.4,23.0,29.7
2018-03,647.5,283.5,364.1,3.8,1.7,2.1,29.6
2018-04,652.3,284.7,367.6,2.1,1.1,1.0,28.9
2018-05,659.5,290.3,369.2,0.3,1.9,-1.6,28.6
2018-06,659.1,291.5,367.5,0.1,1.3,-1.2,28.6
2018-07,668.9,298.5,370.4,0.4,1.5,-1.1,28.2
2018-08,678.7,304.4,374.4,1.3,1.5,-0.2,28.1
2018-09,681.0,306.1,374.9,2.7,2.2,0.5,28.2
2018-10,649.3,291.7,357.5,2.2,2.1,0.1,29.1
2018-11,659.7,297.0,362.7,2.9,2.0,0.9,29.9
2018-12,628.1,282.0,346.0,0.8,0.9,-0.1,34.9
2019-01,660.8,298.5,362.3,0.7,0.9,-0.2,32.2
2019-02,675.6,306.4,369.2,0.9,1.5,-0.6,30.8
2019-03,684.0,311.9,372.1,2.3,2.2,0.1,30.7
2019-04,699.3,320.5,378.8,0.7,1.6,-1.0,29.6
2019-05,677.3,311.3,366.0,2.0,2.8,-0.8,29.8
2019-06,706.0,327.3,378.7,3.3,3.2,0.1,30.1
2019-07,713.4,332.1,381.3,2.9,2.8,0.1,29.9
2019-08,711.7,333.0,378.7,5.9,4.3,1.6,31.0
2019-09,719.3,338.0,381.3,3.1,2.9,0.2,31.2
2019-10,731.7,345.3,386.5,3.4,2.8,0.6,31.6
2019-11,747.8,354.9,392.9,3.1,3.1,0.0,31.8
2019-12,764.4,365.8,398.6,5.9,5.6,0.3,33.7
2020-01,767.0,369.2,397.7,3.5,3.8,-0.3,33.5
2020-02,736.6,355.7,380.9,5.3,4.6,0.7,34.2
2020-03,669.9,322.3,347.6,5.6,4.8,0.8,47.8
2020-04,718.0,348.9,369.1,3.4,2.8,0.7,47.0
2020-05,745.9,364.9,381.0,4.2,3.1,1.1,46.2
2020-06,761.7,375.3,386.4,5.4,4.3,1.0,45.3
2020-07,791.9,392.7,399.2,2.9,2.9,0.0,45.1
2020-08,822.7,410.4,412.2,3.1,3.1,0.0,45.1
2020-09,810.4,405.9,404.4,5.1,4.4,0.7,46.6
2020-10,807.6,406.0,401.6,6.5,5.7,0.8,48.3
2020-11,873.3,442.0,431.3,7.4,5.8,1.6,48.1
2020-12,903.1,461.2,441.9,7.9,6.8,1.1,48.9
2021-01,907.0,464.6,442.3,3.6,4.2,-0.6,48.8
2021-02,925.1,477.4,447.7,5.9,6.0,-0.0,48.3
