month,lse_orderbook_value_gbp_m,lse_orderbook_trades_count,lse_orderbook_adv_gbp_m,lse_orderbook_avg_daily_trades_count,lse_trading_days_count,turquoise_integrated_value_gbp_m,turquoise_integrated_trades_count,turquoise_integrated_adv_gbp_m,turquoise_integrated_avg_daily_trades_count,turquoise_dark_value_gbp_m,turquoise_dark_trades_count,turquoise_dark_adv_gbp_m,turquoise_dark_avg_daily_trades_count,turquoise_trading_days_count,lse_lit_uk_share_pct,turquoise_paneuropean_share_pct,gbp_eur_rate,mm_companies_eop_count,mm_companies_uk_eop_count,mm_companies_intl_eop_count,mm_marketcap_eop_gbp_mn,mm_marketcap_uk_eop_gbp_mn,mm_marketcap_intl_eop_gbp_mn,mm_new_issues_count,mm_new_issues_uk_count,mm_new_issues_intl_count,mm_cancellations_count,mm_further_issues_count,mm_money_raised_new_gbp_mn,mm_money_raised_further_gbp_mn,aim_companies_eop_count,aim_companies_uk_eop_count,aim_companies_intl_eop_count,aim_marketcap_eop_gbp_mn,aim_new_issues_count,aim_new_issues_uk_count,aim_new_issues_intl_count,aim_cancellations_count,aim_further_issues_count,aim_money_raised_new_gbp_mn,aim_money_raised_further_gbp_mn,tradeweb_volume_total_usd_tn,tradeweb_adv_total_usd_bn,tradeweb_adv_rates_usd_bn,tradeweb_adv_rates_cash_usd_bn,tradeweb_adv_rates_derivatives_usd_bn,tradeweb_adv_us_govt_bonds_usd_bn,tradeweb_adv_eu_govt_bonds_usd_bn,tradeweb_adv_mortgages_usd_bn,tradeweb_adv_other_govt_bonds_usd_bn,tradeweb_adv_swaps_swaptions_ge_1y_usd_bn,tradeweb_adv_swaps_swaptions_lt_1y_usd_bn,tradeweb_adv_credit_usd_bn,tradeweb_adv_credit_cash_usd_bn,tradeweb_adv_credit_derivatives_usd_bn,tradeweb_adv_us_hg_fully_electronic_usd_bn,tradeweb_adv_us_hy_fully_electronic_usd_bn,tradeweb_adv_european_credit_usd_bn,tradeweb_adv_municipal_bonds_usd_bn,tradeweb_adv_equities_usd_bn,tradeweb_adv_equities_cash_usd_bn,tradeweb_adv_equities_derivatives_usd_bn,tradeweb_adv_us_etf_usd_bn,tradeweb_adv_intl_etf_usd_bn,tradeweb_adv_money_markets_usd_bn,tradeweb_adv_repo_usd_bn,tradeweb_adv_other_money_markets_usd_bn,tradeweb_trading_days_blended,swapclear_notional_registered_usd_tn,swapclear_client_notional_registered_usd_tn,swapclear_trades_registered_count,swapclear_client_trades_registered_count,swapclear_notional_outstanding_eom_usd_tn,swapclear_client_notional_outstanding_eom_usd_tn,swapclear_trades_outstanding_eom_count,swapclear_client_trades_outstanding_eom_count,forexclear_notional_registered_usd_tn,forexclear_trades_registered_count,forexclear_notional_outstanding_eom_usd_tn,forexclear_trades_outstanding_eom_count,repoclear_ltd_nominal_value_eur_tn,repoclear_sa_nominal_value_eur_tn,repoclear_ltd_cash_value_eur_tn,repoclear_sa_cash_value_eur_tn,repoclear_ltd_cleared_trade_sides_count,repoclear_sa_cleared_trade_sides_count
2016-01,103570,21169105,5178,1058455,20,82001,25402482,4100,1270124,9955,1678174,498,83909,20,59,10.8,1.3252,,,,,,,,,,,,,,1033,836,197,68261.88312376436,2,2,0,13,124,110,265.20739999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02,113828,22233207,5420,1058724,21,96590,29406008,4600,1400286,11179,1956337,532,93159,21,60,11.8,1.2893,,,,,,,,,,,,,,1029,834,195,68647.10697062229,4,4,0,8,118,33.5,141.14690000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-03,102097,20019349,4862,953302,21,92288,27281545,4013,1186154,11013,1877026,479,81610,21,60.8,12.9,1.2817,,,,,,,,,,,,,,1020,828,192,70766.70482170081,9,8,1,18,163,137.89049999999997,111.90990000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-04,96332,19160004,4587,912381,21,82905,23943702,3948,1140176,11500,1795556,548,85503,21,60.9,12.3,1.2622,,,,,,,,,,,,,,1013,824,189,72987.20020386516,6,6,0,13,180,62.910799999999995,158.50830000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-05,87218,17296763,4361,864838,20,72315,21589437,3287,981338,9684,1530449,440,69566,22,60.7,12,1.2857,,,,,,,,,,,,,,1016,829,187,74662.99910752801,13,12,1,10,146,150.918,304.9245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06,134076,25738564,6094,1169935,22,99062,30058461,4503,1366294,12858,2065883,584,93904,22,60.5,11.9,1.265,,,,,,,,,,,,,,1013,829,184,71745.17217518171,7,6,1,10,166,227.1585,223.58950000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07,113143,21870812,5388,1041467,21,88299,26055967,4205,1240760,11445,1776733,545,84606,21,59.4,12.9,1.189,,,,,,,,,,,,,,1010,825,185,77396.92049553985,4,3,1,7,165,61.5539,737.3675000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-08,91500,17490688,4159,795031,22,75496,21159874,3282,919995,9482,1396106,412,60700,23,60.2,12.5,1.1693,,,,,,,,,,,,,,1007,823,184,80568.92295094079,5,4,1,8,151,26,180.599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09,105735,19597485,4806,890795,22,81707,22273590,3714,1012436,9944,1401673,452,63712,22,61.8,11.7,1.1733,,,,,,,,,,,,,,1000,818,182,82987.93293935446,2,0,2,9,183,172.5694,140.51539999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10,109235,21334912,5202,1015948,21,80403,21251093,3829,1011957,11245,1393300,535,66348,21,62.6,11.4,1.1187,,,,,,,,,,,,,,995,815,180,80883.42929294972,2,2,0,7,187,57.3559,342.83800000000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11,124896,24808003,5677,1127637,22,82509,22741953,3750,1033725,12274,1528422,558,69474,22,65,10.4,1.1508,,,,,,,,,,,,,,993,815,178,81172.68335052283,4,4,0,6,171,18.3081,663.1510000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12,98456,18994551,4923,949728,20,63716,17111539,3034,814835,9415,1161026,448,55287,21,66.6,9.6,1.1843,,,,,,,,,,,,,,982,809,173,80814.08324446996,6,4,2,17,168,45.5156,392.09780000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01,104364,20907410,4970,995591,21,67253,17648942,3057,802225,10482,1250752,476,56852,22,66.4,9.6,1.1614,,,,,,,,,,,,,,973,801,172,85038.865809,1,1,0,10,136,40,161.39927473,7.595189,378.455,245.832,199.206,46.626,51.562,13.607,132.411,1.625,40.513,5.915,4.944,2.12,2.824,0.305,0.048,0.867,0.3,4.743,2.771,1.972,2.002,0.769,122.936,102.556,20.381,20.07,,,,,,,,,,,,,,,,,,
2017-02,104825,21034462,5241,1051723,20,65903,17820272,3295,891014,11110,1326140,556,66307,20,67.4,9.7,1.1727,,,,,,,,,,,,,,973,803,170,87171.733591,6,5,1,6,195,83.05286708,167.45788718,6.984104,365.746,232.503,183.698,48.805,50.86,15.064,116.407,1.367,46.741,1.745,5.431,2.427,3.005,0.318,0.056,1.02,0.307,3.663,2.25,1.413,1.609,0.64,124.149,103.26,20.889,19.1,,,,,,,,,,,,,,,,,,
2017-03,127391,24921593,5539,1083548,23,73060,19795545,3177,860676,12307,1506491,535,65500,23,68.2,9,1.1553,,,,,,,,,,,,,,967,800,167,88978.761226,3,3,0,9,199,52.79918715,320.06178879,9.139391,397.46,257.975,183.503,74.473,48.784,13.612,119.697,1.409,64.573,9.548,11.823,2.39,9.434,0.322,0.049,0.982,0.29,4.947,2.879,2.068,2.057,0.821,122.714,101.323,21.391,22.99,,,,,,,,,,,,,,,,,,
