month,swapclear_notional_registered_usd_tn,swapclear_client_notional_registered_usd_tn,swapclear_trades_registered_count,swapclear_client_trades_registered_count,swapclear_notional_outstanding_eom_usd_tn,swapclear_client_notional_outstanding_eom_usd_tn,swapclear_trades_outstanding_eom_count,swapclear_client_trades_outstanding_eom_count,forexclear_notional_registered_usd_tn,forexclear_trades_registered_count,forexclear_notional_outstanding_eom_usd_tn,forexclear_trades_outstanding_eom_count,repoclear_ltd_nominal_value_eur_tn,repoclear_sa_nominal_value_eur_tn,repoclear_ltd_cash_value_eur_tn,repoclear_sa_cash_value_eur_tn,repoclear_ltd_cleared_trade_sides_count,repoclear_sa_cleared_trade_sides_count
2024-08,,,,,,,,,3.3786610954582796,771555,5.16252552315062,963739,,,,,,
2024-09,,,,,,,,,3.33646649447464,676768,4.6098327679614,769825,,,,,,
2024-10,,,,,,,,,3.3595129418502903,659341,4.95195199976675,802586,,,,,,
2024-11,,,,,,,,,3.22388534983053,628109,5.41999806962287,847883,,,,,,
2024-12,,,,,,,,,3.04709919345136,565491,4.41010450383946,617699,,,,,,
2025-01,,,,,,,,,3.90909556907521,741039,5.58019960510981,845237,,,,,,
2025-02,,,,,,,,,3.5108461130424597,695661,6.01059018407324,943255,,,,,,
2025-03,,,,,,,,,3.6932055882696,665794,5.52915750565938,755938,,,,,,
2025-04,,,,,,,,,3.89745616047477,842842,6.15117366999763,985716,,,,,,
2025-05,,,,,,,,,3.8760364851117,799450,6.5742872041205995,1010863,,,,,,
2025-06,,,,,,,,,4.05833301935556,737911,6.24612191941586,887908,4.31,23.89,4.11,23.44,115842,1200586
2025-07,,,,,,,,,4.1792612070747595,732477,6.284041089028849,907393,4.62,24.46,4.41,23.85,123858,1181058
2025-08,142.89750957702,49.947192496599,1023829,403254,544.890697928807,122.308552701155,6701915,1363751,3.87151976981878,670761,6.56645047863042,933555,3.73,21.62,3.55,21.01,97972,1021598
2025-09,200.914572595405,71.184264948063,1325272,509212,559.486802222824,126.508794114767,6830446,1362341,4.52215278091092,757038,6.25912049819108,854571,4.32,24.52,4.06,23.77,111616,1170884
2025-10,203.793774528249,75.462733030491,1193902,453427,582.751996095028,134.435008711078,6959603,1382971,4.218321365278,824968,6.65555624498238,997053,4.55,25.51,4.29,24.91,116148,1213470
2025-11,169.692268444503,62.141983456399,1060439,399215,584.423139790645,137.343588395923,6914726,1400376,4.0812571595155696,762964,7.21601198128752,1116242,4.32,22.16,4.13,21.61,114010,1036488
2025-12,164.988136262632,61.320474631593,1185032,469999,543.038656544998,118.111668811111,6832784,1369700,4.29592227905158,825398,5.82511313785221,855606,4.05,22.54,3.88,21.85,109770,994288
2026-01,192.149760240819,65.268096837721,1304547,479467,593.240709764069,134.069781692722,7168494,1445808,5.35159883774475,993375,7.45435775295781,1154534,4.47,24.95,4.29,24.32,117478,1129528
2026-02,185.617480501288,64.930700248231,1175226,449035,612.101819801405,144.734859875169,7328333,1497089,4.6648755329608305,820729,7.84864217386304,1199327,4.32,24.16,4.15,23.68,110668,1078472
2026-03,270.857117805705,99.450496667112,1986557,812031,602.43511766251,138.323664012061,7596199,1526703,6.1140303649482695,1281596,7.75852056322791,1327875,5.03,27.18,4.79,26.25,132584,1226422
2026-04,153.623020112627,52.565560264496,1278435,483779,637.448685385125,150.344301537551,7702751,1543005,5.22240238409589,1007550,8.01957795968062,1286880,4.35,24.56,4.11,23.63,111696,1095620
2026-05,158.29304520082,59.086667337667,1235485,481533,628.198983268388,146.063235977098,7843232,1571666,5.228944786304769,1143941,8.62678320356063,1475067,4.04,25.82,3.81,24.91,106192,1205030
2026-06,208.663561752545,76.801686652825,1493310,586223,609.422373803989,145.227679375014,7920381,1570877,6.17602279382883,1243394,8.24322345772802,1400655,,,,,,
2026-07,187.700244908995,68.435868092094,1384552,537501,619.743712293134,147.300500054816,8094802,1611214,5.70376537613027,1276010,8.42845385602573,1495054,,,,,,
