month,lse_orderbook_value_gbp_m,lse_orderbook_trades_count,lse_orderbook_adv_gbp_m,lse_orderbook_avg_daily_trades_count,lse_trading_days_count,turquoise_integrated_value_gbp_m,turquoise_integrated_trades_count,turquoise_integrated_adv_gbp_m,turquoise_integrated_avg_daily_trades_count,turquoise_dark_value_gbp_m,turquoise_dark_trades_count,turquoise_dark_adv_gbp_m,turquoise_dark_avg_daily_trades_count,turquoise_trading_days_count,lse_lit_uk_share_pct,turquoise_paneuropean_share_pct,gbp_eur_rate
2016-01,103570,21169105,5178,1058455,20,82001,25402482,4100,1270124,9955,1678174,498,83909,20,59,10.8,1.3252
2016-02,113828,22233207,5420,1058724,21,96590,29406008,4600,1400286,11179,1956337,532,93159,21,60,11.8,1.2893
2016-03,102097,20019349,4862,953302,21,92288,27281545,4013,1186154,11013,1877026,479,81610,21,60.8,12.9,1.2817
2016-04,96332,19160004,4587,912381,21,82905,23943702,3948,1140176,11500,1795556,548,85503,21,60.9,12.3,1.2622
2016-05,87218,17296763,4361,864838,20,72315,21589437,3287,981338,9684,1530449,440,69566,22,60.7,12,1.2857
2016-06,134076,25738564,6094,1169935,22,99062,30058461,4503,1366294,12858,2065883,584,93904,22,60.5,11.9,1.265
2016-07,113143,21870812,5388,1041467,21,88299,26055967,4205,1240760,11445,1776733,545,84606,21,59.4,12.9,1.189
2016-08,91500,17490688,4159,795031,22,75496,21159874,3282,919995,9482,1396106,412,60700,23,60.2,12.5,1.1693
2016-09,105735,19597485,4806,890795,22,81707,22273590,3714,1012436,9944,1401673,452,63712,22,61.8,11.7,1.1733
2016-10,109235,21334912,5202,1015948,21,80403,21251093,3829,1011957,11245,1393300,535,66348,21,62.6,11.4,1.1187
2016-11,124896,24808003,5677,1127637,22,82509,22741953,3750,1033725,12274,1528422,558,69474,22,65,10.4,1.1508
2016-12,98456,18994551,4923,949728,20,63716,17111539,3034,814835,9415,1161026,448,55287,21,66.6,9.6,1.1843
2017-01,104364,20907410,4970,995591,21,67253,17648942,3057,802225,10482,1250752,476,56852,22,66.4,9.6,1.1614
2017-02,104825,21034462,5241,1051723,20,65903,17820272,3295,891014,11110,1326140,556,66307,20,67.4,9.7,1.1727
2017-03,127391,24921593,5539,1083548,23,73060,19795545,3177,860676,12307,1506491,535,65500,23,68.2,9,1.1553
2017-04,96703,19355504,5372,1075306,18,58296,15906898,3239,883717,10543,1279769,586,71098,18,68.1,9,1.1789
2017-05,120191,23288168,5723,1108960,21,70151,19153120,3189,870596,13877,1667851,631,75811,22,68.5,8.9,1.1688
2017-06,129394,24921690,5882,1132804,22,69632,19032516,3165,865114,15475,1645886,703,74813,22,69.9,9.2,1.1399
2017-07,115014,21495857,5477,1023612,21,59685,16448446,2842,783259,14054,1384623,669,65934,21,69.6,8.9,1.1284
2017-08,103392,20359202,4700,925418,22,53053,15238374,2307,662538,13510,1420291,587,61752,23,68.9,8.5,1.0974
2017-09,109051,20059902,5193,955233,21,47544,13839986,2264,659047,14289,1457081,680,69385,21,72,7.9,1.1177
2017-10,110970,20760961,5044,943680,22,49248,14167223,2239,643965,15974,1467707,726,66714,22,72.5,7.8,1.1227
2017-11,120958,23111641,5498,1050529,22,53248,15085034,2420,685683,16372,1593720,744,72442,22,72.3,7.6,1.1262
2017-12,96692,18491862,5089,973256,19,40429,11627820,2128,611991,12720,1303079,669,68583,19,74.3,7.5,1.133
2018-01,131106,25109010,5959,1141319,22,56216,15979393,2555,726336,20649,1921301,939,87332,22,72.7,8.2,1.1321
2018-02,126995,25100124,6350,1255006,20,57184,16507922,2859,825396,21257,2171422,1063,108571,20,71.1,8.2,1.1313
2018-03,129641,24987873,6173,1189899,21,53313,15888478,2539,756594,15721,1395632,749,66459,21,70.7,7.4,1.1327
2018-04,118074,21816939,5904,1090847,20,44901,13438218,2245,671911,12244,775606,612,38780,20,69.6,7.1,1.1466
2018-05,131205,22859511,6248,1088548,21,51517,14073062,2342,639685,13127,642744,597,29216,22,69.3,6.9,1.1399
2018-06,132058,22599647,6288,1076174,21,49644,13568678,2364,646128,11150,522239,531,24869,21,70.3,6.6,1.1378
2018-07,113332,21552424,5151,979656,22,46308,13211357,2105,600516,11947,702539,543,31934,22,68.6,7.1,1.1271
2018-08,105507,20152195,4796,916009,22,41572,11819294,1807,513882,10567,619776,459,26947,23,68.5,6.7,1.115
2018-09,109689,19787882,5484,989394,20,36806,10921907,1840,546095,13075,1059418,654,52971,20,70.8,6.1,1.1201
2018-10,131688,25690584,5726,1116982,23,47601,14391769,2070,625729,20165,1840038,877,80002,23,69.5,6.4,1.1329
2018-11,120161,23677980,5462,1076272,22,36595,12001267,1663,545512,16976,1744567,772,79299,22,68.9,6.1,1.1348
2018-12,106929,19270793,5628,1014252,19,28442,9081818,1497,477990,13528,1436986,712,75631,19,71.6,5.7,1.1139
2019-01,100612,20025721,4573,910260,22,32976,10511466,1499,477794,16723,1567628,760,71256,22,69.8,6.3,1.1286
2019-02,91950,16792347,4598,839617,20,30989,9666520,1549,483326,15661,1370961,783,68548,20,68.7,6.3,1.146
2019-03,101620,18354445,4839,874021,21,30797,9500659,1467,452412,15233,1386472,725,66022,21,70.5,5.9,1.1652
2019-04,88617,16362291,4431,818115,20,29470,8412343,1473,420617,16063,1357912,803,67896,20,71.1,6.2,1.1604
2019-05,100072,18259243,4765,869488,21,29653,8339481,1289,362586,16757,1520735,729,66119,23,72.1,5.8,1.1471
2019-06,100543,17997166,5027,899858,20,22282,6464573,1114,323229,15278,1374285,764,68714,20,75,5.2,1.1222
2019-07,102031,19956917,4436,867692,23,19402,5858152,844,254702,17023,1503208,740,65357,23,73.8,5.2,1.1118
2019-08,103288,20006672,4918,952699,21,19045,5723181,866,260145,14222,1385181,646,62963,22,74,4.8,1.0923
2019-09,103599,18154812,4933,864515,21,16887,4978708,804,237081,13896,1176229,662,56011,21,75.3,4.5,1.1224
2019-10,112861,21806408,4907,948105,23,18627,5669898,810,246517,18600,1380829,809,60036,23,72.9,4.9,1.1424
2019-11,91229,16772037,4344,798668,21,14734,4787037,702,227954,14226,1015973,677,48380,21,75.1,4.6,1.166
2019-12,91848,16360327,4592,818016,20,13677,4387254,684,219363,12952,930980,648,46549,20,74.1,4.7,1.1802
2020-01,94681,17315606,4304,787073,22,18044,5751532,820,261433,18003,1158074,818,52640,22,73.5,5.2,1.1775
2020-02,107690,20887513,5384,1044376,20,21124,7083307,1056,354165,20799,1428313,1040,71416,20,73.3,5.1,1.1891
2020-03,187712,44807085,8532,2036686,22,35298,13263175,1604,602872,30303,2460813,1377,111855,22,74.2,4.8,1.1178
2020-04,105402,25687886,5270,1284394,20,19187,8589653,959,429483,15979,1254387,799,62719,20,74.2,5,1.1422
2020-05,95500,21052011,5026,1108001,19,22607,10245790,1077,487895,14672,1300009,699,61905,21,74.2,5.4,1.1276
2020-06,113357,24040105,5153,1092732,22,24749,10906445,1125,495748,17311,1433884,787,65177,22,74.3,4.8,1.1126
2020-07,85660,19536366,3724,849407,23,20077,8947382,873,389017,16297,1242607,709,54026,23,72.5,5.3,1.1054
2020-08,66499,15203494,3325,760175,20,15410,6952301,734,331062,11819,967162,563,46055,21,72.3,5.1,1.1101
2020-09,91728,19971843,4169,907811,22,17824,7912174,810,359644,15554,1314735,707,59761,22,73.3,4.8,1.0995
2020-10,82299,19590516,3741,890478,22,17411,8202362,791,372835,16649,1335012,757,60682,22,73.2,5.1,1.102
2020-11,123061,24735161,5860,1177865,21,24347,10980465,1159,522879,21709,1602978,1034,76332,21,73.6,5.2,1.116
2020-12,94982,19066739,4523,907940,21,18223,8187999,828,372182,15555,1089379,707,49517,22,73.1,5,1.1035
2021-01,92284,19608349,4614,980417,20,21429,9918704,1071,495935,20104,1249827,1005,62491,20,72.2,5.8,1.1202
2021-02,95011,20757963,4751,1037898,20,22483,10924038,1124,546202,23469,1439395,1173,71970,20,72.1,5.8,1.1459
2021-03,122987,24925977,5347,1083738,23,30145,15230018,1311,662175,26997,2515726,1174,109379,23,73.4,5.8,1.1645
2021-04,86929,18418475,4346,920924,20,24734,12740476,1237,637024,21197,2884787,1060,144239,20,70.8,6.1,1.1557
2021-05,87365,18019830,4598,948412,19,25670,14035278,1222,668347,20439,3582659,973,170603,21,71.4,5.9,1.1593
2021-06,93165,18115246,4235,823420,22,24570,12818201,1117,582646,22003,4272387,1000,194199,22,72.6,6,1.1645
2021-07,89978,18683149,4090,849234,22,23600,12254248,1073,557011,19211,3604799,873,163855,22,72,5.7,1.168
2021-08,76818,16445620,3658,783125,21,20539,11450212,934,520464,15856,2778386,721,126290,22,71.1,5.4,1.1725
2021-09,101160,21007689,4598,954895,22,25196,14105419,1145,641155,21221,2988319,965,135833,22,72.8,5.4,1.1671
2021-10,91403,19666509,4353,936500,21,22842,13148354,1088,626112,20211,2456460,962,116974,21,71.1,5.4,1.1807
2021-11,102056,20936856,4639,951675,22,22458,13230439,1021,601384,22331,2940069,1015,133640,22,70.6,4.7,1.1794
2021-12,87690,16740678,4176,797175,21,17489,10236300,760,445057,16371,2088350,712,90798,23,71.7,4.4,1.1782
2022-01,113213,20589436,5661,1029472,20,22286,12581977,1061,599142,22051,2561405,1050,121972,21,69.4,4.7,1.1976
2022-02,110299,21342183,5515,1067109,20,22195,13192042,1110,659602,21511,2550152,1076,127508,20,69.4,4.4,1.1935
2022-03,137216,26652344,5966,1158798,23,27198,16378748,1183,712119,26367,3300026,1146,143479,23,69.1,4.3,1.1956
2022-04,90605,17385424,4769,915022,19,18311,11051030,964,581633,17327,1979894,912,104205,19,68.7,4.5,1.1954
2022-05,106495,20248991,5071,964238,21,21184,12945237,963,588420,19394,1986024,882,90274,22,68.1,4.4,1.1774
2022-06,97435,17745088,4872,887254,20,19442,11366819,884,516674,17194,1678599,782,76300,22,67.6,4.4,1.1675
2022-07,84188,17022172,4009,810580,21,17340,9071672,826,431984,15889,1360756,757,64798,21,66.3,4.5,1.1758
2022-08,77468,14501232,3521,659147,22,15985,8944152,695,388876,16014,1560039,696,67828,23,66,4.7,1.1839
2022-09,99906,17933514,4757,853977,21,21018,11942286,955,542831,19606,1948589,891,88572,22,64.4,4.9,1.1451
2022-10,82172,16292175,3913,775818,21,21141,12754810,1007,607372,15602,1603582,743,76361,21,62.4,4.9,1.1468
2022-11,88518,15956655,4024,725303,22,24116,13378755,1096,608125,17237,1719059,783,78139,22,63.7,4.9,1.1507
2022-12,74554,11905746,3728,595287,20,20220,10587224,963,504154,13318,1457609,634,69410,21,66.2,5,1.1507
2023-01,77520,13311986,3691,633904,21,26702,12966700,1214,589395,17806,1704500,809,77477,22,62.8,5.6,1.1332
2023-02,78877,12231836,3944,611592,20,27104,12923216,1355,646161,16340,1424644,817,71232,20,63.7,5.2,1.1287
2023-03,102439,15762704,4454,685335,23,31991,14413829,1391,626688,18452,1568956,802,68215,23,65.7,4.9,1.1344
2023-04,65871,9919075,3660,551060,18,20102,8755085,1117,486394,12190,1095073,677,60837,18,67,4.9,1.1356
2023-05,79165,11060892,3958,553045,20,21769,9670652,990,439575,13105,1113450,596,50611,22,67.5,4.7,1.1479
2023-06,83741,11749009,3806,534046,22,20609,9714685,937,441577,12988,1037634,590,47165,22,69,4.6,1.1643
2023-07,66325,10562822,3158,502992,21,18442,8439014,878,401858,11690,939893,557,44757,21,66.9,4.8,1.1647
2023-08,66800,10962927,3036,498315,22,16704,7888318,726,342970,10572,885863,460,38516,23,67.9,4.4,1.1642
2023-09,80078,10975269,3813,522632,21,16155,7506699,769,357462,12112,924614,577,44029,21,70.6,4.2,1.1609
2023-10,77980,12364058,3545,562003,22,18234,8076703,829,367123,14270,962733,649,43761,22,67.7,4.5,1.1526
2023-11,79941,12183448,3634,553793,22,17033,7806999,774,354864,11990,856011,545,38910,22,68.7,4,1.1482
2023-12,69769,10834387,3672,570231,19,15061,6728425,793,354128,8786,716892,462,37731,19,69.6,3.8,1.1604
2024-01,74998,12330206,3409,560464,22,17410,7889674,791,358622,11702,832187,532,37827,22,68.3,4,1.1636
2024-02,79945,11831254,3807,563393,21,17688,7740356,842,368588,12123,807962,577,38474,21,68.5,3.9,1.1704
2024-03,89911,13149884,4496,657494,20,18825,8266277,941,413314,11421,846586,571,42329,20,70.7,2.7,1.1692
2024-04,92274,13861415,4394,660067,21,19662,8394823,936,399753,12532,980073,597,46670,21,69.5,4.8,1.1674
2024-05,101501,12873319,4833,613015,21,17255,7882969,750,342738,12165,1067365,529,46407,23,72,3.7,1.1686
2024-06,94012,11713803,4701,585690,20,17899,8173789,895,408689,11905,1277907,595,63895,20,73.7,4,1.181
2024-07,89482,12587179,3891,547269,23,19932,8929067,867,388220,13668,1545740,594,67206,23,69.9,4.5,1.1857
2024-08,82851,11768878,3945,560423,21,17600,8032632,800,365120,11337,1686558,515,76662,22,69.7,4.3,1.1749
2024-09,92147,11987830,4388,570849,21,18202,8264255,867,393536,13732,1716918,654,81758,21,70.3,4.2,1.1899
2024-10,94904,14118895,4126,613865,23,20103,9643430,874,419280,14173,1585788,616,68947,23,68.7,4.3,1.1978
2024-11,98104,14143437,4672,673497,21,19202,9629094,914,458528,12612,1485252,601,70726,21,70,4,1.199
2024-12,79633,11363576,3982,568179,20,15282,7948222,764,397411,9508,1139403,475,56970,20,70.5,3.7,1.2075
2025-01,94393,14478582,4291,658117,22,22970,11203838,1044,509265,13900,1282528,632,58297,22,68.2,4.3,1.1927
2025-02,98856,13871314,4943,693566,20,26973,12770722,1349,638536,14649,1402503,732,70125,20,67.6,4.4,1.2026
2025-03,122095,16795121,5814,799768,21,33303,14973250,1586,713012,16576,1519848,789,72374,21,68.1,4.3,1.1957
2025-04,114990,18322131,5749,916107,20,33970,15690869,1699,784543,14809,1510465,740,75523,20,65.9,4.2,1.1705
2025-05,94574,13240225,4729,662011,20,24937,11219687,1133,509986,12419,1329692,565,60441,22,67.4,4.1,1.1841
2025-06,94607,12635103,4505,601672,21,21804,9051478,1038,431023,12635,1220553,602,58122,21,68.6,4,1.1778
2025-07,92796,13361913,4035,580953,23,25971,9982678,1129,434029,16178,1329610,703,57809,23,66.4,4.5,1.1563
2025-08,83103,11206270,4155,560314,20,22527,8421196,1073,401009,12259,970439,584,46211,21,67.7,4.4,1.1557
2025-09,102817,13000438,4674,590929,22,23400,8522027,1064,387365,12476,1030045,567,46820,22,68.3,3.9,1.1509
2025-10,109283,14547782,4751,632512,23,28100,9497794,1222,412948,13579,1070368,590,46538,23,66.3,4.1,1.1478
2025-11,106003,12931664,5300,646583,20,24933,8585641,1247,429282,9965,729745,498,36487,20,67.1,3.8,1.1359
2025-12,99133,11448302,4721,545157,21,20263,7064429,965,336401,7536,588677,359,28032,21,67.7,3.4,1.1431
2026-01,121276,14495045,5775,690240,21,29374,9887681,1399,470842,13019,1013577,620,48266,21,64.3,3.9,1.1512
2026-02,136950,16539767,6848,826988,20,32268,11076023,1613,553801,16216,1216422,811,60821,20,65.1,4,1.1493
2026-03,168723,21124329,7669,960197,22,35110,12763250,1596,580148,17103,1501690,777,68259,22,66.9,3.7,1.1537
2026-04,126483,17557277,6324,877864,20,26831,9952923,1342,497646,13634,1232265,682,61613,20,66.1,3.6,1.1494
2026-05,126963,16690179,6682,878430,19,25812,9415815,1229,448372,12426,1214025,592,57811,21,67.5,3.4,1.1549
2026-06,146827,18402449,6674,836475,22,28264,9952463,1285,452385,14400,1344169,655,61099,22,69.2,3.5,1.1574
