month,mm_companies_eop_count,mm_companies_uk_eop_count,mm_companies_intl_eop_count,mm_marketcap_eop_gbp_mn,mm_marketcap_uk_eop_gbp_mn,mm_marketcap_intl_eop_gbp_mn,mm_new_issues_count,mm_new_issues_uk_count,mm_new_issues_intl_count,mm_cancellations_count,mm_further_issues_count,mm_money_raised_new_gbp_mn,mm_money_raised_further_gbp_mn,aim_companies_eop_count,aim_companies_uk_eop_count,aim_companies_intl_eop_count,aim_marketcap_eop_gbp_mn,aim_new_issues_count,aim_new_issues_uk_count,aim_new_issues_intl_count,aim_cancellations_count,aim_further_issues_count,aim_money_raised_new_gbp_mn,aim_money_raised_further_gbp_mn
2016-01,,,,,,,,,,,,,,1033,836,197,68261.88312376436,2,2,0,13,124,110,265.20739999999995
2016-02,,,,,,,,,,,,,,1029,834,195,68647.10697062229,4,4,0,8,118,33.5,141.14690000000002
2016-03,,,,,,,,,,,,,,1020,828,192,70766.70482170081,9,8,1,18,163,137.89049999999997,111.90990000000002
2016-04,,,,,,,,,,,,,,1013,824,189,72987.20020386516,6,6,0,13,180,62.910799999999995,158.50830000000002
2016-05,,,,,,,,,,,,,,1016,829,187,74662.99910752801,13,12,1,10,146,150.918,304.9245
2016-06,,,,,,,,,,,,,,1013,829,184,71745.17217518171,7,6,1,10,166,227.1585,223.58950000000004
2016-07,,,,,,,,,,,,,,1010,825,185,77396.92049553985,4,3,1,7,165,61.5539,737.3675000000001
2016-08,,,,,,,,,,,,,,1007,823,184,80568.92295094079,5,4,1,8,151,26,180.599
2016-09,,,,,,,,,,,,,,1000,818,182,82987.93293935446,2,0,2,9,183,172.5694,140.51539999999997
2016-10,,,,,,,,,,,,,,995,815,180,80883.42929294972,2,2,0,7,187,57.3559,342.83800000000014
2016-11,,,,,,,,,,,,,,993,815,178,81172.68335052283,4,4,0,6,171,18.3081,663.1510000000001
2016-12,,,,,,,,,,,,,,982,809,173,80814.08324446996,6,4,2,17,168,45.5156,392.09780000000006
2017-01,,,,,,,,,,,,,,973,801,172,85038.865809,1,1,0,10,136,40,161.39927473
2017-02,,,,,,,,,,,,,,973,803,170,87171.733591,6,5,1,6,195,83.05286708,167.45788718
2017-03,,,,,,,,,,,,,,967,800,167,88978.761226,3,3,0,9,199,52.79918715,320.06178879
2017-04,,,,,,,,,,,,,,967,803,164,92835.936549,6,6,0,6,200,143.84999958,256.90083094
2017-05,,,,,,,,,,,,,,966,804,162,95591.623658,7,7,0,8,202,72.05940137,316.91775154
2017-06,,,,,,,,,,,,,,963,802,161,93598.01,5,2,3,8,209,50.1960629,351.65825557
2017-07,,,,,,,,,,,,,,964,805,159,96295.846198,12,10,2,11,170,374.43829344,629.59265358
2017-08,,,,,,,,,,,,,,963,806,157,100446.039684,9,9,0,10,153,233.85999956,361.10159379
2017-09,,,,,,,,,,,,,,959,804,155,100238.368822,4,4,0,8,131,174.282019,52.2128611
2017-10,,,,,,,,,,,,,,957,802,155,104288.239478,5,4,1,7,190,70.68140336,928.01309983
2017-11,,,,,,,,,,,,,,958,804,154,104763.003481,10,8,2,9,164,148.14855892,488.18665314
2017-12,,,,,,,,,,,,,,960,808,152,106882.266107,12,10,2,10,196,142.25119009,754.71637498
2018-01,,,,,,,,,,,,,,956,804,152,108414.13628,3,3,0,7,166,8.7684971,277.97112097
2018-02,,,,,,,,,,,,,,950,800,150,105826.825905,2,2,0,7,151,100.0000011,547.96076412
2018-03,,,,,,,,,,,,,,947,800,147,103313.010823,7,6,1,10,140,54.74674095,539.43225832
2018-04,,,,,,,,,,,,,,941,795,146,108026.239522,5,3,2,11,159,58.12010173,467.98275818
2018-05,1165,944,221,4106372.256293,2634816.170232,1471556.086061,7,7,0,6,72,266.8009068,1327.64635244,941,796,145,111319.67943,5,5,0,5,171,246.08704605,247.47644002
2018-06,1166,942,224,4096868.382911,2614579.971988,1482288.410923,8,5,3,5,66,7.00999995,1725.32600631,944,799,145,110777.756735,14,11,3,11,148,313.79413416,344.27684084
2018-07,1171,946,225,4154718.13399,2650377.650638,1504340.483352,12,10,2,8,56,1150.97466028,1590.37972193,942,797,145,112813.785967,6,5,1,9,144,351.95927185,238.39447042
2018-08,1169,945,224,4036362.382836,2554183.189442,1482179.193394,2,2,0,4,41,27.22263082,460.35274009,942,796,146,114499.816694,5,4,1,5,128,186.54451584,417.86439164
2018-09,1164,940,224,4074661.231243,2587811.963081,1486849.268162,3,2,1,7,50,270.585977,240.31079731,937,792,145,115119.931191,2,1,1,7,89,3.5000004,102.49324677
2018-10,1166,943,223,3887106.580437,2449890.524161,1437216.056276,10,9,1,7,96,1336.5095782,1941.11686022,928,785,143,102426.253043,4,3,1,13,148,176.98125083,420.15460101
2018-11,1168,942,226,3777996.652931,2366656.359496,1411340.293435,9,5,4,4,52,1108.85162738,780.93272821,926,785,141,98345.164327,5,4,1,7,124,49.5937507,145.3308593
2018-12,1166,939,227,3689685.235413,2279826.176864,1409859.058549,4,3,1,5,42,102.459135,939.90878519,923,781,142,91253.12,7,5,2,10,117,47.00000136,192.91780634
2019-01,1161,935,226,3697754.73718,2329181.026068,1368573.711112,3,1,2,6,37,1.756,38.07308393,919,778,141,96890.714918,0,0,0,4,112,0,101.245803
2019-02,1158,933,225,3767552.713408,2369477.91419,1398074.799218,2,1,1,4,45,0,1071.0282961,913,773,140,96174.896829,3,2,1,9,115,1.0200001,498.82558896
