month,tradeweb_volume_total_usd_tn,tradeweb_adv_total_usd_bn,tradeweb_adv_rates_usd_bn,tradeweb_adv_rates_cash_usd_bn,tradeweb_adv_rates_derivatives_usd_bn,tradeweb_adv_us_govt_bonds_usd_bn,tradeweb_adv_eu_govt_bonds_usd_bn,tradeweb_adv_mortgages_usd_bn,tradeweb_adv_other_govt_bonds_usd_bn,tradeweb_adv_swaps_swaptions_ge_1y_usd_bn,tradeweb_adv_swaps_swaptions_lt_1y_usd_bn,tradeweb_adv_credit_usd_bn,tradeweb_adv_credit_cash_usd_bn,tradeweb_adv_credit_derivatives_usd_bn,tradeweb_adv_us_hg_fully_electronic_usd_bn,tradeweb_adv_us_hy_fully_electronic_usd_bn,tradeweb_adv_european_credit_usd_bn,tradeweb_adv_municipal_bonds_usd_bn,tradeweb_adv_equities_usd_bn,tradeweb_adv_equities_cash_usd_bn,tradeweb_adv_equities_derivatives_usd_bn,tradeweb_adv_us_etf_usd_bn,tradeweb_adv_intl_etf_usd_bn,tradeweb_adv_money_markets_usd_bn,tradeweb_adv_repo_usd_bn,tradeweb_adv_other_money_markets_usd_bn,tradeweb_trading_days_blended
2017-01,7.595189,378.455,245.832,199.206,46.626,51.562,13.607,132.411,1.625,40.513,5.915,4.944,2.12,2.824,0.305,0.048,0.867,0.3,4.743,2.771,1.972,2.002,0.769,122.936,102.556,20.381,20.07
2017-02,6.984104,365.746,232.503,183.698,48.805,50.86,15.064,116.407,1.367,46.741,1.745,5.431,2.427,3.005,0.318,0.056,1.02,0.307,3.663,2.25,1.413,1.609,0.64,124.149,103.26,20.889,19.1
2017-03,9.139391,397.46,257.975,183.503,74.473,48.784,13.612,119.697,1.409,64.573,9.548,11.823,2.39,9.434,0.322,0.049,0.982,0.29,4.947,2.879,2.068,2.057,0.821,122.714,101.323,21.391,22.99
2017-04,6.801442,359.628,222.683,180.404,42.279,52.684,14.267,111.905,1.547,40.166,1.795,6.479,2.268,4.211,0.294,0.043,1.034,0.288,4.702,2.728,1.974,1.91,0.817,125.763,104.849,20.915,18.91
2017-05,8.034772,365.378,224.444,173.762,50.682,52.085,12.751,107.685,1.241,47.679,2.746,5.196,2.425,2.771,0.347,0.054,0.98,0.292,4.446,2.491,1.955,1.629,0.862,131.292,110.404,20.888,21.99
2017-06,8.921942,405.543,260.036,187.841,72.195,49.29,15.705,121.404,1.442,63.719,8.242,6.139,2.52,3.619,0.397,0.055,1.021,0.278,4.444,2.56,1.884,1.955,0.605,134.924,114.584,20.34,22
2017-07,7.346624,365.373,230.594,179.638,50.956,47.388,13.82,116.905,1.525,47.752,3.07,5.42,2.696,2.723,0.34,0.044,0.909,0.277,3.282,2.187,1.095,1.476,0.711,126.078,106.572,19.506,20.11
2017-08,8.216954,357.371,222.372,179.89,42.482,47.803,11.069,119.731,1.287,41.594,0.627,5.885,2.611,3.274,0.336,0.054,0.761,0.269,3.76,2.186,1.574,1.596,0.59,125.354,106.416,18.938,22.99
2017-09,9.334315,462.918,305.486,202.768,102.718,55.536,16.841,128.641,1.749,72.028,30.425,16.171,3.028,13.143,0.355,0.075,1.092,0.246,5.039,3.004,2.035,2.262,0.742,136.221,114.954,21.267,20.16
2017-10,8.849953,419.208,261.759,212.33,49.429,54.325,16.135,140.427,1.443,46.157,2.813,8.687,3.464,5.223,0.441,0.075,1.109,0.265,4.7,2.808,1.892,2.064,0.744,144.062,123.095,20.966,21.11
2017-11,9.59144,454.349,293.275,210.639,82.636,58.086,16.943,133.888,1.722,55.209,26.921,7.685,3.526,4.16,0.416,0.129,1.16,0.276,6.136,3.303,2.834,2.545,0.758,147.252,128.011,19.241,21.11
2017-12,8.798953,440.083,282.916,194.843,88.072,57.174,11.988,124.366,1.315,84.846,3.021,4.456,2.611,1.845,0.356,0.062,0.758,0.319,8.033,4.347,3.687,3.708,0.639,144.679,124.151,20.527,19.99
2018-01,10.91763,516.618,337.51,233.112,104.398,70.561,19.221,141.344,1.987,95.656,8.115,9.886,4.562,5.324,0.626,0.091,1.627,0.29,8.096,4.648,3.448,3.579,1.07,161.126,138.855,22.271,21.13
2018-02,10.790305,563.823,368.756,247.262,121.495,79.835,19.705,145.699,2.023,104.76,16.082,14.985,4.386,10.599,0.513,0.123,1.742,0.281,12.877,7.285,5.592,5.825,1.46,167.206,142.285,24.921,19.14
2018-03,10.987312,523.188,327.75,217.274,110.475,65.708,20.643,128.801,2.122,104.579,5.3,20.276,4.016,16.26,0.52,0.071,1.44,0.264,9.193,5.185,4.008,4.1,1.085,165.969,142.027,23.942,21
2018-04,10.314915,495.13,308.994,216.591,92.403,64.142,19.723,130.575,2.151,86.144,5.723,11.938,4.294,7.644,0.531,0.071,1.503,0.284,7.098,4.193,2.905,3.156,1.037,167.1,146.622,20.477,20.83
2018-05,11.744494,533.949,346.634,229.028,117.606,66.843,22.637,137.622,1.926,107.912,9.159,12.543,4.153,8.391,0.542,0.071,1.306,0.254,6.306,3.776,2.53,2.525,1.251,168.465,147.153,21.312,22
2018-06,12.35203,588.24,397.06,220.569,176.491,62.451,20.643,135.528,1.946,135.169,40.618,10.871,4.509,6.362,0.478,0.086,1.291,0.26,7.532,4.052,3.479,2.751,1.301,172.778,148.621,24.157,21
2018-07,10.97348,518.27,340.056,208.236,131.82,64.839,17.847,123.468,2.083,95.672,35.652,8.809,3.903,4.907,0.441,0.061,1.122,0.239,5.11,2.767,2.342,1.798,0.97,164.295,144.277,20.019,21.17
2018-08,11.368936,494.384,313.841,187.142,126.699,61.652,15.455,108.35,1.685,95.437,30.808,8.004,3.599,4.406,0.519,0.066,0.926,0.256,5.212,2.814,2.398,1.916,0.898,167.326,148.365,18.961,23
2018-09,11.371281,592.697,379.527,235.759,143.768,71.082,20.266,142.206,2.205,123.47,19.78,19.865,4.434,15.431,0.758,0.1,1.269,0.275,7.251,4.013,3.238,2.929,1.083,186.054,165.366,20.688,19.19
2018-10,12.954617,584.001,369.809,256.448,113.361,78.042,22.65,153.631,2.125,105.312,7.485,14.537,4.713,9.824,0.815,0.129,1.302,0.285,9.283,5.833,3.451,4.523,1.31,190.372,168.78,21.592,22.18
2018-11,11.630901,570.492,359.982,230.662,129.32,78.225,20.609,129.883,1.946,106.276,22.272,11.669,4.55,7.119,0.73,0.099,1.322,0.301,6.799,4.012,2.788,2.83,1.182,192.041,173.075,18.966,20.39
2018-12,11.830687,616.86,409.245,230.693,178.553,80.87,16.719,131.431,1.672,168.203,9.913,9.529,3.622,5.907,0.687,0.065,0.853,0.292,9.524,5.755,3.77,4.39,1.365,188.561,168.517,20.045,19.18
2019-01,13.196407,623.373,410.036,268.614,141.422,79.656,21.934,164.445,2.578,127.301,13.48,12.798,5.612,7.186,0.86,0.139,1.277,0.275,8.041,4.902,3.139,3.442,1.46,192.499,172.928,19.571,21.17
2019-02,11.556165,602.595,395.915,263.055,132.859,82.807,22.397,153.885,3.966,127.695,4.806,11.804,5.926,5.877,0.867,0.12,1.34,0.291,7.071,4.223,2.848,2.538,1.685,187.806,169.628,18.178,19.18
2019-03,14.866382,708.063,479.43,292.256,187.174,83.986,24.791,179.321,4.158,171.05,15.632,24.365,5.407,18.958,0.844,0.096,1.348,0.272,8.145,4.28,3.865,2.916,1.364,196.123,177.706,18.417,21
2019-04,13.875664,666.051,441.812,271.455,170.357,76.248,22.155,169.041,4.01,102.504,67.417,10.897,5.597,5.3,1.055,0.129,1.295,0.254,7.166,3.969,3.197,2.497,1.473,206.176,188.068,18.108,20.83
