month,trading_days_options,industry_adv_options_kcontracts,adv_multilist_options_kcontracts,share_multilist_options_pct,rpc_multilist_options_usd,industry_adv_equities_mnshares,adv_equities_mnshares,share_equities_pct,capture_equities_usd_per100shares,trading_days_futures,adv_futures_ag_contracts,rpc_futures_ag_usd,adv_futures_fin_contracts,rpc_futures_fin_usd,adv_miax_options_api_kcontracts,adv_pearl_options_api_kcontracts,adv_emerald_options_api_kcontracts,adv_sapphire_options_api_kcontracts,adv_index_options_api_kcontracts,industry_adv_options_api_kcontracts,adv_equities_api_mnshares,adnv_equities_api_usdbn,industry_adv_equities_api_mnshares,industry_adnv_equities_api_usdbn,vol_futures_ag_contracts
2015-04,,,,,,,,,,,,,,,1015.59,,,,0,13773.778,,,,,219728
2015-05,,,,,,,,,,,,,,,1025.153,,,,0,13491.935,,,,,133836
2015-06,,,,,,,,,,,,,,,954.119,,,,0,13236.85,,,,,259169
2015-07,,,,,,,,,,,,,,,1102.334,,,,0,15158.863,,,,,188361
2015-08,,,,,,,,,,,,,,,1187.019,,,,0,17428.099,,,,,266043
2015-09,,,,,,,,,,,,,,,948.45,,,,0,14590.72,,,,,131914
2015-10,,,,,,,,,,,,,,,1013.58,,,,0,14394.338,,,,,158766
2015-11,,,,,,,,,,,,,,,1042.332,,,,0,14185.648,,,,,272202
2015-12,,,,,,,,,,,,,,,982.013,,,,0,13529.862,,,,,164210
2016-01,,,,,,,,,,,,,,,1067.359,,,,0,16868.009,,,,,155833
2016-02,,,,,,,,,,,,,,,890.669,,,,0,14567.32,,,,,247562
2016-03,,,,,,,,,,,,,,,947.637,,,,0,13713.363,,,,,145936
2016-04,,,,,,,,,,,,,,,1041.562,,,,0,14023.646,,,,,212021
2016-05,,,,,,,,,,,,,,,950.141,,,,0,12960.905,,,,,118181
2016-06,,,,,,,,,,,,,,,992.834,,,,0,14297.696,,,,,245738
2016-07,,,,,,,,,,,,,,,1017.839,,,,0,13410.023,,,,,148607
2016-08,,,,,,,,,,,,,,,971.96,,,,0,12318.261,,,,,260405
2016-09,,,,,,,,,,,,,,,1086.327,,,,0,14852.131,,,,,138472
2016-10,,,,,,,,,,,,,,,886.504,,,,0,12967.696,,,,,153358
2016-11,,,,,,,,,,,,,,,913.705,,,,0,15858.259,,,,,225377
2016-12,,,,,,,,,,,,,,,822.448,,,,0,13517.495,,,,,133608
2017-01,,,,,,,,,,,,,,,811.14,,,,0,14256.288,,,,,250929
2017-02,,,,,,,,,,,,,,,963.403,32.304,,,0,14623.014,,,,,234693
2017-03,,,,,,,,,,,,,,,740.854,95.383,,,0,14000.296,,,,,202500
2017-04,,,,,,,,,,,,,,,705.065,58.577,,,0,13829.819,,,,,211184
2017-05,,,,,,,,,,,,,,,725.538,49.668,,,0,14507.569,,,,,153578
2017-06,,,,,,,,,,,,,,,763.765,151.198,,,0,14961.473,,,,,489905
2017-07,,,,,,,,,,,,,,,708.356,158.792,,,0,13440.812,,,,,301607
2017-08,,,,,,,,,,,,,,,735.907,242.314,,,0,14034.466,,,,,311495
2017-09,,,,,,,,,,,,,,,685.799,275.493,,,0,13831.832,,,,,166028
2017-10,,,,,,,,,,,,,,,657.479,276.725,,,0,14534.146,,,,,120546
2017-11,,,,,,,,,,,,,,,689.223,271.023,,,0,15921.264,,,,,245980
2017-12,,,,,,,,,,,,,,,619.51,331.687,,,0,14482.523,,,,,110920
2018-01,,,,,,,,,,,,,,,908.616,509.524,,,0,19235.651,,,,,146019
2018-02,,,,,,,,,,,,,,,907.235,925.016,,,0,20605.721,,,,,205226
2018-03,,,,,,,,,,,,,,,797.186,708.476,,,0,18004.341,,,,,153104
2018-04,,,,,,,,,,,,,,,745.5,699.386,,,0,16642.259,,,,,272068
2018-05,,,,,,,,,,,,,,,774.47,887.547,,,0,16305.798,,,,,180836
2018-06,,,,,,,,,,,,,,,790.629,955.523,,,0,16852.771,,,,,264240
2018-07,,,,,,,,,,,,,,,715.786,832.265,,,0,15622.674,,,,,180170
2018-08,,,,,,,,,,,,,,,748.718,883.33,,,0,16442.649,,,,,275743
2018-09,,,,,,,,,,,,,,,765.766,846.351,,,0,16686.05,,,,,110687
2018-10,,,,,,,,,,,,,,,897.196,1154.755,,,0,21096.92,,,,,160100
2018-11,,,,,,,,,,,,,,,724.871,961.486,,,0,17849.009,,,,,246638
2018-12,,,,,,,,,,,,,,,782.585,1144.088,,,0,19517.965,,,,,140453
2019-01,,,,,,,,,,,,,,,744.937,1025.711,,,0,17541.794,,,,,119256
2019-02,,,,,,,,,,,,,,,709.599,944.035,,,0.014,16245.267,,,,,222126
2019-03,,,,,,,,,,,,,,,721.321,938.974,53.953,,0.004,16996.953,,,,,163316
2019-04,,,,,,,,,,,,,,,708.902,889.795,160.386,,0.01,16124.975,,,,,239934
2019-05,,,,,,,,,,,,,,,688.479,889.543,140.552,,0.019,18125.456,,,,,172120
2019-06,,,,,,,,,,,,,,,632.353,876.582,119.256,,0.773,16729.856,,,,,241941
2019-07,,,,,,,,,,,,,,,584.573,819.884,108.378,,1.647,15866.126,,,,,142380
2019-08,,,,,,,,,,,,,,,717.492,1091.501,140.269,,1.803,18650.902,,,,,283743
2019-09,,,,,,,,,,,,,,,695.409,947.709,143.813,,1.808,17637.793,,,,,222077
2019-10,,,,,,,,,,,,,,,729.86,919.592,154.887,,4.462,17211.589,,,,,154584
2019-11,,,,,,,,,,,,,,,769.377,849.326,162.264,,4.485,17555.808,,,,,234084
2019-12,,,,,,,,,,,,,,,698.217,875.071,151.253,,10.208,17447.453,,,,,162254
2020-01,,,,,,,,,,,,,,,993.751,1130.117,174.997,,5.248,22058.609,,,,,175734
2020-02,,,,,,,,,,,,,,,1211.331,1499.719,186.931,,7.068,26200.067,,,,,261762
2020-03,,,,,,,,,,,,,,,996.879,1106.944,967.107,,1.003,26382.532,,,,,277629
2020-04,,,,,,,,,,,,,,,1115.861,958.778,917.697,,0,24177.026,,,,,256276
2020-05,,,,,,,,,,,,,,,1265.014,1231.708,607.9,,0,25058.7,,,,,134909
2020-06,,,,,,,,,,,,,,,1475.295,1551.708,662.043,,0.003,29204.456,,,,,283477
2020-07,,,,,,,,,,,,,,,1266.285,1085.853,635.299,,0,26038.866,,,,,152619
2020-08,,,,,,,,,,,,,,,1337.926,1124.304,893.727,,0,27313.305,,,,,318992
2020-09,,,,,,,,,,,,,,,1744.982,1125.225,1228.398,,0.003,29650.009,,,,,164754
2020-10,,,,,,,,,,,,,,,1398.502,932.704,972.9,,0.003,26779.082,,,,,268611
2020-11,,,,,,,,,,,,,,,1234.062,1071.59,1110.541,,0,31574.964,,,,,260612
