month,ticker,co_id,remark,triggered,trigger_leg,yoy_pct,ytd_yoy_pct,co_name
2024-08,tsm,2330,,0,-,32.95,30.85,台積電
2024-08,ase,3711,,0,-,1.25,2.66,日月光投控
2024-08,mtk,2454,海外子公司之營收係以當月平均匯率換算之,0,-,-1.72,29.89,聯發科
2024-08,nanya,2408,,0,-,8.83,35.24,南亞科
2024-08,umc,2303,,0,-,8.94,3.00,聯電
2024-08,alchip,3661,本月營收較去年同期增加，係因量產產品增加所致。,1,both,89.38,82.98,世芯-KY
2024-08,guc,3443,,0,-,-14.41,-1.95,創意
2024-09,tsm,2330,,0,-,39.60,31.87,台積電
2024-09,ase,3711,,0,-,3.82,2.80,日月光投控
2024-09,mtk,2454,海外子公司之營收係以當月平均匯率換算之,0,-,23.83,29.18,聯發科
2024-09,nanya,2408,,0,-,-5.12,30.06,南亞科
2024-09,umc,2303,,0,-,-0.58,2.59,聯電
2024-09,alchip,3661,本月營收較去年同期增加，係因量產產品增加所致。,1,both,82.63,83.09,世芯-KY
2024-09,guc,3443,,0,-,-24.15,-4.54,創意
2024-10,tsm,2330,,0,-,29.21,31.51,台積電
2024-10,ase,3711,,0,-,0.46,2.53,日月光投控
2024-10,mtk,2454,海外子公司之營收係以當月平均匯率換算之,0,-,19.40,27.97,聯發科
2024-10,nanya,2408,,0,-,-18.21,24.66,南亞科
2024-10,umc,2303,,0,-,11.36,3.49,聯電
2024-10,alchip,3661,本年營收較去年增加，係因量產產品增加所致。,1,ytd,47.76,79.04,世芯-KY
2024-10,guc,3443,,0,-,-30.32,-7.03,創意
2024-11,tsm,2330,,0,-,33.99,31.77,台積電
2024-11,ase,3711,,0,-,-2.89,1.97,日月光投控
2024-11,mtk,2454,海外子公司之營收係以當月平均匯率換算之,0,-,5.04,25.43,聯發科
2024-11,nanya,2408,,0,-,-23.89,19.44,南亞科
2024-11,umc,2303,,0,-,6.71,3.79,聯電
2024-11,alchip,3661,本年營收較去年增加，係因量產產品增加所致。,1,both,50.92,76.07,世芯-KY
2024-11,guc,3443,,0,-,-7.14,-7.04,創意
2024-12,tsm,2330,因先進製程產品需求增加所致。,1,month,57.78,33.89,台積電
2024-12,ase,3711,,0,-,6.01,2.32,日月光投控
2024-12,mtk,2454,海外子公司之營收係以當月平均匯率換算之,0,-,-4.57,22.41,聯發科
2024-12,nanya,2408,,0,-,-30.25,14.18,南亞科
2024-12,umc,2303,,0,-,11.70,4.39,聯電
2024-12,alchip,3661,本年營收較去年增加，係因量產產品增加所致。,1,ytd,27.80,70.53,世芯-KY
2024-12,guc,3443,,0,-,22.38,-4.56,創意
2025-01,tsm,2330,,0,-,35.92,35.92,台積電
2025-01,ase,3711,,0,-,4.33,4.33,日月光投控
2025-01,mtk,2454,海外子公司之營收係以當月平均匯率換算之,0,-,14.94,14.94,聯發科
2025-01,nanya,2408,,0,-,-29.35,-29.35,南亞科
2025-01,umc,2303,,0,-,4.17,4.17,聯電
2025-01,alchip,3661,,0,-,-3.37,-3.37,世芯-KY
2025-01,guc,3443,,0,-,17.31,17.31,創意
2025-02,tsm,2330,,0,-,43.14,39.22,台積電
2025-02,ase,3711,,0,-,13.11,8.34,日月光投控
2025-02,mtk,2454,海外子公司之營收係以當月平均匯率換算之,0,-,19.98,17.28,聯發科
2025-02,nanya,2408,,0,-,-25.51,-27.43,南亞科
2025-02,umc,2303,,0,-,4.25,4.21,聯電
2025-02,alchip,3661,,0,-,11.20,3.77,世芯-KY
2025-02,guc,3443,,0,-,18.90,18.11,創意
2025-03,tsm,2330,,0,-,46.49,41.61,台積電
2025-03,ase,3711,,0,-,17.71,11.56,日月光投控
2025-03,mtk,2454,海外子公司之營收係以當月平均匯率換算之,0,-,10.93,14.88,聯發科
2025-03,nanya,2408,,0,-,-18.83,-24.36,南亞科
2025-03,umc,2303,,0,-,9.31,5.91,聯電
2025-03,alchip,3661,,0,-,-6.63,-0.04,世芯-KY
2025-03,guc,3443,,0,-,31.92,23.43,創意
2025-04,tsm,2330,,0,-,48.11,43.46,台積電
2025-04,ase,3711,,0,-,13.95,12.17,日月光投控
2025-04,mtk,2454,海外子公司之營收係以當月平均匯率換算之,0,-,16.00,15.15,聯發科
2025-04,nanya,2408,,0,-,-2.73,-18.90,南亞科
2025-04,umc,2303,,0,-,3.61,5.30,聯電
2025-04,alchip,3661,,0,-,-21.50,-5.94,世芯-KY
2025-04,guc,3443,,0,-,-1.28,17.76,創意
2025-05,tsm,2330,,0,-,39.59,42.62,台積電
2025-05,ase,3711,,0,-,3.23,10.29,日月光投控
2025-05,mtk,2454,海外子公司之營收係以當月平均匯率換算之,0,-,7.19,13.61,聯發科
2025-05,nanya,2408,,0,-,-0.54,-15.07,南亞科
2025-05,umc,2303,,0,-,-0.15,4.17,聯電
2025-05,alchip,3661,,0,-,-33.51,-12.36,世芯-KY
2025-05,guc,3443,,0,-,-14.43,9.98,創意
2025-06,tsm,2330,,0,-,26.86,40.03,台積電
2025-06,ase,3711,,0,-,5.51,9.47,日月光投控
2025-06,mtk,2454,海外子公司之營收係以當月平均匯率換算之,0,-,30.96,16.47,聯發科
2025-06,nanya,2408,,0,-,21.14,-8.80,南亞科
2025-06,umc,2303,,0,-,7.26,4.65,聯電
2025-06,alchip,3661,,0,-,-40.88,-18.47,世芯-KY
2025-06,guc,3443,,0,-,-9.50,5.79,創意
2025-07,tsm,2330,,0,-,25.77,37.63,台積電
2025-07,ase,3711,,0,-,-0.10,7.95,日月光投控
2025-07,mtk,2454,海外子公司之營收係以當月平均匯率換算之,0,-,-5.24,13.24,聯發科
2025-07,nanya,2408,受市場需求改善影響。,1,month,94.95,4.05,南亞科
2025-07,umc,2303,,0,-,-4.10,3.27,聯電
2025-07,alchip,3661,,0,-,-45.93,-23.15,世芯-KY
2025-07,guc,3443,,0,-,-23.09,0.31,創意
2025-08,tsm,2330,,0,-,33.84,37.09,台積電
2025-08,ase,3711,,0,-,6.68,7.77,日月光投控
2025-08,mtk,2454,海外子公司之營收係以當月平均匯率換算之,0,-,7.27,12.53,聯發科
2025-08,nanya,2408,受市場需求復甦影響。,1,month,141.32,19.45,南亞科
2025-08,umc,2303,,0,-,-7.20,1.86,聯電
2025-08,alchip,3661,,0,-,-49.69,-26.91,世芯-KY
2025-08,guc,3443,,0,-,42.31,5.04,創意
2025-09,tsm,2330,,0,-,31.41,36.39,台積電
2025-09,ase,3711,,0,-,8.96,7.92,日月光投控
2025-09,mtk,2454,海外子公司之營收係以當月平均匯率換算之,0,-,21.61,13.56,聯發科
2025-09,nanya,2408,受市場需求復甦影響。,1,month,157.81,32.43,南亞科
2025-09,umc,2303,,0,-,5.20,2.23,聯電
2025-09,alchip,3661,本月營收較去年同期減少，係因量產產品減少所致。,1,month,-68.42,-32.66,世芯-KY
2025-09,guc,3443,較去年同期增加主因為晶圓產品收入及委託設計(NRE)增加所致,1,month,104.86,14.30,創意
2025-10,tsm,2330,,0,-,16.94,33.77,台積電
2025-10,ase,3711,,0,-,6.74,7.79,日月光投控
2025-10,mtk,2454,海外子公司之營收係以當月平均匯率換算之,0,-,1.78,12.20,聯發科
2025-10,nanya,2408,受市場需求復甦影響。,1,month,262.37,49.30,南亞科
2025-10,umc,2303,,0,-,-0.36,1.94,聯電
2025-10,alchip,3661,本月營收較去年同期減少，係因量產產品減少所致。,1,month,-60.26,-35.40,世芯-KY
2025-10,guc,3443,晶圓產品(Wafer production)銷售增加,1,month,150.60,24.15,創意
2025-11,tsm,2330,,0,-,24.47,32.79,台積電
2025-11,ase,3711,,0,-,11.12,8.11,日月光投控
2025-11,mtk,2454,海外子公司之營收係以當月平均匯率換算之,0,-,3.65,11.41,聯發科
2025-11,nanya,2408,受市場需求復甦影響。,1,both,364.89,70.92,南亞科
2025-11,umc,2303,,0,-,5.91,2.31,聯電
2025-11,alchip,3661,本月營收較去年同期減少，係因量產產品減少所致。,1,month,-61.36,-37.80,世芯-KY
2025-11,guc,3443,主要為晶圓產品收入增加所致,1,month,114.22,31.56,創意
2025-12,tsm,2330,,0,-,20.43,31.61,台積電
2025-12,ase,3711,,0,-,11.27,8.39,日月光投控
2025-12,mtk,2454,海外子公司之營收係以當月平均匯率換算之,0,-,22.99,12.32,聯發科
2025-12,nanya,2408,受市場需求復甦影響。,1,both,444.87,95.09,南亞科
2025-12,umc,2303,,0,-,1.66,2.26,聯電
2025-12,alchip,3661,本月營收較去年同期減少，係因量產產品減少所致。,1,month,-69.33,-40.50,世芯-KY
2025-12,guc,3443,主要為晶圓產品(Wafer production)增加,1,month,75.68,36.32,創意
2026-01,tsm,2330,,0,-,36.81,36.81,台積電
2026-01,ase,3711,,0,-,21.33,21.33,日月光投控
2026-01,mtk,2454,海外子公司之營收係以當月平均匯率換算之,0,-,-8.15,-8.15,聯發科
