month,aum_eop_usdbn,aum_avg_usdbn
2008-12,131.5,127.0
2009-01,122.6,130.6
2009-02,107.8,120.6
2009-03,124.0,115.5
2009-04,146.5,138.4
2009-05,175.9,162.1
2009-06,171.3,173.8
2009-07,193.7,177.5
2009-08,199.2,197.6
2009-09,214.7,208.4
2009-10,215.9,222.0
2009-11,234.2,230.3
2009-12,243.1,238.8
2010-01,233.3,247.1
2010-02,233.5,232.1
2010-03,255.6,249.0
2010-04,263.4,264.0
2010-05,238.1,243.8
2010-06,236.9,242.0
2010-07,261.7,249.7
2010-08,258.7,264.3
2010-09,290.9,277.9
2010-10,312.0,306.2
2010-11,311.0,318.0
2010-12,333.6,326.5
2011-01,335.2,338.3
2011-02,338.9,337.4
2011-03,350.1,337.6
2011-04,370.7,360.3
2011-05,363.9,359.5
2011-06,360.5,350.6
2011-07,360.3,363.5
2011-08,323.3,319.6
2011-09,290.1,302.7
2011-10,321.9,302.4
2011-11,309.1,308.7
2011-12,301.6,303.3
2012-01,333.1,319.0
2012-02,356.1,348.6
2012-03,354.7,355.5
2012-04,350.4,349.1
2012-05,316.2,328.0
2012-06,327.4,317.5
2012-07,336.9,329.8
2012-08,344.3,345.2
2012-09,363.7,359.6
2012-10,368.4,368.0
2012-11,383.5,368.5
2012-12,402.3,392.5
2013-01,360.3,381.2
2013-02,361.2,361.1
2013-03,357.3,363.7
2013-04,340.8,346.2
2013-05,323.7,345.1
2013-06,269.7,279.2
2013-07,282.6,279.4
2013-08,276.1,283.7
2013-09,302.6,295.2
2013-10,324.3,314.4
2013-11,329.4,324.0
2013-12,332.9,326.0
2014-01,318.2,329.2
2014-02,335.5,325.3
2014-03,340.8,334.8
2014-04,353.8,348.1
2014-05,366.8,360.0
2014-06,378.7,374.4
2014-07,383.3,383.7
2014-08,393.8,384.7
2014-09,377.9,389.1
2014-10,376.7,366.1
2014-11,385.7,379.5
2014-12,373.3,375.3
2015-01,380.4,374.0
2015-02,407.3,394.0
2015-03,418.0,409.5
2015-04,446.8,438.3
2015-05,444.2,446.0
2015-06,435.4,442.0
2015-07,436.7,434.5
2015-08,404.4,423.8
2015-09,390.2,395.0
2015-10,427.6,417.0
2015-11,427.2,426.3
2015-12,433.4,426.4
2016-01,404.6,404.8
2016-02,397.5,393.8
2016-03,438.3,424.8
2016-04,447.6,442.2
2016-05,439.2,436.3
2016-06,439.7,437.8
2016-07,467.5,452.9
2016-08,473.2,473.2
2016-09,474.9,475.4
2016-10,470.1,471.0
2016-11,463.0,460.4
2016-12,481.4,477.0
2017-01,509.3,499.4
2017-02,531.3,523.7
2017-03,555.7,545.3
2017-04,575.7,563.3
2017-05,610.1,597.1
2017-06,624.3,621.4
2017-07,653.1,639.4
2017-08,660.1,653.8
2017-09,674.3,670.5
2017-10,701.2,692.3
2017-11,722.8,713.6
2017-12,744.3,730.2
2018-01,809.6,786.8
2018-02,777.2,776.1
2018-03,764.9,774.9
2018-04,779.4,775.5
2018-05,772.4,783.7
2018-06,744.7,769.3
2018-07,763.0,753.9
2018-08,761.1,756.2
2018-09,765.5,757.3
2018-10,708.5,726.3
2018-11,730.7,719.7
2018-12,695.6,705.9
2019-01,758.3,729.2
2019-02,790.5,771.9
2019-03,802.2,796.9
2019-04,828.5,821.2
2019-05,785.5,804.4
2019-06,819.3,807.6
2019-07,826.2,831.3
2019-08,786.1,790.9
2019-09,815.0,808.2
2019-10,848.2,824.0
2019-11,886.8,873.1
2019-12,934.4,910.0
2020-01,931.9,947.8
2020-02,862.3,943.6
2020-03,709.5,744.2
2020-04,770.6,737.0
2020-05,793.9,763.3
2020-06,825.4,828.2
2020-07,874.9,861.7
2020-08,928.1,906.6
2020-09,908.9,911.3
2020-10,896.8,931.3
2020-11,1035.0,993.5
2020-12,1103.6,1072.5
2021-01,1122.9,1137.4
2021-02,1159.7,1180.6
2021-03,1209.6,1192.4
