month,revenue_ntd_mn
2016-01,21326
2016-02,13242
2016-03,21337
2016-04,23022
2016-05,24636
2016-06,24870
2016-07,24819
2016-08,25870
2016-09,27714
2016-10,23805
2016-11,23516
2016-12,21354
2017-01,18314
2017-02,16951
2017-03,20818
2017-04,17748
2017-05,18437
2017-06,21894
2017-07,18969
2017-08,22496
2017-09,22186
2017-10,21012
2017-11,20739
2017-12,18652
2018-01,16835
2018-02,12708
2018-03,20110
2018-04,19015
2018-05,20406
2018-06,21060
2018-07,20424
2018-08,23502
2018-09,23104
2018-10,20836
2018-11,18669
2018-12,21387
2019-01,16242
2019-02,14161
2019-03,22319
2019-04,21553
2019-05,19121
2019-06,20893
2019-07,20688
2019-08,23043
2019-09,23494
2019-10,22003
2019-11,20616
2019-12,22089
2020-01,19818
2020-02,18221
2020-03,22824
2020-04,20546
2020-05,21778
2020-06,25279
2020-07,26692
2020-08,32716
2020-09,37866
2020-10,30439
2020-11,33538
2020-12,32429
2021-01,35333
2021-02,32553
2021-03,40147
2021-04,36572
2021-05,41326
2021-06,47756
2021-07,40360
2021-08,42808
2021-09,47906
2021-10,37412
2021-11,45039
2021-12,46202
2022-01,43502
2022-02,40029
2022-03,59180
2022-04,52625
2022-05,52076
2022-06,51029
2022-07,40890
2022-08,44700
2022-09,56571
2022-10,33384
2022-11,36125
2022-12,38685
2023-01,22383
2023-02,30310
2023-03,42958
2023-04,28350
2023-05,31567
2023-06,38219
2023-07,31763
2023-08,42256
2023-09,36078
2023-10,42811
2023-11,43071
2023-12,43680
2024-01,44496
2024-02,38482
2024-03,50480
2024-04,42028
2024-05,42151
2024-06,43092
2024-07,45610
2024-08,41528
2024-09,44676
2024-10,51117
2024-11,45242
2024-12,41683
2025-01,51144
2025-02,46172
2025-03,55996
2025-04,48754
2025-05,45181
2025-06,56434
2025-07,43220
2025-08,44547
2025-09,54330
2025-10,52026
2025-11,46896
2025-12,51266
2026-01,46977
2026-02,38954
2026-03,63219
2026-04,46737
2026-05,47434
2026-06,58012
2026-07,48475
