month,revenue_ntd_mn
2013-01,2551.193
2013-02,3062.645
2013-03,3631.933
2013-04,4801.389
2013-05,4601.130
2013-06,4432.463
2013-07,4139.045
2013-08,3513.149
2013-09,3804.586
2013-10,4401.784
2013-11,3845.626
2013-12,4168.898
2014-01,4165.035
2014-02,3754.520
2014-03,3771.957
2014-04,3687.352
2014-05,4155.060
2014-06,4074.011
2014-07,4392.528
2014-08,4457.165
2014-09,4240.880
2014-10,4154.888
2014-11,4093.420
2014-12,4159.574
2015-01,3983.798
2015-02,3965.430
2015-03,4078.715
2015-04,3913.630
2015-05,3797.674
2015-06,3444.472
2015-07,3528.150
2015-08,3596.388
2015-09,3212.782
2015-10,3414.112
2015-11,3373.228
2015-12,3560.928
2016-01,3757.519
2016-02,3339.604
2016-03,3300.432
2016-04,2975.131
2016-05,2896.748
2016-06,3061.215
2016-07,3251.880
2016-08,3455.658
2016-09,3496.357
2016-10,3821.452
2016-11,4011.853
2016-12,4263.045
2017-01,4067.460
2017-02,3969.931
2017-03,4193.183
2017-04,4317.144
2017-05,4115.025
2017-06,4193.333
2017-07,4296.911
2017-08,4352.252
2017-09,4644.199
2017-10,5072.100
2017-11,5744.613
2017-12,5966.623
2018-01,6147.637
2018-02,5927.141
2018-03,6722.661
2018-04,7680.634
2018-05,8326.045
2018-06,8585.538
2018-07,8162.217
2018-08,8233.012
2018-09,7979.357
2018-10,6725.607
2018-11,5402.984
2018-12,4828.971
2019-01,4258.227
2019-02,3394.786
2019-03,3718.792
2019-04,4110.913
2019-05,4244.222
2019-06,4085.655
2019-07,4575.989
2019-08,5222.016
2019-09,5001.349
2019-10,4522.071
2019-11,4262.907
2019-12,4330.531
2020-01,4500.238
2020-02,4563.039
2020-03,5355.593
2020-04,5619.678
2020-05,5549.926
2020-06,5319.753
2020-07,4906.905
2020-08,4870.327
2020-09,5546.635
2020-10,4798.034
2020-11,4898.221
2020-12,5077.165
2021-01,5532.161
2021-02,5790.836
2021-03,6407.616
2021-04,7394.273
2021-05,7604.264
2021-06,7638.931
2021-07,7950.469
2021-08,8209.899
2021-09,7676.760
2021-10,7205.480
2021-11,7256.877
2021-12,6936.592
2022-01,6772.211
2022-02,6433.273
2022-03,6740.841
2022-04,6598.295
2022-05,6197.459
2022-06,5234.918
2022-07,4396.393
2022-08,3419.118
2022-09,3206.214
2022-10,2782.167
2022-11,2771.137
2022-12,2400.249
2023-01,2251.364
2023-02,2026.426
2023-03,2147.093
2023-04,2260.020
2023-05,2309.037
2023-06,2458.014
2023-07,2437.193
2023-08,2574.894
2023-09,2724.287
2023-10,2668.030
2023-11,2874.000
2023-12,3161.948
2024-01,3060.645
2024-02,3050.934
2024-03,3391.358
2024-04,3206.471
2024-05,3351.375
2024-06,3363.197
2024-07,2745.416
2024-08,2802.250
2024-09,2584.927
2024-10,2182.240
2024-11,2187.326
2024-12,2205.531
2025-01,2162.373
2025-02,2272.734
2025-03,2752.833
2025-04,3118.820
2025-05,3333.121
2025-06,4074.153
2025-07,5352.227
2025-08,6762.501
2025-09,6664.140
2025-10,7907.729
2025-11,10168.737
2025-12,12017.152
2026-01,15309.988
2026-02,15607.184
2026-03,18169.760
2026-04,25491.201
2026-05,27669.563
2026-06,29388.309
2026-07,43867.609
