month,release_date,note_en,note_zh,n_points,explains,note_form,lead_en,lead_zh,mom_pct_said,yoy_pct_said,irid,url_en,url_zh
2024-08,2024-09-03,,,0,-,-,,,,,5967,https://www.nanya.com/en/IR/16/?IRId=5967,https://www.nanya.com/tw/IR/16/?IRId=5967
2024-09,2024-10-04,,,0,-,-,,,,,5971,https://www.nanya.com/en/IR/16/?IRId=5971,https://www.nanya.com/tw/IR/16/?IRId=5971
2024-10,2024-11-05,,,0,-,-,,,,,6978,https://www.nanya.com/en/IR/16/?IRId=6978,https://www.nanya.com/tw/IR/16/?IRId=6978
2024-11,2024-12-03,,,0,-,-,,,,,6982,https://www.nanya.com/en/IR/16/?IRId=6982,https://www.nanya.com/tw/IR/16/?IRId=6982
2024-12,2025-01-06,,,0,-,-,,,,,6990,https://www.nanya.com/en/IR/16/?IRId=6990,https://www.nanya.com/tw/IR/16/?IRId=6990
2025-01,2025-02-05,,,0,-,-,,,,,6993,https://www.nanya.com/en/IR/16/?IRId=6993,https://www.nanya.com/tw/IR/16/?IRId=6993
2025-02,2025-03-04,,,0,-,-,,,,,8006,https://www.nanya.com/en/IR/16/?IRId=8006,https://www.nanya.com/tw/IR/16/?IRId=8006
2025-03,2025-04-02,,,0,-,-,,,,,9009,https://www.nanya.com/en/IR/16/?IRId=9009,https://www.nanya.com/tw/IR/16/?IRId=9009
2025-04,2025-05-06,,,0,-,-,,,,,10014,https://www.nanya.com/en/IR/16/?IRId=10014,https://www.nanya.com/tw/IR/16/?IRId=10014
2025-05,2025-06-03,(affected by an adverse exchange rate impact of 6.43%),(匯率負面影響6.43%),0,mom,inline,,,6.87,,10026,https://www.nanya.com/en/IR/16/?IRId=10026,https://www.nanya.com/tw/IR/16/?IRId=10026
2025-06,2025-07-03,,,0,-,-,,,,,10030,https://www.nanya.com/en/IR/16/?IRId=10030,https://www.nanya.com/tw/IR/16/?IRId=10030
2025-07,2025-08-08,,,0,-,-,,,,,10036,https://www.nanya.com/en/IR/16/?IRId=10036,https://www.nanya.com/tw/IR/16/?IRId=10036
2025-08,2025-09-03,,,0,-,-,,,,,10038,https://www.nanya.com/en/IR/16/?IRId=10038,https://www.nanya.com/tw/IR/16/?IRId=10038
2025-09,2025-10-03,,,0,-,-,,,,,10045,https://www.nanya.com/en/IR/16/?IRId=10045,https://www.nanya.com/tw/IR/16/?IRId=10045
2025-10,2025-11-04,,,0,-,-,,,,,10050,https://www.nanya.com/en/IR/16/?IRId=10050,https://www.nanya.com/tw/IR/16/?IRId=10050
2025-11,2025-12-03,,,0,-,-,,,,,11057,https://www.nanya.com/en/IR/16/?IRId=11057,https://www.nanya.com/tw/IR/16/?IRId=11057
2025-12,2026-01-06,,,0,-,-,,,,,11064,https://www.nanya.com/en/IR/16/?IRId=11064,https://www.nanya.com/tw/IR/16/?IRId=11064
2026-01,2026-02-03,,,0,-,-,,,,,12074,https://www.nanya.com/en/IR/16/?IRId=12074,https://www.nanya.com/tw/IR/16/?IRId=12074
2026-02,2026-03-03,,,0,-,-,,,,,12078,https://www.nanya.com/en/IR/16/?IRId=12078,https://www.nanya.com/tw/IR/16/?IRId=12078
2026-03,2026-04-02,,,0,-,-,,,,,12101,https://www.nanya.com/en/IR/16/?IRId=12101,https://www.nanya.com/tw/IR/16/?IRId=12101
2026-04,2026-05-04,,,0,-,-,,,,,12113,https://www.nanya.com/en/IR/16/?IRId=12113,https://www.nanya.com/tw/IR/16/?IRId=12113
2026-05,2026-06-03,,,0,-,-,,,,,12135,https://www.nanya.com/en/IR/16/?IRId=12135,https://www.nanya.com/tw/IR/16/?IRId=12135
2026-06,2026-07-03,,,0,-,-,,,,,13148,https://www.nanya.com/en/IR/16/?IRId=13148,https://www.nanya.com/tw/IR/16/?IRId=13148
2026-07,2026-08-04,"July revenue increased 49.27% month over month, mainly due to: | 1. The transition from expired to new contracts. | 2. Expired contracts were fulfilled as scheduled, including annual, semi-annual and quarterly. | 3. New contracts became effective in July with terms and duration negotiated based on customer requests.",7月份自結合併營收較上月增加49.27%，主要是反應: | 1. 新舊合約交替 | 2. 舊合約 (含一年、半年及單季)已依約履行完畢 | 3. 新合約於7月起生效，合約長短依客戶需求議定,3,mom,points,"July revenue increased 49.27% month over month, mainly due to:",7月份自結合併營收較上月增加49.27%，主要是反應:,49.27,,13157,https://www.nanya.com/en/IR/16/?IRId=13157,https://www.nanya.com/tw/IR/16/?IRId=13157
