month,vol_us_options_mmcontracts,vol_nordic_derivs_mmcontracts,vol_us_cash_matched_mnsh,vol_nordic_cash_value_usdbn,vol_us_cash_consolidated_sh,vol_us_cash_matched_nasdaq_sh,vol_us_cash_matched_ntx_sh,vol_us_cash_matched_psx_sh,share_us_cash_matched_nasdaq,share_us_cash_matched_ntx,share_us_cash_matched_psx,share_us_cash_matched_group,trading_days_us_equities
2005-09,,,,,87725389691,22569146376,,,0.25727040319224065,,,,21
2005-10,,,,,96262230922,24592974849,,,0.25547896213757354,,,,21
2005-11,,,,,89341044838,23377203129,,,0.26166252220789815,,,,21
2005-12,,,,,84874355371,22467046993,,,0.26470948609615685,,,,21
2006-01,,,,,101337453783,27237553268,,,0.26878071484137955,,,,20
2006-02,,,,,88893934651,24066911238.5,,,0.2707373830732923,,,,19
2006-03,,,,,109593997529,29922210371,,,0.2730278212826591,,,,23
2006-04,,,,,93005347975,24785732538,,,0.26649792810476286,,,,19
2006-05,,,,,113960534166,30101935598,,,0.26414351089432575,,,,22
2006-06,,,,,112770881080,30084598440,,,0.26677630033463956,,,,22
2006-07,,,,,93846550174,25536401994,,,0.27210805241805053,,,,20
2006-08,,,,,98462162881,27505902655,,,0.27935505223710405,,,,23
2006-09,,,,,96303808065,27200374449,,,0.2824433944568545,,,,20
2006-10,,,,,109515596894,31099552005,,,0.28397372508594565,,,,22
2006-11,,,,,105137168693,27953237227,,,0.2658739775333242,,,,21
2006-12,,,,,91774852861,25504911120,,,0.27790740409716735,,,,20
2007-01,,,,,111479275983,30870658289,,,0.276918360087911,,,,20
2007-02,,,,,103198006679,28120776590,,,0.2724934084964488,,,,19
2007-03,,,,,125940048022,36211828636,,,0.287532275910156,,,,22
2007-04,,,,,108145659109,31090291850,,,0.2874853425107345,,,,20
2007-05,,,,,119818722256,34672219973,,,0.28937230609854686,,,,22
2007-06,,,,,125472886107,35950350172,,,0.286518875012905,,,,21
2007-07,,,,,133940340438,38927701468,,,0.29063463136424794,,,,21
2007-08,,,,,170622897863,51822473372,,,0.3037251976203707,,,,23
2007-09,,,,,107610668518,30904736825,,,0.2871902688703265,,,,19
2007-10,,,,,141720954832,41984486483,,,0.2962475558591148,,,,23
2007-11,,,,,156435663402,47465455958,,,0.30341838252077985,,,,21
2007-12,,,,,116905258852,33958165269,,,0.2904759426775697,,,,20
2008-01,,,,,186366673222,58867574053,,,0.31586964039904786,,,,21
2008-02,,,,,144566469760,44377477351,,,0.30696936450528706,,,,20
2008-03,,,,,164977418101,50470890759,,,0.3059260554562775,,,,20
2008-04,,,,,148488166424,43312091177,,,0.2916871574353248,,,,22
2008-05,,,,,142596825322,41640892883,,,0.2920183727019875,,,,21
2008-06,,,,,169253739379,51440908751,,,0.30392775332314154,,,,21
2008-07,,,,,211915191889,64158782164,,,0.3027568792595389,,,,22
2008-08,,,,,155228417902,45093693278,,,0.2904989555873004,,,,21
2008-09,,,,,238229424029,69901412310,,,0.2934205654692378,,,,21
2008-10,,,,,280766483773,85494629193,,,0.30450439826045084,,,,23
2008-11,,,,,201462355224,59456680661,,,0.29512551163661266,,,,19
2008-12,,,,,189999895442,51637852321,,,0.27177831967156607,,,,22
2009-01,,,,,188327714624,51052560811,54524323,,0.27108363159892557,0.0002895183170934713,,,20
2009-02,,,,,207781091485,53483710173,222466952,,0.25740412561487125,0.0010706794848849863,,,19
2009-03,,,,,270673370986,61027103788,885430302,,0.2254640106106208,0.003271213192397109,,,22
2009-04,,,,,235620602949,49109399432,1825768580,,0.20842574383289272,0.007748764569604242,,,21
2009-05,,,,,225347149991,44716535418,2103577010,,0.19843399581395152,0.009334828552675343,,,20
2009-06,,,,,212162780805,41905719926,2764881109,,0.19751683008206694,0.013031885698845632,,,22
2009-07,,,,,195179580281,39298447663,4019554401,,0.20134507721771935,0.02059413384951975,,,22
2009-08,,,,,199337002388,37069674473,5247070503,,0.18596484360111748,0.026322611658355467,,,21
2009-09,,,,,201531733890,39112239249,6638968943,,0.19407484118778154,0.032942548624246344,,,21
2009-10,,,,,204696060325,43253361492,7506662195,,0.2113052953892995,0.03667223581675936,,,22
2009-11,,,,,157751738501,34043907355,5139472167,,0.2158068600605894,0.03257949621244536,,,20
2009-12,,,,,163147110453,30749643885,5397954780,,0.18847801716879606,0.03308642589508235,,,22
2010-01,,,,,173538788054,35157901444,5714694279,,0.20259390905196323,0.032930357201882504,,,19
2010-02,,,,,162361241993,33663950604,6238500572,,0.20733981947151758,0.03842358247215776,,,19
2010-03,,,,,190976325884,36751723141,8632631650,,0.19244125140056986,0.04520262713213734,,,23
