quarter,q_us_options_mmcontracts,q_share_us_options_matched,q_capture_us_options_usd,q_nordic_derivs_mmcontracts,q_capture_nordic_derivs_usd,q_us_cash_matched_mnsh,q_share_us_cash_matched_of_total,q_share_us_onexch_of_total,q_share_us_cash_matched_of_onexch,q_capture_us_cash_usd_per1ksh,q_nordic_cash_value_usdbn,q_share_nordic_cash,q_capture_nordic_cash_usd_per1kusd,q_etp_aum_eop_usdbn,q_etp_aum_avg_usdbn,q_index_linked_derivs_mmcontracts,q_listed_cos_us,q_listed_cos_nordic,q_listed_cos_total,q_listed_etps_us,q_listings_total
2023Q1,811,0.308,0.13,22.1,0.41,121803,0.167,0.559,0.298,0.64,231,0.694,0.11,366,341,117.5,3624,1250,4874,539,5413
2023Q2,746,0.306,0.12,18.2,0.39,113729,0.171,0.564,0.302,0.69,198,0.717,0.12,418,381,103.8,3559,1249,4808,547,5355
2023Q3,790,0.317,0.12,16.1,0.43,106680,0.162,0.551,0.294,0.67,168,0.72,0.13,411,423,117.2,3516,1236,4752,570,5322
2023Q4,781,0.308,0.12,17,0.46,113343,0.161,0.566,0.284,0.66,200,0.729,0.12,473,436,118.2,3444,1218,4662,600,5262
2024Q1,773,0.292,0.12,15.2,0.5,116708,0.163,0.561,0.29,0.64,213,0.725,0.12,519,492,123.9,3401,1203,4604,619,5223
2024Q2,776,0.293,0.12,15.1,0.48,119264,0.161,0.542,0.297,0.72,206,0.741,0.12,569,531,129.6,3359,1198,4557,645,5202
2024Q3,858,0.302,0.13,14.1,0.47,118179,0.161,0.527,0.304,0.69,196,0.723,0.13,600,575,145.4,3327,1186,4513,712,5225
2024Q4,921,0.303,0.12,14.2,0.57,125234,0.144,0.497,0.29,0.7,198,0.716,0.13,647,632,120.5,3307,1174,4481,768,5249
2025Q1,935,0.291,0.11,15.9,0.55,137550,0.146,0.496,0.294,0.67,234,0.705,0.12,622,662,158.2,3306,1160,4466,833,5299
2025Q2,957,0.294,0.12,15.6,0.55,158240,0.139,0.498,0.278,0.66,243,0.719,0.12,745,663,149.8,3324,1148,4472,914,5386
2025Q3,1018,0.285,0.12,15.2,0.54,158574,0.141,0.488,0.289,0.62,215,0.728,0.13,829,777,123.2,3359,1133,4492,1000,5492
2025Q4,1154,0.295,0.1,16.1,0.62,171373,0.144,0.491,0.293,0.61,231,0.739,0.13,882,860,161.4,3368,1119,4487,1112,5599
2026Q1,1150,0.301,0.1,17.6,0.62,183714,0.151,0.52,0.29,0.56,312,0.743,0.11,836,877,171.5,3390,1107,4497,1180,5677
2026Q2,1200,0.291,0.1,13.3,0.67,184500,0.147,0.512,0.288,0.69,277,0.745,0.12,1114,1014,198.7,3416,1109,4525,1243,5768
