month,core_nna_usdbn,total_client_assets_usdbn,new_brokerage_accounts_k,dats_k,margin_balances_usdbn,client_cash_pct,sweep_cash_usdbn,mmf_usdbn
2013-09,,2145.0,70,,,,,
2013-10,,2177.2,81,,,,,
2013-11,,2217.1,76,,,,,
2013-12,,2249.4,93,,,,,
2014-01,,2217.4,90,,,,,
2014-02,,2294.3,78,,,,,
2014-03,,2308.0,90,,,,,
2014-04,,2312.9,95,,,,,
2014-05,,2354.2,71,,,,,
2014-06,,2401.9,76,,,11.9,,
2014-07,,2382.7,78,,,12.1,,
2014-08,,2448.3,75,,,11.9,,
2014-09,,2403.7,76,,,12.2,,
2014-10,,2440.6,76,,,12.1,,
2014-11,,2478.8,70,,,11.9,,
2014-12,,2463.6,97,,,12.3,,
2015-01,,2445.0,84,,,12.3,,
2015-02,,2531.1,80,,,11.9,,
2015-03,,2524.4,110,,,12.0,,
2015-04,,2549.3,111,,,11.5,,
2015-05,,2568.8,80,,,11.6,,
2015-06,,2543.3,89,,,11.7,,
2015-07,,2562.5,87,,,11.8,,
2015-08,,2462.4,87,,,12.6,,
2015-09,,2415.9,80,,,12.9,,
2015-10,,2539.9,88,,,12.3,,
2015-11,,2553.3,76,,,12.3,,
2015-12,,2513.8,98,,,13.0,,
2016-01,,2428.3,83,,,13.7,,
2016-02,,2433.6,84,,,13.7,,
2016-03,,2556.7,98,,,13.1,,
2016-04,,2576.2,103,,,12.8,,
2016-05,,2607.2,81,,,12.7,,
2016-06,,2622.0,87,,,12.6,,
2016-07,,2698.2,84,,,12.5,,
2016-08,,2710.4,96,,,12.5,,
2016-09,,2725.3,84,,,12.5,,
2016-10,,2686.7,84,,,12.8,,
2016-11,,2734.6,93,,,12.8,,
2016-12,,2779.5,116,,,13.0,,
2017-01,,2831.3,111,,,12.7,,
2017-02,6.6,2895.2,113,,,12.4,,
2017-03,21.2,2922.5,138,,,12.4,,
2017-04,2.8,2948.8,125,,,12.1,,
2017-05,21.3,2995.8,115,,,11.8,,
2017-06,22.1,3040.6,117,,,11.5,,
2017-07,15.8,3099.9,107,,,11.3,,
2017-08,18.0,3122.3,123,,,11.4,,
2017-09,17.8,3181.2,106,,,11.1,,
2017-10,19.2,3256.5,117,,,10.9,,
2017-11,15.7,3318.8,122,,,10.8,,
2017-12,27.0,3361.8,147,,,10.8,,
2018-01,18.7,3480.5,165,,,10.4,,
2018-02,21.3,3328.8,138,,,10.9,,
2018-03,25.6,3305.4,140,,,11.0,,
2018-04,9.9,3312.1,141,,,10.9,,
2018-05,19.4,3378.1,122,,,10.6,,
2018-06,24.1,3397.0,121,,,10.7,,
2018-07,16.3,3477.9,118,,,10.5,,
2018-08,20.8,3555.9,132,,,10.4,,
2018-09,16.4,3563.7,119,,,10.3,,
2018-10,14.9,3388.1,133,,,11.1,,
2018-11,15.6,3431.9,115,,,11.2,,
2018-12,24.8,3252.2,132,,,12.8,,
2019-01,15.1,3447.7,131,,,11.7,,
2019-02,18.3,3533.0,115,,,11.5,,
2019-03,18.3,3585.4,140,,,11.3,,
2019-04,-0.3,3668.5,147,,,10.9,,
2019-05,17.3,3530.6,123,,,11.3,,
2019-06,20.2,3702.4,116,,,10.9,,
2019-07,19.3,3746.7,129,,,11.0,,
2019-08,19.9,3716.5,126,,,11.3,,
2019-09,17.4,3768.4,108,,,11.4,,
2019-10,24.1,3854.6,142,,,11.3,,
2019-11,12.0,3942.2,127,,,11.3,,
2019-12,30.1,4038.8,164,,,11.3,,
2020-01,20.9,4051.6,167,,,11.3,,
2020-02,24.4,3862.8,159,,,12.0,,
2020-03,27.9,3496.9,283,,,15.1,,
2020-04,15.3,3778.3,201,,,14.3,,
2020-05,17.6,4009.0,1250,,,14.0,,
2020-06,13.7,4110.1,201,,,13.6,,
2020-07,2.7,4278.0,206,,,13.0,,
2020-08,20.0,4489.7,202,,,12.5,,
2020-09,20.0,4395.3,184,,,12.8,,
2020-10,25.6,5878.5,14718,,,13.4,,
2020-11,32.1,6421.0,430,,,12.4,,
2020-12,61.7,6691.7,626,,,12.3,,
2021-01,34.2,6759.6,1095,,,12.2,,
2021-02,51.4,6900.5,1211,,,11.8,,
2021-03,62.6,7069.1,847,,,11.5,,
2021-04,37.2,7336.1,609,,,10.9,,
2021-05,28.1,7395.7,549,,,10.8,,
2021-06,43.5,7574.8,499,,,10.5,,
2021-07,44.3,7642.7,402,,,10.4,,
2021-08,51.8,7838.2,402,,,10.3,,
2021-09,42.9,7614.0,374,,,10.8,,
2021-10,36.8,7982.3,397,,,10.4,,
2021-11,45.1,7918.3,448,,,10.5,,
2021-12,80.3,8138.0,473,,,10.9,,
2022-01,33.6,7803.8,426,,,11.3,,
2022-02,40.6,7686.6,356,,,11.5,,
2022-03,46.3,7862.1,420,,,11.4,,
2022-04,-9.2,7284.4,386,,,11.9,,
2022-05,32.8,7301.7,323,,,12.0,,
2022-06,40.6,6832.5,305,,,12.8,,
2022-07,31.5,7304.8,278,,,12.0,,
2022-08,43.3,7127.6,332,,,12.1,,
2022-09,39.8,6644.2,287,,,12.9,,
2022-10,42.0,7004.6,298,,,12.2,,
2022-11,33.1,7320.6,303,,,11.5,,
2022-12,53.3,7049.8,330,,,12.3,,
2023-01,36.1,7480.6,344,,,11.6,,
2023-02,41.7,7380.2,320,,,11.7,,
2023-03,53.9,7580.0,378,,,11.6,,
2023-04,-2.3,7631.5,331,,,11.3,,
2023-05,20.7,7650.2,314,,,11.5,,
2023-06,33.8,8015.8,315,,,10.5,,
2023-07,13.7,8241.0,303,,,10.2,,
2023-08,4.9,8094.7,311,,,10.4,,
2023-09,27.1,7824.5,280,,,10.8,,
2023-10,11.3,7653.4,284,,,11.2,,
2023-11,21.7,8180.6,286,,,10.7,,
2023-12,43.1,8516.6,340,,,10.5,,
2024-01,17.2,8558.1,366,,,10.5,,
2024-02,33.4,8879.5,345,,,10.2,,
2024-03,45.0,9118.4,383,,,10.0,,
2024-04,1.0,8847.5,361,,,10.2,,
2024-05,31.1,9206.3,314,,,9.9,,
2024-06,29.1,9407.5,310,,,9.7,,
2024-07,29.0,9572.1,327,,,9.6,,
2024-08,32.8,9737.7,324,,,9.5,,
2024-09,33.5,9920.5,321,,,9.5,,
2024-10,24.6,9852.0,331,,,9.8,,
2024-11,28.8,10305.4,357,,,9.5,,
2024-12,61.4,10101.3,431,,,10.1,,
2025-01,30.6,10333.1,433,7365,82.9,9.8,399.6,610.9
2025-02,48.0,10280.2,362,7446,86.5,10.0,404.3,625.4
