month,avg_margin_balances_usdbn
2020-04,17.2
2020-05,17.8
2020-06,18.7
2020-07,19.8
2020-08,21.2
2020-09,22.8
2020-10,48.1
2020-11,53.9
2020-12,59.1
2021-01,63.0
2021-02,69.1
2021-03,71.3
2021-04,72.9
2021-05,75.9
2021-06,78.4
2021-07,79.9
2021-08,81.0
2021-09,81.7
2021-10,83.8
2021-11,87.3
2021-12,88.3
2022-01,86.7
2022-02,84.4
2022-03,81.5
2022-04,83.8
2022-05,78.8
2022-06,74.6
2022-07,72.2
2022-08,72.9
2022-09,73.2
2022-10,69.2
2022-11,66.0
2022-12,64.8
2023-01,60.2
2023-02,60.6
2023-03,60.8
2023-04,60.3
2023-05,60.2
2023-06,61.5
2023-07,63.0
2023-08,64.2
2023-09,64.0
2023-10,63.9
2023-11,61.5
2023-12,62.3
2024-01,61.4
2024-02,63.6
2024-03,66.4
2024-04,68.8
2024-05,67.6
2024-06,69.7
2024-07,73.2
2024-08,73.3
2024-09,72.8
2024-10,74.1
2024-11,76.9
2024-12,81.5
2025-01,82.6
2025-02,84.2
2025-03,82.7
2025-04,77.5
2025-05,79.1
2025-06,82.3
2025-07,85.5
2025-08,90.4
2025-09,94.6
2025-10,101.2
2025-11,108.9
2025-12,112.0
