quarter,q_dats_k,q_margin_eop_usdbn
2016Q1,616,14.5
2016Q2,518,15.4
2016Q3,543,14.9
2016Q4,573,15.3
2017Q1,585,15.3
2017Q2,589,16.5
2017Q3,633,16.9
2017Q4,628,18.3
2018Q1,812,19.4
2018Q2,704,20.4
2018Q3,683,20.8
2018Q4,867,19.3
2019Q1,777,18.8
2019Q2,716,19.7
2019Q3,718,19.4
2019Q4,785,19.5
2020Q1,1540,17.2
2020Q2,1619,19.4
2020Q3,1460,23.6
2020Q4,5796,60.9
2021Q1,8414,72.2
2021Q2,6042,79.8
2021Q3,5549,83.8
2021Q4,6102,87.4
2022Q1,6578,81
2022Q2,6227,73.4
2022Q3,5523,71.5
2022Q4,5389,63.1
2023Q1,5895,60.5
2023Q2,5272,62.8
2023Q3,5218,65.1
2023Q4,5192,62.6
2024Q1,5958,68.1
2024Q2,5486,71.7
2024Q3,5697,73
2024Q4,6312,83.8
2025Q1,7391,83.6
2025Q2,7571,83.4
2025Q3,7421,97.2
2025Q4,8274,112.3
2026Q1,9899,126.7
2026Q2,11920,165.1
