month,sec_trading_days,sec_turnover_mnshares,sec_turnover_sgdmn,sdav_sgdmn,listed_securities,mktcap_sgdmn,turnover_velocity_pct,deriv_vol_contracts,ddav_contracts,deriv_futures_vol_contracts,deriv_options_vol_contracts,deriv_swaps_vol_contracts,deriv_oi_contracts,vol_equity_index_futures_contracts,vol_a50_futures_contracts,vol_nikkei225_futures_contracts,vol_nifty50_futures_contracts,vol_msci_singapore_futures_contracts,vol_msci_taiwan_futures_contracts,vol_ftse_taiwan_futures_contracts,vol_fx_futures_contracts,vol_usdcnh_futures_contracts,vol_inrusd_futures_contracts,vol_rates_futures_contracts,vol_iron_ore_contracts,vol_commodities_contracts,vol_crypto_contracts,ipos_count,delistings_count,ipo_funds_sgdmn,new_bond_listings,bond_funds_sgdmn
2015-01,21,34472,25270,1203,774,1021698,,14675277,739336,13839893,795785,39599,3151836,13098269,7157414,2248631,1991291,316959,1360848,,239261,6548,206383,54960,523520,586996,,0,1,0,26,15593
2015-02,18,22561,21092,1172,771,1022746,,9721876,590369,9008845,687013,26018,3307081,8467209,3817693,1551699,1793026,272996,1003489,,207618,4339,187405,34493,318653,396295,,0,3,0,29,8723
2015-03,22,31734,25028,1138,767,1034764,,14815641,678126,14177442,597037,41162,3341235,13333067,6951605,2698324,1907201,330945,1414296,,252435,12200,216215,100177,532541,596902,,0,4,25,56,22196
2015-04,21,49657,26549,1264,770,1048878,,16100996,781782,15414814,646369,39813,3571524,14632533,9020601,1787996,1823195,326380,1626318,,234398,6011,220367,33276,563719,646290,,3,0,45,39,11075
2015-05,20,35428,22986,1149,768,1045133,,15398198,780061,14857944,509622,30632,3619718,14078049,9017989,1438895,1829851,286101,1418609,,267438,6213,253296,50150,497611,581476,,0,2,0,38,14568
2015-06,21,31974,24731,1178,768,1010123,,21731074,1021885,21121828,574232,35014,3258390,20203470,13973554,2654495,1803160,278112,1415765,,303437,8780,286959,101963,585918,677273,,1,1,11,37,12247
2015-07,22,41768,24187,1099,770,969462,,21470762,942137,20873219,566473,31070,3351392,19735719,14149600,1970255,1725713,325336,1498910,,352512,20334,327557,31895,880109,968117,,3,1,47,50,23640
2015-08,19,35455,28125,1480,771,898945,,16997254,813947,16443089,519448,34717,3469048,15290542,8425481,2775000,2000974,372378,1643783,,515567,40066,469633,34123,654181,743976,,2,1,40,23,7398
2015-09,20,27819,22508,1125,772,876107,,14077377,708178,13502591,531601,43185,3299176,12122358,5834632,2770659,1835015,315764,1280770,,465665,34951,424883,104660,883596,964770,,1,0,17,24,10546
2015-10,22,36690,23078,1049,769,930559,,11344276,594470,10778661,531030,34585,3482763,9662666,4599307,1811437,1607079,331470,1214683,,475887,20793,449792,26261,686456,772829,,0,3,0,22,13275
2015-11,20,26930,19396,970,771,902425,,13595698,675086,12962685,602221,30792,3642605,11680839,6524892,1562084,1517035,564174,1418354,,463449,35128,423600,31820,885264,988334,,3,1,135,31,13958
2015-12,22,23037,17024,774,769,904770,,14362547,644639,13517317,811785,33445,3350292,12241456,6373016,2273483,1601435,487299,1423704,,425188,51702,366372,99388,988532,1071178,,1,3,276,20,9281
