ticker,month,source_date,evidence
asx,2017-10,2017-11-03,"asx_mar_2017-10.pdf 第 1 页抬头 ""3 November 2017"""
asx,2017-11,2017-12-05,"asx_mar_2017-11.pdf 第 1 页抬头 ""5 December 2017"""
asx,2017-12,2018-01-04,"asx_mar_2017-12.pdf 第 1 页抬头 ""4 January 2018"""
asx,2018-01,2018-02-05,"asx_mar_2018-01.pdf 第 1 页抬头 ""5 February 2018"""
asx,2018-02,2018-03-05,"asx_mar_2018-02.pdf 第 1 页抬头 ""5 March 2018"""
asx,2018-03,2018-04-05,"asx_mar_2018-03.pdf 第 1 页抬头 ""5 April 2018"""
asx,2018-04,2018-05-03,"asx_mar_2018-04.pdf 第 1 页抬头 ""3 May 2018"""
asx,2018-05,2018-06-06,"asx_mar_2018-05.pdf 第 1 页抬头 ""6 June 2018"""
asx,2018-06,2018-07-05,"asx_mar_2018-06.pdf 第 1 页抬头 ""5 July 2018"""
asx,2018-07,2018-08-03,"asx_mar_2018-07.pdf 第 1 页抬头 ""3 August 2018"""
asx,2018-08,2018-09-05,"asx_mar_2018-08.pdf 第 1 页抬头 ""5 September 2018"""
asx,2018-09,2018-10-04,"asx_mar_2018-09.pdf 第 1 页抬头 ""4 October 2018"""
asx,2018-10,2018-11-05,"asx_mar_2018-10.pdf 第 1 页抬头 ""5 November 2018"""
asx,2018-11,2018-12-05,"asx_mar_2018-11.pdf 第 1 页抬头 ""5 December 2018"""
asx,2018-12,2019-01-04,"asx_mar_2018-12.pdf 第 1 页抬头 ""4 January 2019"""
asx,2019-01,2019-02-06,"asx_mar_2019-01.pdf 第 1 页抬头 ""6 February 2019"""
asx,2019-02,2019-03-05,"asx_mar_2019-02.pdf 第 1 页抬头 ""5 March 2019"""
asx,2019-03,2019-04-03,"asx_mar_2019-03.pdf 第 1 页抬头 ""3 April 2019"""
asx,2019-04,2019-05-03,"asx_mar_2019-04.pdf 第 1 页抬头 ""3 May 2019"""
asx,2019-05,2019-06-05,"asx_mar_2019-05.pdf 第 1 页抬头 ""5 June 2019"""
asx,2019-06,2019-07-04,"asx_mar_2019-06.pdf 第 1 页抬头 ""4 July 2019"""
asx,2019-07,2019-08-06,"asx_mar_2019-07.pdf 第 1 页抬头 ""6 August 2019"""
asx,2019-08,2019-09-05,"asx_mar_2019-08.pdf 第 1 页抬头 ""5 September 2019"""
asx,2019-09,2019-10-03,"asx_mar_2019-09.pdf 第 1 页抬头 ""3 October 2019"""
asx,2019-10,2019-11-06,"asx_mar_2019-10.pdf 第 1 页抬头 ""6 November 2019"""
asx,2019-11,2019-12-05,"asx_mar_2019-11.pdf 第 1 页抬头 ""5 December 2019"""
asx,2019-12,2020-01-07,"asx_mar_2019-12.pdf 第 1 页抬头 ""7 January 2020"""
asx,2020-01,2020-02-06,"asx_mar_2020-01.pdf 第 1 页抬头 ""6 February 2020"""
asx,2020-02,2020-03-05,"asx_mar_2020-02.pdf 第 1 页抬头 ""5 March 2020"""
asx,2020-03,2020-04-06,"asx_mar_2020-03.pdf 第 1 页抬头 ""6 April 2020"""
asx,2020-04,2020-05-06,"asx_mar_2020-04.pdf 第 1 页抬头 ""6 May 2020"""
asx,2020-05,2020-06-04,"asx_mar_2020-05.pdf 第 1 页抬头 ""4 June 2020"""
asx,2020-06,2020-07-06,"asx_mar_2020-06.pdf 第 1 页抬头 ""6 July 2020"""
asx,2020-07,2020-08-06,"asx_mar_2020-07.pdf 第 1 页抬头 ""6 August 2020"""
asx,2020-08,2020-09-04,"asx_mar_2020-08.pdf 第 1 页抬头 ""4 September 2020"""
asx,2020-09,2020-10-07,"asx_mar_2020-09.pdf 第 1 页抬头 ""7 October 2020"""
asx,2020-10,2020-11-05,"asx_mar_2020-10.pdf 第 1 页抬头 ""5 November 2020"""
asx,2020-11,2020-12-04,"asx_mar_2020-11.pdf 第 1 页抬头 ""4 December 2020"""
asx,2020-12,2021-01-07,"asx_mar_2020-12.pdf 第 1 页抬头 ""7 January 2021"""
asx,2021-01,2021-02-04,"asx_mar_2021-01.pdf 第 1 页抬头 ""4 February 2021"""
asx,2021-02,2021-03-04,"asx_mar_2021-02.pdf 第 1 页抬头 ""4 March 2021"""
asx,2021-03,2021-04-08,"asx_mar_2021-03.pdf 第 1 页抬头 ""8 April 2021"""
asx,2021-04,2021-05-06,"asx_mar_2021-04.pdf 第 1 页抬头 ""6 May 2021"""
asx,2021-05,2021-06-04,"asx_mar_2021-05.pdf 第 1 页抬头 ""4 June 2021"""
asx,2021-06,2021-07-06,"asx_mar_2021-06.pdf 第 1 页抬头 ""6 July 2021"""
asx,2021-07,2021-08-05,"asx_mar_2021-07.pdf 第 1 页抬头 ""5 August 2021"""
asx,2021-08,2021-09-06,"asx_mar_2021-08.pdf 第 1 页抬头 ""6 September 2021"""
asx,2021-09,2021-10-07,"asx_mar_2021-09.pdf 第 1 页抬头 ""7 October 2021"""
asx,2021-10,2021-11-04,"asx_mar_2021-10.pdf 第 1 页抬头 ""4 November 2021"""
asx,2021-11,2021-12-06,"asx_mar_2021-11.pdf 第 1 页抬头 ""6 December 2021"""
asx,2021-12,2022-01-07,"asx_mar_2021-12.pdf 第 1 页抬头 ""7 January 2022"""
asx,2022-01,2022-02-04,"asx_mar_2022-01.pdf 第 1 页抬头 ""4 February 2022"""
asx,2022-02,2022-03-04,"asx_mar_2022-02.pdf 第 1 页抬头 ""4 March 2022"""
asx,2022-03,2022-04-06,"asx_mar_2022-03.pdf 第 1 页抬头 ""06 April 2022"""
asx,2022-04,2022-05-05,"asx_mar_2022-04.pdf 第 1 页抬头 ""5 May 2022"""
asx,2022-05,2022-06-06,"asx_mar_2022-05.pdf 第 1 页抬头 ""6 June 2022"""
asx,2022-06,2022-07-06,"asx_mar_2022-06.pdf 第 1 页抬头 ""6 July 2022"""
asx,2022-07,2022-08-04,"asx_mar_2022-07.pdf 第 1 页抬头 ""04 August 2022"""
