month,billed_issuance_yoy_pct,spdji_adv_mn_contracts,spdji_adv_yoy_pct
2023-01,-9.355,7.946,-3.1
2023-02,-4.9,8.361,9.6
2023-03,-6.1,9.613,36.7
2023-04,-16.8,7.283,9.2
2023-05,23.8,7.808,-5.8
2023-06,12.1,8.634,4.5
2023-07,1,7.021,-0.1
2023-08,21,8.23,18.3
2023-09,35,8.885,-11.1
2023-10,47,10.101,7.1
2023-11,26,8.072,0.9
2023-12,-9,8.492,4.6
2024-01,66,8.454,6.4
2024-02,66,8.422,0.7
2024-03,28,8.855,-7.8
2024-04,75,9.451,29.8
2024-05,45,7.574,-3
2024-06,50,8.481,-1.8
2024-07,124,8.782,25.0821917364789
2024-08,51,9.296,12.9
2024-09,69,9.202,3.6
2024-10,76,7.84270095652174,-22.4
2024-11,11,8.23555225,2.023302138247
2024-12,56,8.303,-2.22562411681583
2025-01,-3,9.016,6.6
2025-02,6,9.031,7.2
2025-03,22,11.423,29
2025-04,-19,11.212,18.6
2025-05,-8,8.402,10.9
2025-06,13,8.855,4.4
2025-07,11,7.794,-11.3
2025-08,23,8.687,-6.5
2025-09,9,9.576,4.1
2025-10,36,10.051,28.2
2025-11,30,11.0839763684211,34.6
2025-12,14,9.184,10.6
2026-01,3,9.61910721,6.68929913487135
2026-02,22,10.848,20.1
2026-03,13,13.269,16.2
2026-04,43,10.856,-3.2
2026-05,15,10.344,23.1
2026-06,23,11.515,30
2026-07,8,9.791,25.6
