month,tmx_all_volume_shares,tmx_all_value_cad,tmx_all_transactions,tsx_volume_shares,tsx_value_cad,tsx_transactions,tsx_composite_close,tsxv_volume_shares,tsxv_value_cad,tsxv_transactions,tsxv_composite_close,alpha_volume_shares,alpha_value_cad,alpha_transactions,alphax_drk_volume_shares,alphax_drk_value_cad,alphax_drk_transactions,mx_volume_contracts,mx_adv_contracts,mx_oi_contracts,mx_adv_futures_contracts,mx_adv_options_contracts,mx_adv_stir_futures_contracts,mx_adv_bax_contracts,mx_adv_cra_contracts,mx_adv_bond_futures_contracts,mx_adv_cgb_contracts,mx_adv_cgf_contracts,mx_adv_cgz_contracts,mx_adv_index_futures_contracts,mx_adv_sxf_contracts,mx_adv_index_options_contracts,mx_adv_equity_options_contracts,mx_adv_etf_options_contracts,mx_adv_share_futures_contracts,mx_oi_bax_contracts,mx_oi_cra_contracts,mx_oi_stir_futures_contracts,mx_oi_bond_futures_contracts,mx_oi_cgb_contracts,mx_oi_sxf_contracts,mx_oi_equity_options_contracts,mx_oi_etf_options_contracts,trading_days_rates,trading_days_equity
2002-01,,,,,,,,,,,,,,,,,,1244319,56560,939317,24983,31577,17436,17412,0,4609,4609,0,0,2938,2938,234,30877,342,0,176813,0,177318,61646,61646,55797,621981,10335,22,22
2002-02,,,,,,,,,,,,,,,,,,1104187,51473,1100683,29890,21583,16290,16279,0,9475,9475,0,0,4125,4125,205,20677,681,0,175128,0,175603,70834,70834,75886,673362,19075,20,20
2002-03,,,,,,,,,,,,,,,,,,1376789,63067,1095762,39423,23644,25050,25025,0,6274,6274,0,0,8099,8099,238,22477,541,0,163497,0,163916,56355,56355,65950,694795,18168,20,20
2002-04,,,,,,,,,,,,,,,,,,1170971,52881,1096287,25727,27154,17386,17373,0,5258,5258,0,0,3083,3008,166,26356,393,0,163746,0,164213,59445,59445,68428,678570,19030,22,22
2002-05,,,,,,,,,,,,,,,,,,1233860,56085,1189962,33605,22480,20137,20123,0,11078,11078,0,0,2390,2379,108,20914,336,0,185354,0,185774,73345,73345,68580,735053,20446,22,22
2002-06,,,,,,,,,,,,,,,,,,1154427,57820,1127097,35338,22482,19442,19204,0,5798,5798,0,0,10098,10009,209,20852,1113,0,167102,0,169666,70207,70207,67949,689766,23637,20,20
2002-07,,,,,,,,,,,,,,,,,,1323761,55878,1144672,31286,24592,22174,22106,0,5229,5229,0,0,3883,3875,322,22918,959,0,188564,0,190854,70932,70932,65384,675183,24954,22,22
2002-08,,,,,,,,,,,,,,,,,,1427282,57252,1148854,32423,24829,18616,18548,0,10665,10665,0,0,3142,3142,195,22492,1251,0,180204,0,183199,78196,78196,69932,541058,33498,21,21
2002-09,,,,,,,,,,,,,,,,,,1449368,66168,1344700,39345,26823,20923,20856,0,6040,6040,0,0,12382,12244,197,23677,1915,0,162721,0,164612,80184,80184,74718,759351,41429,20,20
2002-10,,,,,,,,,,,,,,,,,,1476236,66228,1329511,32375,33853,20803,20755,0,6535,6535,0,0,5037,5036,124,30721,2032,0,163729,0,164778,62549,62549,76148,734484,45510,22,22
