month,revenue_ntd_mn,yoy_pct
2016-01,70855,-18.7
2016-02,59551,-4.9
2016-03,73089,1.1
2016-04,66843,-11.3
2016-05,73576,4.9
2016-06,81391,35.8
2016-07,76392,-5.6
2016-08,94311,40.7
2016-09,89703,39
2016-10,91085,11.4
2016-11,93030,46.7
2016-12,78112,33.9
2017-01,76616,8.1
2017-02,71423,19.9
2017-03,85875,17.5
2017-04,56872,-14.9
2017-05,72796,-1.1
2017-06,84187,3.4
2017-07,71611,-6.3
2017-08,91917,-2.5
2017-09,88579,-1.3
2017-10,94520,3.8
2017-11,93153,0.1
2017-12,89897,15.1
2018-01,79741,4.1
2018-02,64641,-9.5
2018-03,103697,20.8
2018-04,81870,44
2018-05,80969,11.2
2018-06,70438,-16.3
2018-07,74371,3.9
2018-08,91055,-0.9
2018-09,94922,7.2
2018-10,101550,7.4
2018-11,98389,5.6
2018-12,89831,-0.1
2019-01,78094,-2.1
2019-02,60889,-5.8
2019-03,79722,-23.1
2019-04,74694,-8.8
2019-05,80437,-0.7
2019-06,85868,21.9
2019-07,84758,14
2019-08,106118,16.5
2019-09,102170,7.6
2019-10,106040,4.4
2019-11,107884,9.7
2019-12,103313,15
2020-01,103683,32.8
2020-02,93394,53.4
2020-03,113520,42.4
2020-04,96002,28.5
2020-05,93819,16.6
2020-06,120878,40.8
2020-07,105963,25
2020-08,122878,15.8
2020-09,127585,24.9
2020-10,119303,12.5
2020-11,124865,15.7
2020-12,117365,13.6
2021-01,126749,22.2
2021-02,106534,14.1
2021-03,129127,13.7
2021-04,111315,16
2021-05,112360,19.8
2021-06,148471,22.8
2021-07,124558,17.5
2021-08,137427,11.8
2021-09,152685,19.7
2021-10,134539,12.8
2021-11,148268,18.7
2021-12,155382,32.4
2022-01,172176,35.8
2022-02,146933,37.9
2022-03,171967,33.2
2022-04,172561,55
2022-05,185705,65.3
2022-06,175874,18.5
2022-07,186763,49.9
2022-08,218132,58.7
2022-09,208248,36.4
2022-10,210266,56.3
2022-11,222706,50.2
2022-12,192560,23.9
2023-01,200051,16.2
2023-02,163174,11.1
2023-03,145408,-15.4
2023-04,147900,-14.3
2023-05,176537,-4.9
2023-06,156404,-11.1
2023-07,177616,-4.9
2023-08,188686,-13.5
2023-09,180430,-13.4
2023-10,243203,15.7
2023-11,206026,-7.5
2023-12,176300,-8.4
2024-01,215785,7.9
2024-02,181648,11.3
2024-03,195211,34.3
2024-04,236021,59.6
2024-05,229620,30.1
2024-06,207869,32.9
2024-07,256953,44.7
2024-08,250866,33
2024-09,251873,39.6
2024-10,314240,29.2
2024-11,276058,34
2024-12,278163,57.8
2025-01,293288,35.9
2025-02,260009,43.1
2025-03,285957,46.5
2025-04,349567,48.1
2025-05,320516,39.6
2025-06,263709,26.9
2025-07,323166,25.8
2025-08,335772,33.8
2025-09,330980,31.4
2025-10,367473,16.9
2025-11,343614,24.5
2025-12,335003,20.4
2026-01,401255,36.8
2026-02,317657,22.2
2026-03,415191,45.2
2026-04,410726,17.5
2026-05,416975,30.1
2026-06,442680,67.9
2026-07,467580,44.7
