month,issued_twd_k,repaid_twd_k,outstanding_twd_k,n_tranches_outstanding,wavg_coupon_pct
2020-03,24000000,0,24000000,3,0.6238
2020-04,21600000,0,45600000,6,0.5976
2020-05,14400000,0,60000000,9,0.596
2020-06,0,0,60000000,9,0.596
2020-07,13900000,0,73900000,12,0.6013
2020-08,0,0,73900000,12,0.6013
2020-09,15600000,0,89500000,15,0.5939
2020-10,0,0,89500000,15,0.5939
2020-11,0,0,89500000,15,0.5939
2020-12,30500000,0,120000000,21,0.5526
2021-01,0,0,120000000,21,0.5526
2021-02,0,0,120000000,21,0.5526
2021-03,21100000,0,141100000,24,0.5522
2021-04,0,0,141100000,24,0.5522
2021-05,19200000,0,160300000,27,0.5554
2021-06,19700000,0,180000000,30,0.5577
2021-07,0,0,180000000,30,0.5577
2021-08,21600000,0,201600000,34,0.5551
2021-09,0,0,201600000,34,0.5551
2021-10,16300000,0,217900000,38,0.5557
2021-11,0,0,217900000,38,0.5557
2021-12,16700000,0,234600000,41,0.5644
2022-01,5400000,0,240000000,43,0.5672
2022-02,0,0,240000000,43,0.5672
2022-03,14200000,0,254200000,46,0.5831
2022-04,0,0,254200000,46,0.5831
2022-05,6100000,0,260300000,47,0.6046
2022-06,0,0,260300000,47,0.6046
2022-07,13900000,0,274200000,51,0.6612
2022-08,15600000,0,289800000,55,0.7159
2022-09,0,0,289800000,55,0.7159
2022-10,10200000,0,300000000,58,0.7542
2022-11,0,0,300000000,58,0.7542
2022-12,0,0,300000000,58,0.7542
2023-01,0,0,300000000,58,0.7542
2023-02,0,0,300000000,58,0.7542
2023-03,19300000,0,319300000,61,0.8057
2023-04,0,0,319300000,61,0.8057
2023-05,20700000,0,340000000,64,0.8578
2023-06,20000000,0,360000000,67,0.9027
2023-07,0,0,360000000,67,0.9027
2023-08,15900000,0,375900000,70,0.9357
2023-09,0,0,375900000,70,0.9357
2023-10,9800000,0,385700000,72,0.9551
2023-11,0,0,385700000,72,0.9551
2023-12,0,0,385700000,72,0.9551
2024-01,0,0,385700000,72,0.9551
2024-02,0,0,385700000,72,0.9551
2024-03,22800000,0,408500000,74,0.9965
2024-04,0,0,408500000,74,0.9965
2024-05,11500000,0,420000000,76,1.0253
2024-06,0,0,420000000,76,1.0253
2024-07,0,2850000,417150000,76,1.0283
2024-08,0,0,417150000,76,1.0283
2024-09,0,2400000,414750000,76,1.0314
2024-10,0,0,414750000,76,1.0314
2024-11,0,0,414750000,76,1.0314
2024-12,0,1750000,413000000,76,1.0342
2025-01,0,0,413000000,76,1.0342
2025-02,0,0,413000000,76,1.0342
2025-03,19200000,3000000,429200000,77,1.0786
2025-04,0,5900000,423300000,76,1.0864
2025-05,0,4500000,418800000,75,1.0921
2025-06,14100000,0,432900000,77,1.1196
2025-07,12300000,2850000,442350000,78,1.1465
2025-08,0,4000000,438350000,77,1.1525
2025-09,17800000,2400000,453750000,78,1.1765
2025-10,0,0,453750000,78,1.1765
2025-11,23500000,0,477250000,81,1.1937
2025-12,0,1750000,475500000,79,1.1967
2026-01,0,0,475500000,79,1.1967
2026-02,0,0,475500000,79,1.1967
2026-03,17200000,4800000,487900000,80,1.2226
2026-04,0,3200000,484700000,79,1.2271
2026-05,18400000,5200000,497900000,80,1.2564
2026-06,0,6900000,491000000,79,1.2667
2026-07,18500000,4350000,505150000,80,1.2983
