tranche_id,qibie,quanbie,currency,issue_date,maturity_date,tenor_years,coupon_pct,repayment_type,issue_amount_k,outstanding_k_2026_07
109-1A,109-1,甲類,TWD,2020-03-23,2025-03-23,5.0,0.58,bullet,3000000,0
109-1B,109-1,乙類,TWD,2020-03-23,2027-03-23,7.0,0.62,bullet,10500000,10500000
109-1C,109-1,丙類,TWD,2020-03-23,2030-03-23,10.0,0.64,bullet,10500000,10500000
109-2A,109-2,甲類,TWD,2020-04-15,2025-04-15,5.0,0.52,bullet,5900000,0
109-2B,109-2,乙類,TWD,2020-04-15,2027-04-15,7.0,0.58,bullet,10400000,10400000
109-2C,109-2,丙類,TWD,2020-04-15,2030-04-15,10.0,0.6,bullet,5300000,5300000
109-3A,109-3,甲類,TWD,2020-05-29,2025-05-29,5.0,0.55,bullet,4500000,0
109-3B,109-3,乙類,TWD,2020-05-29,2027-05-29,7.0,0.6,bullet,7500000,7500000
109-3C,109-3,丙類,TWD,2020-05-29,2030-05-29,10.0,0.64,bullet,2400000,2400000
109-4A,109-4,甲類,TWD,2020-07-14,2025-07-14,5.0,0.58,amort_50_50,5700000,0
109-4B,109-4,乙類,TWD,2020-07-14,2027-07-14,7.0,0.65,amort_50_50,6300000,3150000
109-4C,109-4,丙類,TWD,2020-07-14,2030-07-14,10.0,0.67,amort_50_50,1900000,1900000
109-5A,109-5,甲類,TWD,2020-09-03,2025-09-03,5.0,0.5,amort_50_50,4800000,0
109-5B,109-5,乙類,TWD,2020-09-03,2027-09-03,7.0,0.58,amort_50_50,8000000,8000000
109-5C,109-5,丙類,TWD,2020-09-03,2030-09-03,10.0,0.6,amort_50_50,2800000,2800000
109-1-USD,109-1,,USD,2020-09-22,2060-09-22,40.0,2.7,bullet,1000000,1000000
109-6A,109-6,甲類,TWD,2020-12-02,2025-12-02,5.0,0.4,amort_50_50,1600000,0
109-6B,109-6,乙類,TWD,2020-12-02,2027-12-02,7.0,0.44,amort_50_50,5600000,5600000
109-6C,109-6,丙類,TWD,2020-12-02,2030-12-02,10.0,0.48,amort_50_50,4800000,4800000
109-7A,109-7,甲類,TWD,2020-12-29,2025-12-29,5.0,0.36,amort_50_50,1900000,0
109-7B,109-7,乙類,TWD,2020-12-29,2027-12-29,7.0,0.41,amort_50_50,10200000,10200000
109-7C,109-7,丙類,TWD,2020-12-29,2030-12-29,10.0,0.45,amort_50_50,6400000,6400000
110-1A,110-1,甲類,TWD,2021-03-30,2026-03-30,5.0,0.5,bullet,4800000,0
110-1B,110-1,乙類,TWD,2021-03-30,2028-03-30,7.0,0.55,bullet,11400000,11400000
110-1C,110-1,丙類,TWD,2021-03-30,2031-03-30,10.0,0.6,bullet,4900000,4900000
110-2A,110-2,甲類,TWD,2021-05-03,2026-05-03,5.0,0.5,bullet,5200000,0
110-2B,110-2,乙類,TWD,2021-05-03,2028-05-03,7.0,0.58,bullet,8400000,8400000
110-2C,110-2,丙類,TWD,2021-05-03,2031-05-03,10.0,0.65,bullet,5600000,5600000
110-3A,110-3,甲類,TWD,2021-06-25,2026-06-25,5.0,0.52,bullet,6900000,0
110-3B,110-3,乙類,TWD,2021-06-25,2028-06-25,7.0,0.58,bullet,7900000,7900000
110-3C,110-3,丙類,TWD,2021-06-25,2031-06-25,10.0,0.65,bullet,4900000,4900000
110-4A,110-4,甲類,TWD,2021-08-19,2025-08-19,4.0,0.485,bullet,4000000,0
110-4B,110-4,乙類,TWD,2021-08-19,2026-08-19,5.0,0.5,bullet,8000000,8000000
110-4C,110-4,丙類,TWD,2021-08-19,2028-08-19,7.0,0.55,bullet,5400000,5400000
110-4D,110-4,丁類,TWD,2021-08-19,2031-08-19,10.0,0.62,bullet,4200000,4200000
