month,approved_usd_mn,filed,accession
2016-02,2536.9,2016-02-02,0001193125-16-446757
2016-05,4101.3,2016-05-10,0001193125-16-584664
2016-08,3790.4,2016-08-02,0001193125-16-667470
2016-11,4908.9,2016-11-08,0001193125-16-762367
2017-02,1927.58,2017-02-14,0001193125-17-042000
2017-05,1269.1,2017-05-09,0001193125-17-163353
2017-08,3153.6,2017-08-08,0001193125-17-250674
2017-11,4284.5,2017-11-14,0001193125-17-341700
2018-02,2834.0,2018-02-13,0001193125-18-041147
2018-06,2314.6,2018-06-06,0001193125-18-184933
2018-08,4488.09,2018-08-14,0001193125-18-247835
2018-11,3381.72,2018-11-13,0001193125-18-324781
2019-02,3733.81,2019-02-19,0001193125-19-043514
2019-05,4094.9,2019-05-14,0001193125-19-145980
2019-08,6502.3,2019-08-13,0001193125-19-219458
2019-11,6724.5,2019-11-12,0001564590-19-042544
2020-02,6742.1,2020-02-11,0001564590-20-004119
2020-05,5768.75,2020-05-12,0001564590-20-024689
2020-08,5271.6,2020-08-11,0001564590-20-039111
2020-11,15224.7,2020-11-10,0001564590-20-052746
2021-02,11794.8,2021-02-09,0001564590-21-004779
2021-04,2887.0,2021-04-22,0001564590-21-019939
2021-06,9290.7,2021-06-09,0001564590-21-032179
2021-08,17571.66,2021-08-10,0001564590-21-042889
2021-11,9036.44,2021-11-09,0001564590-21-055416
2022-02,20944.17,2022-02-15,0001564590-22-005076
2022-05,16757.67,2022-05-10,0001564590-22-019076
2022-08,9234.73,2022-08-09,0001564590-22-028585
2022-11,5717.19,2022-11-08,0001564590-22-036926
2023-02,6959.5,2023-02-14,0001564590-23-001822
2023-05,366.1,2023-05-09,0001628280-23-016618
2023-08,6059.5,2023-08-08,0001628280-23-027944
2023-11,4341.95,2023-11-14,0001046179-23-000021
2024-02,9421.48,2024-02-06,0001046179-24-000010
2024-06,17356.2,2024-06-05,0001046179-24-000072
2024-08,29615.47,2024-08-13,0001046179-24-000092
2024-11,15479.95,2024-11-12,0001046179-24-000124
2025-02,17141.4,2025-02-12,0001046179-25-000015
2025-05,15247.7,2025-05-13,0001046179-25-000054
2025-08,20657.5,2025-08-12,0001046179-25-000093
2025-11,14981.6,2025-11-12,0001046179-25-000126
2026-02,44962.0,2026-02-10,0001046179-26-000017
2026-05,31284.3,2026-05-12,0001046179-26-000274
2026-08,29442.5,2026-08-11,0001046179-26-000536
