month,open_notional_ntd_k,open_fair_value_ntd_k
2005-04,16139964,-174287.0
2005-05,8718914,-49807.0
2005-06,3218668,-36560.0
2005-07,4568712,-29535.0
2005-08,7040115,-132708.0
2005-09,22264587,-236202.0
2005-10,32918263,-31930.0
2005-11,14182045,-54249.0
2005-12,2004420,28475.0
2006-02,624202,13248.0
2006-03,1202448,-4343.0
2006-05,863666,3620.0
2006-06,731700,-8265.0
2006-07,311625,-1512.0
2006-08,11246875,692.0
2006-09,4763250,45295.0
2006-10,9427835,41985.0
2006-11,5966385,-77771.0
2007-01,839030,3541.0
2007-02,3252220,-22233.0
2007-03,989690,-18717.0
2007-04,1138525,1889.0
2007-05,3827759,40654.0
2007-06,2259509,11875.0
2007-07,2261021,-35679.0
2007-08,3109195,-43467.0
2007-09,3134935,-127588.0
2007-10,2615940,-143052.0
2007-11,2552407,-165238.0
2007-12,5385900,-177399.0
2008-01,2138900,-190221.0
2008-02,1493190,-87858.0
2008-03,2048055,-121599.0
2008-04,887000,-84863.0
2008-05,3645050,-42513.0
2008-06,2342915,-112709.0
2008-07,5238625,1906.0
2008-08,14184371,-208882.0
2008-09,19014075,-123079.0
2008-10,15209830,-184993.0
2008-11,14411100,-242160.0
2008-12,7217432,-5832.0
2009-01,14243635,-191842.0
2009-02,20373560,-474355.0
2009-03,7249655,201152.0
2009-04,4039302,92177.0
2009-05,860334,-11514.0
2009-06,564128,-6284.0
2009-07,3528965,15808.0
2009-08,1640770,2302.0
2009-10,333760,-769.0
2009-11,970890,5608.0
2010-01,3659900,41863.0
2010-02,3764390,23183.0
2010-03,513523,758.0
2010-04,1838630,1509.0
2010-05,563340,5728.0
2010-06,1826304,-13893.0
2010-07,3674464,-6716.0
2010-08,1847929,-4135.0
2010-09,6790968,-70289.0
2010-10,3380783,-4843.0
2010-11,1467576,13241.0
2010-12,814882,-8018.0
2011-01,9544027,53546.0
2011-02,9690239,-32562.0
2011-03,3751186,-3423.0
2011-04,2173911,7326.0
2011-05,2535988,-4393.0
2011-07,31710853,71956.0
2011-08,30879222,188915.0
2011-09,13386650,516632.0
2011-10,2910359,13365.0
2011-11,752600,-6822.0
2011-12,1528206,14924.0
2012-01,2739963,21546.0
2012-02,7448005,-186318.0
2012-03,2021933,-47930.0
2012-04,5188830,64465.0
2012-05,727800,33983.0
2012-06,8830347,-7768.0
2012-07,13550583,47758.0
2012-08,21797857,10720.0
2012-09,13324892,41428.0
2012-10,13450269,-4754.0
2012-11,19802687,-29584.0
2012-12,9417062,34305.0
2013-01,4717662,259557.0
2013-02,534485,1909.0
2013-03,2183863,3057.0
2013-04,15114161,11872.0
2013-05,17025511,136476.0
2013-06,23153842,-126171.0
2013-07,18195625,-10653.0
2013-08,11544557,-88701.0
2013-09,14569775,16881.0
2013-10,19507792,-47094.0
2013-11,19852029,13967.0
2013-12,24892692,38626.0
2014-01,27233554,-107309.0
2014-02,28847681,-16388.0
2014-03,24772795,-139591.0
2014-04,13984801,-50596.0
2014-05,12937319,32257.0
2014-06,16471182,43946.0
2014-07,20687528,-109658.0
2014-08,12366342,18937.0
2014-09,12110912,-76216.0
2014-10,8631292,-134779.0
2014-11,14784030,-89398.0
2014-12,13293733,-79873.0
2015-01,29695022,265832.0
2015-02,62685298,40510.0
2015-03,62450750,244351.0
2015-04,78405964,1037380.0
2015-05,84043911,-419689.0
2015-06,73479966,-764208.0
2015-07,66162501,-1210089.0
2015-08,47403471,-999693.0
2015-09,28499360,-133688.0
2015-10,32688145,329395.0
2015-11,29308647,-96881.0
2015-12,18265443,-39228.0
2016-01,22407776,-107200.0
2016-02,31131463,60667.0
2016-03,35203286,575182.0
2016-04,35114587,226928.0
2016-05,41875335,-271390.0
2016-06,28084765,33917.0
2016-07,20736983,56744.0
2016-08,32164291,-487873.0
2016-09,25706429,-117069.0
2016-10,33345672,-440953.0
2016-11,32306290,-950940.0
2016-12,26374050,77652.0
2017-01,27458184,101640.0
2017-02,16739536,-96681.0
2017-03,23279654,-70969.0
2017-04,32970904,-284066.0
2017-05,33438384,297724.0
2017-06,25788305,102516.0
2017-07,39092183,202430.0
2017-08,35538872,10842.0
2017-09,36256522,-7737.0
2017-10,44069491,-272886.0
2017-11,49795942,37758.0
2017-12,58768390,340668.0
2018-01,26394838,350066.0
2018-02,26565978,122024.0
2018-03,44545921,-70332.0
2018-04,52344502,-609971.0
2018-05,64471173,-696725.0
2018-06,47320744,-481939.0
2018-07,24543342,100085.0
2018-08,48732781,237016.0
2018-09,45331214,-107644.0
2018-10,37385127,-172194.0
2018-11,32201000,34188.0
2018-12,35619683,45440.0
2019-01,57538461,-59035.0
2019-02,52398676,-109420.0
2019-03,47633472,-83382.0
2019-04,40873757,41936.0
2019-05,48320734,569657.0
2019-06,33541827,103926.0
2019-07,72988206,-70949.0
2019-08,64031110,230289.0
2019-09,69826611,-368002.0
2019-10,92275472,-771867.0
2019-11,133599195,-858006.0
2019-12,125659503,-953115.0
2020-01,195507927,-886156.0
2020-02,201404761,-1471813.0
2020-03,211818627,420655.0
2020-04,207057289,-3879338.0
2020-05,197682898,1066965.0
2020-06,205770311,-794607.0
2020-07,220559998,5405091.0
2020-08,212554846,6241959.0
2020-09,193159281,952579.0
2020-10,167366278,-1992619.0
2020-11,139597527,1004845.0
2020-12,144697981,2032672.0
2021-01,159175372,677110.0
2021-02,153933120,881221.0
2021-03,161492812,-1707878.0
2021-04,198154562,215580.0
2021-05,179489766,-638243.0
2021-06,153952400,-1521231.0
2021-07,174707437,-77903.0
2021-08,165892312,-1285939.0
2021-09,126403873,-1384161.0
2021-10,131514283,-796484.0
2021-11,135824024,-1820347.0
