month,ntd_per_usd
2016-01,33.4332
2016-02,33.2385
2016-03,32.5874
2016-04,32.3200
2016-05,32.5390
2016-06,32.3000
2016-07,32.1010
2016-08,31.5374
2016-09,31.4562
2016-10,31.5860
2016-11,31.7495
2016-12,32.0005
2017-01,31.6458
2017-02,30.8547
2017-03,30.6487
2017-04,30.3585
2017-05,30.1282
2017-06,30.2595
2017-07,30.3920
2017-08,30.2330
2017-09,30.1305
2017-10,30.2519
2017-11,30.0835
2017-12,29.9545
2018-01,29.4005
2018-02,29.2458
2018-03,29.1991
2018-04,29.3767
2018-05,29.8673
2018-06,30.0848
2018-07,30.5429
2018-08,30.7039
2018-09,30.7253
2018-10,30.8823
2018-11,30.8060
2018-12,30.7822
2019-01,30.8080
2019-02,30.7989
2019-03,30.8567
2019-04,30.8468
2019-05,31.2218
2019-06,31.2895
2019-07,31.0768
2019-08,31.3886
2019-09,31.0745
2019-10,30.7014
2019-11,30.4674
2019-12,30.2590
2020-01,30.0200
2020-02,30.1574
2020-03,30.1305
2020-04,30.0732
2020-05,29.9205
2020-06,29.6523
2020-07,29.4068
2020-08,29.3771
2020-09,29.1971
2020-10,28.6952
2020-11,28.5372
2020-12,28.2029
2021-01,28.0061
2021-02,27.9411
2021-03,28.2683
2021-04,28.2382
2021-05,27.9165
2021-06,27.7800
2021-07,27.9971
2021-08,27.8591
2021-09,27.7210
2021-10,27.9225
2021-11,27.8090
2021-12,27.7481
2022-01,27.6720
2022-02,27.8716
2022-03,28.4313
2022-04,29.0933
2022-05,29.5995
2022-06,29.6029
2022-07,29.8745
2022-08,30.0900
2022-09,31.2786
2022-10,31.9590
2022-11,31.4330
2022-12,30.6524
2023-01,30.3865
2023-02,30.2289
2023-03,30.5352
2023-04,30.5595
2023-05,30.7291
2023-06,30.8405
2023-07,31.2005
2023-08,31.8239
2023-09,32.0435
2023-10,32.3024
2023-11,31.8750
2023-12,31.2515
2024-01,31.2114
2024-02,31.4330
2024-03,31.6924
2024-04,32.3350
2024-05,32.3286
2024-06,32.3768
2024-07,32.6450
2024-08,32.2359
2024-09,31.9560
2024-10,32.0905
2024-11,32.3553
2024-12,32.5743
2025-01,32.8771
2025-02,32.8111
2025-03,32.9790
2025-04,32.6441
2025-05,30.2214
2025-06,29.6230
2025-07,29.3395
2025-08,30.1538
2025-09,30.3695
2025-10,30.6032
2025-11,31.1344
2025-12,31.3523
2026-01,31.5180
2026-02,31.4705
2026-03,31.8700
2026-04,31.6782
2026-05,31.5030
2026-06,31.6195
2026-07,32.2168
