month,approved_total_k,outstanding_total_k,arizona_approved_k,arizona_outstanding_k
2004-01,18030600,,,
2004-02,18017100,,,
2004-03,17830800,,,
2004-04,18019260,,,
2004-05,18030060,,,
2004-06,18238500,,,
2004-07,18433440,,,
2004-08,18388620,,,
2004-09,18351360,,,
2004-10,18054900,,,
2004-11,17390700,,,
2004-12,3191700,,,
2005-01,3179000,,,
2005-02,3117500,,,
2005-03,3153000,,,
2005-04,3127900,,,
2005-05,3136300,,,
2005-06,2213260,,,
2005-07,2239720,,,
2005-08,2292570,,,
2005-09,2323160,,,
2005-10,2348570,,,
2005-11,2346120,,,
2005-12,3285000,,,
2006-01,3198500,,,
2006-02,1947300,,,
2006-03,1947600,,,
2006-04,1914780,,,
2006-05,1921140,,,
2006-06,1943940,,,
2006-07,1965360,,,
2006-08,1974360,,,
2006-09,0,,,
2006-10,0,,,
2006-11,0,,,
2006-12,0,,,
2007-01,0,0.0,,
2007-02,0,0.0,,
2007-03,0,,,
2007-04,0,,,
2007-05,0,,,
2007-06,0,,,
2007-07,0,,,
2007-08,0,,,
2007-09,0,,,
2007-10,0,,,
2007-11,0,,,
2007-12,0,,,
2008-01,0,,,
2008-02,0,,,
2008-03,0,,,
2008-04,0,,,
2008-05,0,,,
2008-06,0,,,
2008-07,0,,,
2008-08,0,0.0,,
2008-09,0,,,
2008-10,0,0.0,,
2008-11,0,0.0,,
2008-12,0,0.0,,
2009-01,0,0.0,,
2009-02,0,0.0,,
2009-03,0,0.0,,
2009-04,0,0.0,,
2009-05,0,0.0,,
2009-06,0,0.0,,
2009-07,0,0.0,,
2009-08,0,0.0,,
2009-09,0,0.0,,
2009-10,0,0.0,,
2009-11,0,0.0,,
2009-12,0,0.0,,
2010-01,0,0.0,,
2010-02,0,0.0,,
2010-03,0,0.0,,
2010-04,0,0.0,,
2010-05,0,0.0,,
2010-06,0,0.0,,
2010-07,0,0.0,,
2010-08,0,0.0,,
2010-09,0,0.0,,
2010-10,0,0.0,,
2010-11,0,0.0,,
2010-12,0,0.0,,
2011-01,0,0.0,,
2011-02,0,0.0,,
2011-03,0,0.0,,
2011-04,0,0.0,,
2011-05,0,0.0,,
2011-06,0,,,
2011-07,0,0.0,,
2011-08,0,0.0,,
2011-09,0,0.0,,
2011-10,0,0.0,,
2011-11,0,0.0,,
2011-12,0,0.0,,
2012-01,0,0.0,,
2012-02,0,0.0,,
2012-03,0,0.0,,
2012-04,0,0.0,,
2012-05,0,0.0,,
2012-06,0,0.0,,
2012-07,0,0.0,,
2012-08,0,0.0,,
2012-09,0,0.0,,
2012-10,0,0.0,,
2012-11,0,0.0,,
2012-12,0,0.0,,
2013-01,0,0.0,,
2013-02,44475000,0.0,,
2013-03,44803500,0.0,,
2013-04,44190000,44190000.0,,
2013-05,44917500,44917500.0,,
2013-06,44952000,44952000.0,,
2013-07,44950500,44950500.0,,
2013-08,44890500,44890500.0,,
2013-09,44356500,44356500.0,,
2013-10,44074500,44074500.0,,
2013-11,44415000,44415000.0,,
2013-12,44700000,44700000.0,,
2014-01,45441000,45441000.0,,
2014-02,45447000,45447000.0,,
2014-03,45724500,45724500.0,,
2014-04,45315000,45315000.0,,
2014-05,44974500,44974500.0,,
2014-06,44784000,44784000.0,,
2014-07,44974500,44974500.0,,
2014-08,44848500,44848500.0,,
2014-09,45705000,45705000.0,,
2014-10,45574500,45574500.0,,
2014-11,49141358,46558500.0,,
2014-12,50216359,50216359.0,,
2015-01,49958296,49958296.0,,
2015-02,49875969,49875969.0,,
2015-03,49714481,49714481.0,,
2015-04,48686975,48686975.0,,
2015-05,48875378,48875378.0,,
2015-06,49190437,49190437.0,,
2015-07,49955129,49955129.0,,
2015-08,51422768,51422768.0,,
2015-09,52097217,52097217.0,,
2015-10,51532010,51532010.0,,
2015-11,51763159,51763159.0,,
2015-12,52079802,52079802.0,,
2016-01,53023397,53023397.0,,
2016-02,52618094,52618094.0,,
2016-03,50947804,50947804.0,,
2016-04,39726733,39726733.0,,
2016-05,40215086,40215086.0,,
2016-06,39811825,39811825.0,,
2016-07,39322239,39322239.0,,
2016-08,39115059,39115059.0,,
2016-09,38690834,38690834.0,,
2016-10,38906646,38906646.0,,
2016-11,39339504,39339504.0,,
2016-12,39708235,39708235.0,,
2017-01,38603276,38603276.0,,
2017-02,37890479,37890479.0,,
2017-03,37452688,37452688.0,,
2017-04,37204812,37204812.0,,
2017-05,37138219,37138219.0,,
2017-06,37506949,37506949.0,,
2017-07,37310868,37310868.0,,
2017-08,37202346,37202346.0,,
2017-09,37291137,37291137.0,,
2017-10,37196180,37196180.0,,
2017-11,36997632,36997632.0,,
2017-12,36575873,36575873.0,,
2018-01,36050524,36050524.0,,
2018-02,36023394,36023394.0,,
2018-03,35877875,35877875.0,,
2018-04,2457538,2457538.0,,
2018-05,2493903,2493903.0,,
2018-06,2540502,2540502.0,,
2018-07,2546743,2546743.0,,
2018-08,2554648,2554648.0,,
2018-09,2538422,2538422.0,,
2018-10,2574952,2574952.0,,
2018-11,2563968,2563968.0,,
2018-12,2557977,2557977.0,,
2019-01,2557977,2557977.0,,
2019-02,2559808,2559808.0,,
2019-03,2565466,2565466.0,,
2019-04,2571041,2571041.0,,
2019-05,2629374,2629374.0,,
2019-06,2584272,2584272.0,,
2019-07,2586602,2586602.0,,
2019-08,2611233,2611233.0,,
2019-09,2581859,2581859.0,,
2019-10,2531182,2531182.0,,
2019-11,2538422,2538422.0,,
2019-12,2495400,2495400.0,,
2020-01,2515122,2515122.0,,
2020-02,2518284,2518284.0,,
2020-03,2516287,2516287.0,,
2020-04,2479756,2479756.0,,
2020-05,2494485,2494485.0,,
2020-06,2448884,2448884.0,,
2020-07,2437900,2437900.0,,
2020-08,90473811,2441811.0,,
2020-09,89289857,89289857.0,,
2020-10,88189150,88189150.0,,
2020-11,87874662,87874662.0,,
2020-12,86629044,86629044.0,,
2021-01,86425552,86425552.0,,
2021-02,210820913,85716413.0,,
2021-03,216174662,87893162.0,,
2021-04,211268323,183408323.0,,
2021-05,209562100,181927100.0,,
2021-06,211488236,183599236.0,,
2021-07,211761231,183836231.0,,
2021-08,433568058,183683058.0,,900141.0
2021-09,435114006,184338006.0,,903351.0
2021-10,434411303,309225803.0,,126087392.0
2021-11,433333824,308458824.0,,125774655.0
2021-12,432147036,307614036.0,,125430191.0
