quarter,guide_low_usdbn,guide_high_usdbn,guide_fx_ntd_per_usd,actual_rev_usdbn,actual_fx_ntd_per_usd
2023Q1,16.7,17.5,30.7,16.72,30.421
2023Q2,15.2,16.0,30.4,15.68,30.666
2023Q3,16.7,17.5,30.8,17.28,31.64
2023Q4,18.8,19.6,32.0,19.62,31.882
2024Q1,18.0,18.8,31.1,18.87,31.407
2024Q2,19.6,20.4,32.3,20.82,32.349
2024Q3,22.4,23.2,32.5,23.5,32.327
2024Q4,26.1,26.9,32.0,26.88,32.309
2025Q1,25.0,25.8,32.8,25.53,32.873
2025Q2,28.4,29.2,32.5,30.07,31.054
2025Q3,31.8,33.0,29.0,33.1,29.907
2025Q4,32.2,33.4,30.6,33.73,31.014
2026Q1,34.6,35.8,31.6,35.9,31.591
2026Q2,39.0,40.2,31.7,40.2,31.602
2026Q3,44.6,45.8,32.0,,
