month,revenue_ntd_mn,revenue_ytd_ntd_mn
2013-01,9452.116,9452.116
2013-02,8730.655,18182.771
2013-03,9598.645,27781.416
2013-04,10280.727,38062.143
2013-05,10863.111,48925.254
2013-06,10760.866,59686.120
2013-07,11557.852,71243.972
2013-08,10998.405,82242.377
2013-09,10850.515,93092.892
2013-10,10467.850,103560.742
2013-11,10345.415,113906.157
2013-12,9905.479,123811.636
2014-01,10062.618,10062.618
2014-02,10341.536,20404.154
2014-03,11289.431,31693.585
2014-04,11528.740,43222.325
2014-05,11930.014,55152.339
2014-06,12410.597,67562.936
2014-07,11541.996,79104.932
2014-08,11415.416,90520.348
2014-09,12256.438,102776.786
2014-10,13495.698,116272.484
2014-11,11535.241,127807.725
2014-12,12204.351,140012.076
2015-01,12883.284,12883.284
2015-02,12056.194,24939.478
2015-03,12710.166,37649.644
2015-04,13020.513,50670.157
2015-05,12931.054,63601.211
2015-06,12059.987,75661.198
2015-07,12703.929,88365.127
2015-08,12190.856,100555.983
2015-09,10425.056,110981.039
2015-10,12059.010,123040.049
2015-11,11117.338,134157.387
2015-12,10673.034,144830.421
2016-01,12006.857,12006.857
2016-02,9478.048,21484.905
2016-03,12919.174,34404.079
2016-04,10764.403,45168.482
2016-05,12705.227,57873.709
2016-06,13526.887,71400.596
2016-07,12495.406,83896.002
2016-08,12933.096,96829.098
2016-09,12735.087,109564.185
2016-10,12833.243,122397.428
2016-11,12914.936,135312.364
2016-12,12557.760,147870.124
2017-01,12651.900,12651.900
2017-02,12014.861,24666.761
2017-03,12751.189,37417.950
2017-04,11926.270,49344.220
2017-05,12512.276,61856.496
2017-06,13099.335,74955.831
2017-07,12788.087,87743.918
2017-08,13045.093,100789.011
2017-09,11865.021,112654.032
2017-10,13808.274,126462.306
2017-11,12154.717,138617.023
2017-12,10667.683,149284.706
2018-01,13175.662,13175.662
2018-02,11909.283,25084.945
2018-03,12412.192,37497.137
2018-04,12411.996,49909.133
2018-05,13075.480,62984.613
2018-06,13364.101,76348.714
2018-07,14349.944,90698.658
2018-08,13180.907,103879.565
2018-09,11855.805,115735.370
2018-10,12577.408,128312.778
2018-11,11554.518,139867.296
2018-12,11385.275,151252.571
2019-01,11795.477,11795.477
2019-02,10461.743,22257.220
2019-03,10325.739,32582.959
2019-04,12082.275,44665.234
2019-05,12242.267,56907.501
2019-06,11706.642,68614.143
2019-07,13728.148,82342.291
2019-08,13184.069,95526.360
2019-09,10826.223,106352.583
2019-10,14587.122,120939.705
2019-11,13891.904,134831.609
2019-12,13370.032,148201.641
2020-01,14091.018,14091.018
2020-02,13606.421,27697.439
2020-03,14570.408,42267.847
2020-04,15059.189,57327.036
2020-05,14745.577,72072.613
2020-06,14581.494,86654.107
2020-07,15494.823,102148.930
2020-08,14841.818,116990.748
2020-09,14533.813,131524.561
2020-10,15282.825,146807.386
2020-11,14725.559,161532.945
2020-12,15287.969,176820.914
2021-01,15529.559,15529.559
2021-02,14947.898,30477.457
2021-03,16619.555,47097.012
2021-04,16382.058,63479.070
2021-05,17189.070,80668.140
2021-06,17336.613,98004.753
2021-07,18366.122,116370.875
2021-08,18789.991,135160.866
2021-09,18750.564,153911.430
2021-10,19158.585,173070.015
2021-11,19661.423,192731.438
2021-12,20279.580,213011.018
2022-01,20472.766,20472.766
2022-02,20809.602,41282.368
2022-03,22140.452,63422.820
2022-04,22796.461,86219.281
2022-05,24433.030,110652.311
2022-06,24825.649,135477.960
2022-07,24826.685,160304.645
2022-08,25346.076,185650.721
2022-09,25218.828,210869.549
2022-10,24344.264,235213.813
2022-11,22545.442,257759.255
2022-12,20946.009,278705.264
2023-01,19589.515,19589.515
2023-02,16931.079,36520.594
2023-03,17688.853,54209.447
2023-04,18461.436,72670.883
2023-05,18778.488,91449.371
2023-06,19056.484,110505.855
2023-07,19063.918,129569.773
2023-08,18952.011,148521.784
2023-09,19052.938,167574.722
2023-10,19191.382,186766.104
2023-11,18787.670,205553.774
2023-12,16979.226,222533.000
2024-01,19013.697,19013.697
2024-02,17451.268,36464.965
2024-03,18167.134,54632.099
2024-04,19741.391,74373.490
2024-05,19509.486,93882.976
2024-06,17548.413,111431.389
2024-07,20896.877,132328.266
2024-08,20645.494,152973.760
2024-09,18942.714,171916.474
2024-10,21371.110,193287.584
2024-11,20049.182,213336.766
2024-12,18965.818,232302.584
2025-01,19806.795,19806.795
2025-02,18193.515,38000.310
2025-03,19858.647,57858.957
2025-04,20454.530,78313.487
2025-05,19480.057,97793.544
2025-06,18823.070,116616.614
2025-07,20040.049,136656.663
2025-08,19159.816,155816.479
2025-09,19927.175,175743.654
2025-10,21294.974,197038.628
2025-11,21233.847,218272.475
2025-12,19280.724,237553.199
2026-01,20862.150,20862.150
2026-02,19345.126,40207.276
2026-03,20830.626,61037.902
2026-04,22663.945,83701.847
2026-05,22943.755,106645.602
2026-06,23124.962,129770.564
2026-07,23844.045,153614.609
